eid,manhatten_div,path_time_div,is_sp_pne,Potential,SP1,SP2,SP1|SP2,Optimal Social Welfare,Min-Min,Min-Max,Min-Sum,Min-Avg,Min-Abs,Max-Min-Improvement,Max-Avg-Improvement,MAX-Nash-Value,MIN-Nash-Value,MIN-Sum-Surplus,Nash,Kalai,Egalitarian,Utilitarian,PoA,PoS
c35a4275-2509-4529-a2cc-7705aa353ac2,0,0,False,"[(21, 26), (25, 25)]",37,42,33,47,1.0,1.103448275862069,1.0,1.0,1.103448275862069,1.0,1.0,1.0,1.103448275862069,1.0,1.0,1.018180892562825,1.0,1.0,1.103448275862069,1.0
cd8d9de1-4fbd-4398-ab98-44f300d1c238,1,4,False,"[(23, 18), (20, 20)]",34,29,34,40,1.0454545454545454,1.0,1.0,1.0,1.0,1.0454545454545454,1.0,1.0,1.0454545454545454,1.0,1.0036392833142787,1.0203628942815315,1.0454545454545454,1.0,1.0454545454545454,1.0
f46c4382-8585-4645-9014-aec114a5ca06,0,0,False,"[(26, 31), (30, 30)]",37,47,37,57,1.0,1.125,1.0,1.0,1.125,1.0,1.0,1.0,1.125,1.0,1.0,1.0157172844986495,1.0,1.0,1.125,1.0
4683785b-07c8-438a-ab61-b9a0d60bcfca,0,0,False,"[(28, 23), (26, 26)]",37,37,37,51,1.0,1.0454545454545454,1.0,1.0,1.0454545454545454,1.0454545454545454,1.0,1.0,1.0454545454545454,1.0,1.0036392833142787,1.0203628942815315,1.0454545454545454,1.0,1.0454545454545454,1.0
67cf345a-3ba7-48ac-9643-b0e4e0c11dec,1,4,False,"[(18, 23), (22, 22)]",34,34,34,41,1.0,1.125,1.0,1.0,1.125,1.125,1.0,1.0,1.125,1.0,1.0,1.0285714285714285,1.125,1.0,1.125,1.0
af81f770-507f-4b64-9ca2-5fb7ce2ef95d,0,0,False,"[(19, 24), (21, 21), (24, 19)]",37,37,35,42,1.032258064516129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.032258064516129,1.0,1.0,1.0,1.0,1.0,1.032258064516129,1.0
db909917-7703-49b3-8568-147688b425d9,1,4,False,"[(24, 29), (26, 26)]",34,29,34,52,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0153877396545836,1.0,1.0,1.1,1.0
3a79c8e0-c2fe-4494-8460-17a82db527d5,1,4,False,"[(22, 22), (25, 20)]",34,29,34,44,1.0555555555555556,1.0,1.0,1.0,1.0,1.0555555555555556,1.0,1.0,1.0555555555555556,1.0,1.0133333333333334,1.025397476442842,1.0555555555555556,1.0,1.0555555555555556,1.0
4c9c4021-aaa0-457c-a351-f143abe6bb18,1,4,False,"[(20, 20), (18, 23)]",34,29,34,40,1.0454545454545454,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0454545454545454,1.0,1.0,1.0119987856014574,1.0,1.0,1.0454545454545454,1.0
9f080082-2118-4d29-948a-557502c2287e,1,4,False,"[(25, 25), (26, 21)]",34,34,34,47,1.0,1.1666666666666667,1.0,1.0,1.1666666666666667,1.1666666666666667,1.0,1.0,1.1666666666666667,1.0,1.0,1.039392994491217,1.1666666666666667,1.0,1.1666666666666667,1.0
