EID,SP1 is PNE,Potential,SP1,SP1|SP1,Min-Min,Min-Max,Min-Sum,Min-Avg,Min-Abs,Max-Min-Improvement,Max-Avg-Improvement,MAX-Nash-Value,MIN-Nash-Value,MIN-Sum-Surplus,Social Sum,Nash,Nash-Ratio,Nash-Value,Kalai,Kalai-Ratio,Kalai-Value,Egalitarian,Egalitarian-Ratio,Egalitarian-Value,Utilitarian,Utilitarian-Ratio,Utilitarian-Value,PoS,PoA
d5440ec0-34b3-4e1e-af79-510e31aaf6db,False,"[(52, 52), (55, 46)]",146,146,55,52,55,55,52,55,55,55,52,55,98,"[91.0, 91.0]","[0.0, 1.0]",182.0,"[91.9785, 89.043]","[0.3262, 0.6738]",181.0215,"[91.0, 91.0]","[-0.0, 1.0]",182.0,"[91.0, 91.0]","[0.0, 1.0]",182.0,1.0335195530726258,1.0164835164835164
d5440ec0-34b3-4e1e-af79-510e31aaf6db,False,"[(52, 52), (46, 55)]",137,137,46,52,46,46,52,46,46,46,52,46,98,"[91.0, 91.0]","[0.0, 1.0]",182.0,"[89.043, 91.9785]","[0.3262, 0.6738]",181.0215,"[91.0, 91.0]","[-0.0, 1.0]",182.0,"[91.0, 91.0]","[0.0, 1.0]",182.0,1.0335195530726258,1.0164835164835164
a21d0928-6a6c-4430-a5f3-5d485cc20b31,False,"[(61, 52), (54, 54), (48, 57)]",139,139,48,54,48,48,54,61,48,48,61,48,105,"[91.0, 64.0]","[0.0, 0.0, 1.0]",155.0,"[87.0262, 65.9869]","[0.0, 0.6623, 0.3377]",153.0131,"[78.0, 69.0]","[1.0, -0.0, 0.0]",147.0,"[91.0, 64.0]","[0.0, 0.0, 1.0]",155.0,1.054421768707483,1.0
a21d0928-6a6c-4430-a5f3-5d485cc20b31,False,"[(52, 61), (54, 54), (57, 48)]",121,121,57,54,57,57,54,52,57,57,52,57,105,"[64.0, 91.0]","[0.0, 0.0, 1.0]",155.0,"[65.9869, 87.0262]","[0.0, 0.6623, 0.3377]",153.0131,"[69.0, 78.0]","[1.0, -0.0, 0.0]",147.0,"[64.0, 91.0]","[0.0, 0.0, 1.0]",155.0,1.054421768707483,1.0
c52721b1-aed6-47e6-9823-3d50cbfbbd2f,False,"[(45, 54), (51, 51), (52, 43)]",146,146,52,51,52,52,51,52,52,52,51,52,92,"[94.0, 94.0]","[0.0, 0.0, 1.0]",188.0,"[96.6037, 89.9084]","[0.372, 0.0, 0.628]",186.5121,"[94.0, 94.0]","[-0.0, -0.0, 1.0]",188.0,"[94.0, 94.0]","[0.0, 0.0, 1.0]",188.0,1.0552486187845305,1.0159574468085106
c52721b1-aed6-47e6-9823-3d50cbfbbd2f,False,"[(54, 45), (51, 51), (43, 52)]",137,137,43,51,43,43,51,43,43,43,51,43,92,"[94.0, 94.0]","[0.0, 0.0, 1.0]",188.0,"[89.9084, 96.6037]","[0.372, 0.0, 0.628]",186.5121,"[94.0, 94.0]","[0.0, -0.0, 1.0]",188.0,"[94.0, 94.0]","[0.0, 0.0, 1.0]",188.0,1.0552486187845305,1.0159574468085106
f3469af3-b4f9-42d2-b468-be6cdd56a28b,False,"[(56, 56), (52, 61)]",146,146,52,56,56,56,56,56,56,56,52,56,110,"[90.0, 90.0]","[1.0, 0.0]",180.0,"[91.7349, 87.8313]","[0.5663, 0.4337]",179.56619999999998,"[90.0, 90.0]","[1.0, 0.0]",180.0,"[90.0, 90.0]","[1.0, 0.0]",180.0,1.0167597765363128,1.011111111111111
f3469af3-b4f9-42d2-b468-be6cdd56a28b,False,"[(56, 56), (61, 52)]",146,146,61,56,56,56,56,56,56,56,61,56,110,"[90.0, 90.0]","[1.0, 0.0]",180.0,"[87.8313, 91.7349]","[0.5663, 0.4337]",179.56619999999998,"[90.0, 90.0]","[1.0, 0.0]",180.0,"[90.0, 90.0]","[1.0, 0.0]",180.0,1.0167597765363128,1.011111111111111
1d430374-5e9e-4e91-aed6-92f3b5f45b98,False,"[(58, 58), (63, 54)]",153,153,63,58,58,58,58,58,58,58,63,58,110,"[95.0, 104.0]","[1.0, 0.0]",199.0,"[92.9348, 105.6522]","[0.587, 0.413]",198.587,"[95.0, 104.0]","[1.0, 0.0]",199.0,"[95.0, 104.0]","[1.0, 0.0]",199.0,1.0353535353535352,1.0301507537688441
1d430374-5e9e-4e91-aed6-92f3b5f45b98,False,"[(58, 58), (54, 63)]",162,162,54,58,58,58,58,58,58,58,54,58,110,"[104.0, 95.0]","[1.0, 0.0]",199.0,"[105.6522, 92.9348]","[0.587, 0.413]",198.587,"[104.0, 95.0]","[1.0, 0.0]",199.0,"[104.0, 95.0]","[1.0, 0.0]",199.0,1.0353535353535352,1.0301507537688441
