eid,manhatten_div,path_time_div,is_sp_pne,Potential,SP1(1),SP(2),SP2(1),SP2(2),SP1|SP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai,Individual Time In Kalai,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
bc18b91f-4740-470b-b0db-f373e3951356,2,22,False,"[(102, 113), (106, 83), (97, 120)]",310,310,76,72,310,106,189,189,106,189,106,189,106,189,106,215,102,189,106,189,106,189,106,189,106,217,97,189,106,189.0,106.0,194.76419999999996,104.1472,203.0,101.5,189.0,106.0,0.8709677419354839,1.0
bc18b91f-4740-470b-b0db-f373e3951356,2,22,False,"[(113, 102), (83, 106), (120, 97)]",310,310,72,76,310,83,189,189,83,189,83,189,83,189,83,215,113,189,83,189,83,189,83,189,83,217,120,189,83,189.0,83.0,194.76419999999996,90.61699999999999,203.0,101.5,189.0,83.0,0.8709677419354839,1.0
710969a6-ad52-4f2a-ae1c-4d791ee0c1ca,1,11,False,"[(110, 99), (109, 132)]",354,320,100,85,354,110,209,209,110,209,110,209,110,209,110,209,110,209,110,209,110,209,110,209,110,241,109,209,110,209.0,110.0,209.8514,109.9734,209.0,110.0,209.0,110.0,0.8672199170124482,1.0
710969a6-ad52-4f2a-ae1c-4d791ee0c1ca,1,11,False,"[(99, 110), (132, 109)]",320,354,85,100,320,99,209,209,99,209,99,209,99,209,99,209,99,209,99,209,99,209,99,209,99,241,132,209,99,209.0,99.0,209.8514,99.87799999999999,209.0,99.0,209.0,99.0,0.8672199170124482,1.0
3757fcbb-2019-455c-9cf7-52f8aebd0198,2,22,False,"[(143, 154), (161, 150)]",574,574,132,127,574,159,295,297,143,297,143,297,143,297,143,297,143,297,143,297,143,297,143,297,143,311,161,297,143,297.0,143.0,299.5797,146.3168,304.0,152.0,297.0,143.0,0.9485530546623794,0.9932659932659933
3757fcbb-2019-455c-9cf7-52f8aebd0198,2,22,False,"[(154, 143), (150, 161)]",574,574,127,132,574,136,295,297,154,297,154,297,154,297,154,297,154,297,154,297,154,297,154,297,154,311,150,297,154,297.0,154.0,299.5797,153.2629,304.0,152.0,297.0,154.0,0.9485530546623794,0.9932659932659933
7c988bdf-a840-4d4b-8213-b21ff033387a,2,22,False,"[(96, 73), (88, 99)]",310,276,67,59,310,79,169,169,96,169,96,169,96,169,96,187,88,169,96,169,96,169,96,169,96,187,88,169,96,169.0,96.0,172.9524,94.24340000000001,169.0,96.0,169.0,96.0,0.9037433155080213,1.0
7c988bdf-a840-4d4b-8213-b21ff033387a,2,22,False,"[(73, 96), (99, 88)]",276,310,59,67,276,90,169,169,73,169,73,169,73,169,73,187,99,169,73,169,73,169,73,169,73,187,99,169,73,169.0,73.0,172.9524,78.709,169.0,73.0,169.0,73.0,0.9037433155080213,1.0
d832e0ab-14f9-4500-ab57-4a7370423c4e,0,0,False,"[(89, 66), (84, 107)]",310,276,76,55,310,89,155,155,89,155,89,155,89,155,89,155,89,155,89,155,89,155,89,155,89,191,84,155,89,155.0,89.0,158.6642,88.49109999999999,155.0,89.0,155.0,89.0,0.8115183246073299,1.0
d832e0ab-14f9-4500-ab57-4a7370423c4e,0,0,False,"[(66, 89), (107, 84)]",276,310,55,76,276,66,155,155,66,155,66,155,66,155,66,155,66,155,66,155,66,155,66,155,66,191,107,155,66,155.0,66.0,158.6642,70.1731,155.0,66.0,155.0,66.0,0.8115183246073299,1.0
ae0e3fa5-7fab-4cef-a6fb-02676f2983aa,1,1,False,"[(76, 99), (101, 78), (93, 82), (84, 95)]",320,332,67,67,320,79,169,175,76,175,93,175,76,175,76,175,93,179,84,179,84,175,76,175,76,179,101,175,76,175.0,81.5,175.0,86.2892,175.0,81.5,175.0,76.0,0.9441340782122905,0.9657142857142857
ae0e3fa5-7fab-4cef-a6fb-02676f2983aa,1,1,False,"[(99, 76), (78, 101), (82, 93), (95, 84)]",332,320,67,67,332,90,169,175,99,175,82,175,99,175,99,175,82,179,95,179,95,175,99,175,99,179,78,175,99,175.0,93.5,175.0,88.7108,175.0,93.5,175.0,99.0,0.9441340782122905,0.9657142857142857
297326f0-87df-4959-ba95-3432fec083bc,3,23,False,"[(104, 127), (129, 118)]",320,310,77,76,320,104,231,231,104,231,104,231,104,231,104,247,129,247,129,247,129,231,104,231,104,247,129,231,104,231.0,104.0,235.6121,111.2064,246.5294,128.2647,231.0,104.0,0.9352226720647774,1.0
297326f0-87df-4959-ba95-3432fec083bc,3,23,False,"[(127, 104), (118, 129)]",310,320,76,77,310,127,231,231,127,231,127,231,127,231,127,247,118,247,118,247,118,231,127,231,127,247,118,231,127,231.0,127.0,235.6121,124.4057,246.5294,118.2647,231.0,127.0,0.9352226720647774,1.0
ea4ffbe6-d246-4f53-9d10-b14ebba9b6b0,0,0,False,"[(106, 83), (103, 92), (90, 101)]",320,366,74,74,320,97,183,189,106,191,90,189,106,189,106,195,103,191,90,191,90,191,90,191,90,195,103,189,106,191.0,90.0001,190.0448,97.64189999999999,191.0,90.0,189.0,106.0,0.9384615384615385,0.9682539682539683
ea4ffbe6-d246-4f53-9d10-b14ebba9b6b0,0,0,False,"[(83, 106), (92, 103), (101, 90)]",366,320,74,74,366,86,183,189,83,191,101,189,83,189,83,195,92,191,101,191,101,191,101,191,101,195,92,189,83,191.0,100.99990000000003,190.0448,92.40289999999999,191.0,101.0,189.0,83.0,0.9384615384615385,0.9682539682539683
04c43634-7a45-4906-a8f8-a2c8aacf1dc6,0,0,False,"[(118, 73), (101, 90)]",332,276,80,60,332,109,185,191,118,191,101,191,118,191,118,191,101,191,118,191,101,191,118,191,118,191,101,191,118,191.0,117.9846,191.0,110.04839999999999,191.0,118.0,191.0,101.0,0.9685863874345549,0.9685863874345549
04c43634-7a45-4906-a8f8-a2c8aacf1dc6,0,0,False,"[(73, 118), (90, 101)]",276,332,60,80,276,76,185,191,73,191,90,191,73,191,73,191,90,191,73,191,90,191,73,191,73,191,90,191,73,191.0,73.0154,191.0,80.95160000000001,191.0,73.0,191.0,90.0,0.9685863874345549,0.9685863874345549
ce13e28b-8cd9-424e-996e-37efe3a30ae9,3,23,False,"[(132, 109), (125, 114), (98, 121), (108, 119)]",320,298,87,84,320,101,213,219,98,227,108,219,98,219,98,239,125,241,132,239,125,219,98,219,98,241,132,219,98,219.0,98.0,225.44760000000002,107.96440000000001,240.52179999999998,131.2609,219.0,98.0,0.8838174273858921,0.9726027397260274
ce13e28b-8cd9-424e-996e-37efe3a30ae9,3,23,False,"[(109, 132), (114, 125), (121, 98), (119, 108)]",298,320,84,87,298,112,213,219,121,227,119,219,121,219,121,239,114,241,109,239,114,219,121,219,121,241,109,219,121,219.0,121.0,225.44760000000002,117.48320000000001,240.52179999999998,109.26089999999999,219.0,121.0,0.8838174273858921,0.9726027397260274
fe1f9c83-4d5b-433a-ac52-29aa3d703fd0,0,0,False,"[(76, 99), (80, 91), (105, 82)]",320,354,67,71,320,79,169,175,76,171,80,171,80,171,80,171,80,175,76,171,80,171,80,171,80,187,105,171,80,171.0,80.0,172.9706,83.07910000000001,175.0,76.0,171.0,80.0,0.9037433155080213,0.9883040935672515
fe1f9c83-4d5b-433a-ac52-29aa3d703fd0,0,0,False,"[(99, 76), (91, 80), (82, 105)]",354,320,71,67,354,90,169,175,99,171,91,171,91,171,91,171,91,175,99,171,91,171,91,171,91,187,82,171,91,171.0,91.0,172.9706,89.89150000000001,175.0,99.0,171.0,91.0,0.9037433155080213,0.9883040935672515
02f443dc-6b4c-46f9-82d0-187003cd08d4,2,22,False,"[(83, 106), (91, 102)]",310,310,72,67,310,86,183,189,83,193,91,189,83,189,83,193,91,193,91,193,91,189,83,189,83,193,91,189,83,189.0,83.0,190.41219999999998,85.8243,193.0,91.0,189.0,83.0,0.9481865284974094,0.9682539682539683
02f443dc-6b4c-46f9-82d0-187003cd08d4,2,22,False,"[(106, 83), (102, 91)]",310,310,67,72,310,97,183,189,106,193,102,189,106,189,106,193,102,193,102,193,102,189,106,189,106,193,102,189,106,189.0,106.0,190.41219999999998,104.58789999999999,193.0,102.0,189.0,106.0,0.9481865284974094,0.9682539682539683
219faf2b-c6b7-4320-8c5a-a0ce3165f705,1,1,False,"[(106, 117), (119, 108), (98, 121)]",364,376,87,94,364,101,213,219,98,223,106,219,98,219,98,223,106,223,106,223,106,219,98,219,98,227,119,219,98,219.00009999999997,98.0002,222.04469999999992,105.9923,221.58820000000003,104.79410000000001,219.0,98.0,0.9383259911894273,0.9726027397260274
219faf2b-c6b7-4320-8c5a-a0ce3165f705,1,1,False,"[(117, 106), (108, 119), (121, 98)]",376,364,94,87,376,112,213,219,121,223,117,219,121,219,121,223,117,223,117,223,117,219,121,219,121,227,108,219,121,219.00009999999997,120.9999,222.04469999999992,116.05239999999998,221.58820000000003,116.79410000000001,219.0,121.0,0.9383259911894273,0.9726027397260274
