eid,manhatten_div,path_time_div,is_sp_pne,Potential,SP1(1),SP(2),SP2(1),SP2(2),SP1|SP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai,Individual Time In Kalai,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
f8f5cc27-8a2d-450b-a135-a29ad78f0277,0,22,False,"[(166, 177), (184, 173)]",508,474,166,159,508,166,343,343,166,343,166,343,166,343,166,343,166,357,184,357,184,343,166,343,166,357,184,343,166,343.0,166.0,345.82220000000007,169.6286,357.0,184.0,343.0,166.0,0.9607843137254902,1.0
f8f5cc27-8a2d-450b-a135-a29ad78f0277,0,22,False,"[(177, 166), (173, 184)]",474,508,159,166,474,177,343,343,177,343,177,343,177,343,177,343,177,357,173,357,173,343,177,343,177,357,173,343,177,343.0,177.0,345.82220000000007,176.1936,357.0,173.0,343.0,177.0,0.9607843137254902,1.0
b8f9feca-2113-4ca3-b3b1-7641dc31215a,1,1,False,"[(117, 94), (114, 103), (102, 113)]",232,266,76,85,232,108,205,211,117,215,102,211,117,211,117,217,114,215,102,215,102,211,117,215,102,217,114,211,117,213.772,106.6053,213.0435,109.3366,215.0,102.0,211.0,117.0,0.9447004608294932,0.971563981042654
b8f9feca-2113-4ca3-b3b1-7641dc31215a,1,1,False,"[(94, 117), (103, 114), (113, 102)]",266,232,85,76,266,97,205,211,94,215,113,211,94,211,94,217,103,215,113,215,113,211,94,215,113,217,103,211,94,213.772,107.1667,213.0435,103.7069,215.0,113.0,211.0,94.0,0.9447004608294932,0.971563981042654
1a55e941-53ed-48a5-b4ef-3367cfe3aad2,2,22,False,"[(53, 76), (79, 68)]",200,200,39,42,200,56,123,129,53,129,53,129,53,129,53,147,79,129,53,129,53,129,53,129,53,147,79,129,53,129.0,53.0,133.5937,59.6354,141.1764,70.5882,129.0,53.0,0.8367346938775511,0.9534883720930232
1a55e941-53ed-48a5-b4ef-3367cfe3aad2,2,22,False,"[(76, 53), (68, 79)]",200,200,42,39,200,67,123,129,76,129,76,129,76,129,76,147,68,129,76,129,76,129,76,129,76,147,68,129,76,129.0,76.0,133.5937,73.9583,141.1764,70.5882,129.0,76.0,0.8367346938775511,0.9534883720930232
cc384b0e-99a3-4909-b8f6-7778e4a14cfd,3,23,True,"[(130, 107), (91, 114)]",298,320,77,87,298,94,199,205,91,205,91,205,91,205,91,237,130,205,91,205,91,205,91,205,91,237,130,205,91,205.0,91.0,209.7527,96.7924,205.6956,91.8478,205.0,91.0,0.8396624472573839,0.9707317073170731
cc384b0e-99a3-4909-b8f6-7778e4a14cfd,3,23,True,"[(107, 130), (114, 91)]",320,298,87,77,320,105,199,205,114,205,114,205,114,205,114,237,107,205,114,205,114,205,114,205,114,237,107,205,114,205.0,114.0,209.7527,112.9603,205.6956,113.8478,205.0,114.0,0.8396624472573839,0.9707317073170731
cf1253ad-c16c-4e67-9734-9b2effa3932c,0,0,False,"[(79, 102), (97, 74)]",210,244,65,60,210,97,171,171,97,171,97,171,97,171,97,181,79,181,79,181,79,171,97,171,97,181,79,171,97,171.0179,96.9676,175.54809999999998,88.8133,181.0,79.0,171.0,97.0,0.9447513812154696,1.0
cf1253ad-c16c-4e67-9734-9b2effa3932c,0,0,False,"[(102, 79), (74, 97)]",244,210,60,65,244,74,171,171,74,171,74,171,74,171,74,181,102,181,102,181,102,171,74,171,74,181,102,171,74,171.0179,74.0503,175.54809999999998,86.7348,181.0,102.0,171.0,74.0,0.9447513812154696,1.0
