EID,SP1 is PNE,Potential,SP1,SP1|SP1,Min-Min,Min-Max,Min-Sum,Min-Avg,Min-Abs,Max-Min-Surplus,Max-Min-Improvement,Max-Avg-Improvement,MAX-Nash-Value,MIN-Nash-Value,MIN-Sum-Surplus,Social Sum,Nash,Nash-Ratio,Nash-Value,Kalai,Kalai-Ratio,Kalai-Value,Egalitarian,Egalitarian-Ratio,Egalitarian-Value,Utilitarian,Utilitarian-Ratio,Utilitarian-Value,PoS,PoA
44ef9fa0-aadb-43fe-9f0c-f5bac36c4741,False,"[(50, 116), (63, 107)]",100,82,50,63,50,50,63,50,63,50,50,63,50,166,"[50.0, 62.0]","[1.0, 0.0]",112.0,"[45.7393, 64.9497]","[0.6723, 0.3277]",110.68900000000001,"[50.0, 62.0]","[1.0, 0.0]",112.0,"[50.0, 62.0]","[1.0, 0.0]",112.0,0.9764705882352941,1.0
44ef9fa0-aadb-43fe-9f0c-f5bac36c4741,False,"[(116, 50), (107, 63)]",178,160,116,107,116,116,107,116,107,116,116,107,116,166,"[62.0, 50.0]","[1.0, 0.0]",112.0,"[64.9497, 45.7393]","[0.6723, 0.3277]",110.68900000000001,"[62.0, 50.0]","[1.0, 0.0]",112.0,"[62.0, 50.0]","[1.0, 0.0]",112.0,0.9764705882352941,1.0
2cbeaf70-3636-4bd5-9d23-f6bcc211f6ca,False,"[(102, 146), (142, 98)]",144,144,142,142,142,142,102,102,102,102,102,142,142,240,"[38.4998, 46.2002]","[0.9125, 0.0875]",84.7,"[27.641, 59.2308]","[0.641, 0.359]",86.87180000000001,"[42.0, 42.0]","[1.0, 0.0]",84.0,"[2.0, 90.0]","[0.0, 1.0]",92.0,0.967741935483871,1.0
2cbeaf70-3636-4bd5-9d23-f6bcc211f6ca,False,"[(146, 102), (98, 142)]",188,188,98,98,98,98,146,146,146,146,146,98,98,240,"[46.2002, 38.4998]","[0.9125, 0.0875]",84.7,"[59.2308, 27.641]","[0.641, 0.359]",86.87180000000001,"[42.0, 42.0]","[1.0, 0.0]",84.0,"[90.0, 2.0]","[0.0, 1.0]",92.0,0.967741935483871,1.0
e0032efe-dc20-4c71-b075-130fd896584f,False,"[(275, 319), (293, 315)]",650,650,275,293,275,275,293,293,293,275,275,293,275,584,"[375.0, 309.0]","[1.0, 0.0]",684.0,"[371.2153, 309.841]","[0.7897, 0.2103]",681.0563,"[357.0, 313.0]","[-0.0, 1.0]",670.0,"[375.0, 309.0]","[1.0, 0.0]",684.0,0.9605263157894737,0.9831649831649831
e0032efe-dc20-4c71-b075-130fd896584f,False,"[(319, 275), (315, 293)]",628,628,319,315,319,319,315,315,315,319,319,315,319,584,"[309.0, 375.0]","[1.0, 0.0]",684.0,"[309.841, 371.2153]","[0.7897, 0.2103]",681.0563,"[313.0, 357.0]","[-0.0, 1.0]",670.0,"[309.0, 375.0]","[1.0, 0.0]",684.0,0.9605263157894737,0.9831649831649831
d2b76ac4-e9f8-4d80-9725-f39eeb5c9e8b,False,"[(50, 116), (63, 107)]",100,100,50,63,50,50,63,50,63,50,50,63,50,166,"[50.0, 62.0]","[1.0, 0.0]",112.0,"[45.7393, 64.9497]","[0.6723, 0.3277]",110.68900000000001,"[50.0, 62.0]","[1.0, 0.0]",112.0,"[50.0, 62.0]","[1.0, 0.0]",112.0,0.9764705882352941,1.0
d2b76ac4-e9f8-4d80-9725-f39eeb5c9e8b,False,"[(116, 50), (107, 63)]",178,178,116,107,116,116,107,116,107,116,116,107,116,166,"[62.0, 50.0]","[1.0, 0.0]",112.0,"[64.9497, 45.7393]","[0.6723, 0.3277]",110.68900000000001,"[62.0, 50.0]","[1.0, 0.0]",112.0,"[62.0, 50.0]","[1.0, 0.0]",112.0,0.9764705882352941,1.0
b5bac2b9-07c7-4c7a-a4bc-052724b63525,True,"[(95, 117), (90, 134)]",100,100,90,95,95,95,95,90,90,95,95,90,95,204,"[6.4706, 22.0]","[0.7059, 0.2941]",28.4706,"[7.2131, 19.4754]","[0.5574, 0.4426]",26.6885,"[10.0, 10.0]","[-0.0, 1.0]",20.0,"[5.0, 27.0]","[1.0, 0.0]",32.0,0.9107142857142857,0.9622641509433962
b5bac2b9-07c7-4c7a-a4bc-052724b63525,True,"[(117, 95), (134, 90)]",144,144,134,117,117,117,117,134,134,117,117,134,117,204,"[22.0, 6.4706]","[0.7059, 0.2941]",28.4706,"[19.4754, 7.2131]","[0.5574, 0.4426]",26.6885,"[10.0, 10.0]","[-0.0, 1.0]",20.0,"[27.0, 5.0]","[1.0, 0.0]",32.0,0.9107142857142857,0.9622641509433962
