eid,manhatten_div,path_time_div,is_sp_pne,Potential,SP1(1),SP(2),SP2(1),SP2(2),SP1|SP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai,Individual Time In Kalai,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
fde25168-4520-4600-9747-435b824637d3,1,11,True,"[(73, 50), (58, 69)]",100,100,40,41,100,49,121,123,73,127,58,123,73,123,73,127,58,127,58,127,58,123,73,123,73,127,58,123,73,124.66319999999999,66.7632,124.93799999999999,65.73259999999999,125.7058,62.8529,123.0,73.0,0.952755905511811,0.983739837398374
fde25168-4520-4600-9747-435b824637d3,1,11,True,"[(50, 73), (69, 58)]",100,100,41,40,100,72,121,123,50,127,69,123,50,123,50,127,69,127,69,127,69,123,50,123,50,127,69,123,50,124.66319999999999,57.9,124.93799999999999,59.2054,125.7058,62.8529,123.0,50.0,0.952755905511811,0.983739837398374
8b6b2729-a37f-4ba6-84a9-41da48e79777,2,22,False,"[(39, 50), (31, 54)]",90,90,22,22,90,34,79,85,31,89,39,85,31,85,31,89,39,89,39,89,39,85,31,85,31,89,39,85,31,85.0,31.000100000000003,86.6979,34.3957,89.0,39.0,85.0,31.0,0.8876404494382022,0.9294117647058824
8b6b2729-a37f-4ba6-84a9-41da48e79777,2,22,False,"[(50, 39), (54, 31)]",90,90,22,22,90,45,79,85,54,89,50,85,54,85,54,89,50,89,50,89,50,85,54,85,54,89,50,85,54,85.0,53.9999,86.6979,52.3022,89.0,50.0,85.0,54.0,0.8876404494382022,0.9294117647058824
df8cdc26-0e5a-47a6-9bf2-58d3e5dd7151,0,0,True,"[(70, 47), (62, 51)]",90,56,34,20,90,61,111,117,70,113,62,113,62,113,62,113,62,117,70,117,70,113,62,117,70,113,62,113,62,116.9999,69.9998,115.4348,66.86959999999999,117.0,70.0,113.0,62.0,0.9487179487179487,0.9823008849557522
df8cdc26-0e5a-47a6-9bf2-58d3e5dd7151,0,0,True,"[(47, 70), (51, 62)]",56,90,20,34,56,50,111,117,47,113,51,113,51,113,51,113,51,117,47,117,47,113,51,117,47,113,51,113,51,116.9999,47.0001,115.4348,48.5652,117.0,47.0,113.0,51.0,0.9487179487179487,0.9823008849557522
9f5ebfd2-b1da-4222-8d6e-7488fec58c44,2,22,False,"[(59, 36), (38, 61)]",90,90,27,32,90,50,89,95,59,95,59,95,59,95,59,95,59,95,59,95,59,95,59,95,59,99,38,95,59,96.36760000000001,51.82,96.86359999999999,49.2161,97.0,48.5,95.0,59.0,0.898989898989899,0.9368421052631579
9f5ebfd2-b1da-4222-8d6e-7488fec58c44,2,22,False,"[(36, 59), (61, 38)]",90,90,32,27,90,39,89,95,36,95,36,95,36,95,36,95,36,95,36,95,36,95,36,95,36,99,61,95,36,96.36760000000001,44.5476,96.86359999999999,47.6475,97.0,48.5,95.0,36.0,0.898989898989899,0.9368421052631579
f42d2fb8-2820-48ee-b232-4232bcbf2361,2,22,False,"[(42, 53), (59, 36)]",90,90,27,27,90,50,89,95,59,95,42,95,42,95,42,95,42,95,42,95,42,95,42,95,42,95,59,95,42,95.0,47.5,95.0,50.0,95.0,47.5,95.0,59.0,0.9368421052631579,0.9368421052631579
f42d2fb8-2820-48ee-b232-4232bcbf2361,2,22,False,"[(53, 42), (36, 59)]",90,90,27,27,90,39,89,95,36,95,53,95,53,95,53,95,53,95,53,95,53,95,53,95,53,95,36,95,53,95.0,47.5,95.0,45.0,95.0,47.5,95.0,36.0,0.9368421052631579,0.9368421052631579
01a2f2e9-c95e-4527-a2ba-200658a40eb6,0,0,False,"[(287, 310), (291, 302)]",1024,1058,276,279,1024,290,591,597,287,593,291,593,291,593,291,593,291,597,287,593,291,593,291,593,291,597,287,593,291,593.0,291.0,594.356,289.64390000000003,597.0,287.0,593.0,291.0,0.9899497487437185,0.9966273187183811
01a2f2e9-c95e-4527-a2ba-200658a40eb6,0,0,False,"[(310, 287), (302, 291)]",1058,1024,279,276,1058,301,591,597,310,593,302,593,302,593,302,593,302,597,310,593,302,593,302,593,302,597,310,593,302,593.0,302.0,594.356,304.71209999999996,597.0,310.0,593.0,302.0,0.9899497487437185,0.9966273187183811
f6268183-b04e-4296-aa94-84168c4d0108,2,22,False,"[(40, 51), (36, 59)]",90,90,27,18,90,39,89,95,36,91,40,91,40,91,40,91,40,91,40,91,40,91,40,91,40,95,36,91,40,91.0,40.0,92.0612,38.9388,91.0,40.0,91.0,40.0,0.9368421052631579,0.978021978021978
f6268183-b04e-4296-aa94-84168c4d0108,2,22,False,"[(51, 40), (59, 36)]",90,90,18,27,90,50,89,95,59,91,51,91,51,91,51,91,51,91,51,91,51,91,51,91,51,95,59,91,51,91.0,51.0,92.0612,53.1224,91.0,51.0,91.0,51.0,0.9368421052631579,0.978021978021978
c6bdeeb0-7921-4ada-8f71-b71d3aacd1bf,3,23,True,"[(46, 91), (91, 46)]",100,122,32,32,100,82,131,137,46,137,46,137,46,137,46,137,46,137,46,137,46,137,46,137,46,137,91,137,46,137.0,57.5,137.0,64.6923,137.0,57.5,137.0,91.0,0.9562043795620438,0.9562043795620438
c6bdeeb0-7921-4ada-8f71-b71d3aacd1bf,3,23,True,"[(91, 46), (46, 91)]",122,100,32,32,122,49,131,137,91,137,91,137,91,137,91,137,91,137,91,137,91,137,91,137,91,137,46,137,91,137.0,79.5,137.0,72.3077,137.0,79.5,137.0,46.0,0.9562043795620438,0.9562043795620438
8d551a6a-0f9b-40a2-a3d5-e75fcb8f949c,2,22,False,"[(36, 81), (40, 73)]",90,112,27,45,90,39,111,117,36,113,40,113,40,113,40,113,40,113,40,113,40,113,40,113,40,117,36,113,40,113.0,40.0,114.0612,38.9388,113.0,40.0,113.0,40.0,0.9487179487179487,0.9823008849557522
8d551a6a-0f9b-40a2-a3d5-e75fcb8f949c,2,22,False,"[(81, 36), (73, 40)]",112,90,45,27,112,72,111,117,81,113,73,113,73,113,73,113,73,113,73,113,73,113,73,113,73,117,81,113,73,113.0,73.0,114.0612,75.1224,113.0,73.0,113.0,73.0,0.9487179487179487,0.9823008849557522
60cd8f01-6b82-4145-847d-fb3820bab003,2,22,False,"[(45, 68), (86, 63)]",90,90,31,27,90,48,107,113,45,113,45,113,45,113,45,113,45,113,45,113,45,113,45,113,45,149,86,113,45,113.0,45.0,119.08109999999999,51.9257,131.0,65.5,113.0,45.0,0.7181208053691275,0.9469026548672567
60cd8f01-6b82-4145-847d-fb3820bab003,2,22,False,"[(68, 45), (63, 86)]",90,90,27,31,90,59,107,113,68,113,68,113,68,113,68,113,68,113,68,113,68,113,68,113,68,149,63,113,68,113.0,68.0,119.08109999999999,67.1554,131.0,65.5,113.0,68.0,0.7181208053691275,0.9469026548672567
6deff5ca-6662-4e80-9f2d-ee773c954fda,2,22,False,"[(40, 29), (36, 47)]",90,78,22,15,90,40,69,69,40,69,40,69,40,69,40,69,40,69,40,69,40,69,40,69,40,83,36,69,40,69.0,40.0,71.3493,39.3288,69.0,40.0,69.0,40.0,0.8313253012048193,1.0
6deff5ca-6662-4e80-9f2d-ee773c954fda,2,22,False,"[(29, 40), (47, 36)]",78,90,15,22,78,29,69,69,29,69,29,69,29,69,29,69,29,69,29,69,29,69,29,69,29,83,47,69,29,69.0,29.0,71.3493,32.0205,69.0,29.0,69.0,29.0,0.8313253012048193,1.0
9648eb94-8aa9-413d-9325-c7519ed88637,3,23,True,"[(58, 81), (72, 49)]",122,100,44,32,122,63,115,121,72,121,72,121,72,121,72,139,58,121,72,121,72,121,72,121,72,139,58,121,72,121.0,72.0,125.6532,68.3809,121.3914,71.6957,121.0,72.0,0.8273381294964028,0.9504132231404959
9648eb94-8aa9-413d-9325-c7519ed88637,3,23,True,"[(81, 58), (49, 72)]",100,122,32,44,100,52,115,121,49,121,49,121,49,121,49,139,81,121,49,121,49,121,49,121,49,139,81,121,49,121.0,49.0,125.6532,57.2723,121.3914,49.6957,121.0,49.0,0.8273381294964028,0.9504132231404959
1ee6a5bd-34d0-4ce5-adf5-f5240a4d0b4f,3,23,True,"[(50, 73), (76, 65)]",122,122,36,47,122,53,117,123,50,123,50,123,50,123,50,141,76,123,50,123,50,123,50,123,50,141,76,123,50,123.0,50.0,128.0379,57.277,135.1764,67.5882,123.0,50.0,0.8297872340425532,0.9512195121951219
1ee6a5bd-34d0-4ce5-adf5-f5240a4d0b4f,3,23,True,"[(73, 50), (65, 76)]",122,122,47,36,122,64,117,123,73,123,73,123,73,123,73,141,65,123,73,123,73,123,73,123,73,141,65,123,73,123.0,73.0,128.0379,70.76089999999999,135.1764,67.5882,123.0,73.0,0.8297872340425532,0.9512195121951219
5210ef19-cb07-41ff-9545-4d0883dfc4ef,2,22,False,"[(42, 31), (50, 27)]",90,90,18,18,90,41,71,77,50,73,42,73,42,73,42,73,42,73,42,73,42,73,42,73,42,77,50,73,42,73.0,42.0,74.1035,44.2069,73.0,42.0,73.0,42.0,0.922077922077922,0.9726027397260274
5210ef19-cb07-41ff-9545-4d0883dfc4ef,2,22,False,"[(31, 42), (27, 50)]",90,90,18,18,90,30,71,77,27,73,31,73,31,73,31,73,31,73,31,73,31,73,31,73,31,77,27,73,31,73.0,31.0,74.1035,29.8966,73.0,31.0,73.0,31.0,0.922077922077922,0.9726027397260274
209c42f8-8287-46ef-99bc-e05cb7ec932a,1,1,False,"[(28, 51), (32, 43)]",100,112,19,22,100,31,73,79,28,75,32,75,32,75,32,75,32,75,32,75,32,75,32,75,32,79,28,75,32,75.0,32.0,76.29570000000001,30.7042,75.33340000000001,31.666700000000006,75.0,32.0,0.9240506329113924,0.9733333333333334
209c42f8-8287-46ef-99bc-e05cb7ec932a,1,1,False,"[(51, 28), (43, 32)]",112,100,22,19,112,42,73,79,51,75,43,75,43,75,43,75,43,75,43,75,43,75,43,75,43,79,51,75,43,75.0,43.0,76.29570000000001,45.591499999999996,75.33340000000001,43.666700000000006,75.0,43.0,0.9240506329113924,0.9733333333333334
928729d8-6de9-4344-a699-f198c85f9022,2,22,False,"[(33, 44), (46, 35)]",100,134,19,26,100,33,77,77,33,77,33,77,33,77,33,77,33,77,33,77,33,77,33,77,33,81,46,77,33,77.0,33.0,78.27620000000002,37.1476,77.0,33.0,77.0,33.0,0.9506172839506173,1.0
928729d8-6de9-4344-a699-f198c85f9022,2,22,False,"[(44, 33), (35, 46)]",134,100,26,19,134,44,77,77,44,77,44,77,44,77,44,77,44,77,44,77,44,77,44,77,44,81,35,77,44,77.0,44.0,78.27620000000002,41.128600000000006,77.0,44.0,77.0,44.0,0.9506172839506173,1.0
a3ac1821-4ce9-4834-8f72-55a7f40d792c,2,22,False,"[(46, 57), (50, 39), (42, 65)]",90,90,28,19,90,50,89,89,50,89,50,89,50,89,50,103,46,89,50,89,50,89,50,89,50,107,42,89,50,89.0,50.0,93.4348,48.029,94.8236,47.4118,89.0,50.0,0.8317757009345794,1.0
a3ac1821-4ce9-4834-8f72-55a7f40d792c,2,22,False,"[(57, 46), (39, 50), (65, 42)]",90,90,19,28,90,39,89,89,39,89,39,89,39,89,39,103,57,89,39,89,39,89,39,89,39,107,65,89,39,89.0,39.0,93.4348,45.4058,94.8236,47.4118,89.0,39.0,0.8317757009345794,1.0
251ac52b-6b74-4242-b8ad-ed41245f3df9,0,0,False,"[(46, 57), (42, 65)]",100,146,31,34,100,45,101,107,42,103,46,103,46,103,46,103,46,107,42,107,42,103,46,103,46,107,42,103,46,103.0,46.0,104.73660000000001,44.2634,107.0,42.0,103.0,46.0,0.9439252336448598,0.9805825242718447
251ac52b-6b74-4242-b8ad-ed41245f3df9,0,0,False,"[(57, 46), (65, 42)]",146,100,34,31,146,56,101,107,65,103,57,103,57,103,57,103,57,107,65,107,65,103,57,103,57,107,65,103,57,103.0,57.0,104.73660000000001,60.473200000000006,107.0,65.0,103.0,57.0,0.9439252336448598,0.9805825242718447
eb4f1771-33d3-4996-9f02-e4cb784f02db,1,1,True,"[(62, 39), (37, 48)]",100,122,23,30,100,37,85,85,37,85,37,85,37,85,37,85,37,85,37,85,37,85,37,85,37,101,62,85,37,85.0,37.0,88.43379999999999,42.3653,85.0,37.0,85.0,37.0,0.8415841584158416,1.0
eb4f1771-33d3-4996-9f02-e4cb784f02db,1,1,True,"[(39, 62), (48, 37)]",122,100,30,23,122,48,85,85,48,85,48,85,48,85,48,85,48,85,48,85,48,85,48,85,48,101,39,85,48,85.0,48.0,88.43379999999999,46.0685,85.0,48.0,85.0,48.0,0.8415841584158416,1.0
924d6002-d0e8-47a0-bfcb-49e309cc5db7,0,0,False,"[(35, 58), (65, 54)]",100,134,26,26,100,38,87,93,35,93,35,93,35,93,35,119,65,93,35,93,35,93,35,93,35,119,65,93,35,93.0,35.0,95.54129999999998,37.9323,93.0,35.0,93.0,35.0,0.7310924369747899,0.9354838709677419
924d6002-d0e8-47a0-bfcb-49e309cc5db7,0,0,False,"[(58, 35), (54, 65)]",134,100,26,26,134,49,87,93,58,93,58,93,58,93,58,119,54,93,58,93,58,93,58,93,58,119,54,93,58,93.0,58.0,95.54129999999998,57.608999999999995,93.0,58.0,93.0,58.0,0.7310924369747899,0.9354838709677419
50ac952f-8846-466f-8c7c-5bc368c8b0b1,0,0,False,"[(59, 48), (30, 53)]",100,134,19,26,100,33,77,83,30,83,30,83,30,83,30,107,59,83,30,83,30,83,30,83,30,107,59,83,30,83.0,30.0,85.9536,33.5689,83.0,30.0,83.0,30.0,0.719626168224299,0.927710843373494
50ac952f-8846-466f-8c7c-5bc368c8b0b1,0,0,False,"[(48, 59), (53, 30)]",134,100,26,19,134,44,77,83,53,83,53,83,53,83,53,107,48,83,53,83,53,83,53,83,53,107,48,83,53,83.0,53.0,85.9536,52.384699999999995,83.0,53.0,83.0,53.0,0.719626168224299,0.927710843373494
91ea7cf0-2331-43f4-827e-2fad11437c87,1,11,False,"[(52, 75), (74, 63), (56, 67)]",144,122,43,43,144,55,121,127,52,123,56,123,56,123,56,137,74,137,74,137,74,123,56,123,56,137,74,123,56,123.0,56.0,124.29230000000001,57.661500000000004,137.0,74.0,123.0,56.0,0.8832116788321168,0.983739837398374
91ea7cf0-2331-43f4-827e-2fad11437c87,1,11,False,"[(75, 52), (63, 74), (67, 56)]",122,144,43,43,122,66,121,127,75,123,67,123,67,123,67,137,63,137,63,137,63,123,67,123,67,137,63,123,67,123.0,67.0,124.29230000000001,66.6308,137.0,63.0,123.0,67.0,0.8832116788321168,0.983739837398374
