eid,manhatten_div,path_time_div,is_sp_pne,Potential,SP1(1),SP(2),SP2(1),SP2(2),SP1|SP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai,Individual Time In Kalai,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
f420ba0f-5f9b-4300-9c8f-4d47c8702d15,0,0,FALSE,"[(56, 123), (100, 111), (63, 118)]",100,200,19,48,100,59,173,179,56,211,100,179,56,179,56,211,100,179,56,179,56,179,56,179,56,211,100,179,56,179,56,180.2526,60.3843,179,56,179,56,0.819905213,0.966480447
f420ba0f-5f9b-4300-9c8f-4d47c8702d15,0,0,FALSE,"[(123, 56), (111, 100), (118, 63)]",200,100,48,19,200,114,173,179,123,211,111,179,123,179,123,211,111,179,123,179,123,179,123,179,123,211,111,179,123,179,123,180.2526,119.8683,179,123,179,123,0.819905213,0.966480447
57f018de-e970-4bbe-b582-94934690135f,0,0,TRUE,"[(71, 126), (67, 134)]",100,234,19,55,100,70,195,201,67,197,71,197,71,197,71,197,71,201,67,201,67,201,67,201,67,197,71,197,71,201,67,199.4827,68.5172,201,67,197,71,0.970149254,0.989847716
57f018de-e970-4bbe-b582-94934690135f,0,0,TRUE,"[(126, 71), (134, 67)]",234,100,55,19,234,125,195,201,134,197,126,197,126,197,126,197,126,201,134,201,134,201,134,201,134,197,126,197,126,201,134,199.4827,130.9655,201,134,197,126,0.970149254,0.989847716
3c7033ae-9bef-4aa4-a852-360dea5f9f40,0,0,FALSE,"[(67, 122), (59, 126)]",100,234,19,45,100,62,179,185,59,189,67,185,59,185,59,189,67,185,59,185,59,185,59,185,59,189,67,185,59,185,59,185.6188,60.2377,185,59,185,59,0.947089947,0.967567568
3c7033ae-9bef-4aa4-a852-360dea5f9f40,0,0,FALSE,"[(122, 67), (126, 59)]",234,100,45,19,234,117,179,185,126,189,122,185,126,185,126,189,122,185,126,185,126,185,126,185,126,189,122,185,126,185,126,185.6188,125.3811,185,126,185,126,0.947089947,0.967567568
12d99f07-4164-4a78-9b5c-35850f519040,0,0,FALSE,"[(39, 51), (43, 43)]",100,124,27,35,100,42,84,90,39,86,43,86,43,86,43,86,43,90,39,90,39,86,43,86,43,90,39,86,43,86,43,87.596,41.4039,90,39,86,43,0.933333333,0.976744186
12d99f07-4164-4a78-9b5c-35850f519040,0,0,FALSE,"[(51, 39), (43, 43)]",124,100,35,27,124,42,84,90,51,86,43,86,43,86,43,86,43,90,51,90,51,86,43,86,43,90,51,86,43,86,43,87.596,46.1921,90,51,86,43,0.933333333,0.976744186
67d586d3-c4cf-4787-aa23-29cd9f592779,0,0,FALSE,"[(226, 50), (235, 15)]",298,78,63,15,289,235,250,250,235,276,226,250,235,250,235,276,226,250,235,276,226,250,235,250,235,276,226,250,235,250,235,254.7755,233.3469,250,235,250,235,0.905797101,1
67d586d3-c4cf-4787-aa23-29cd9f592779,0,0,FALSE,"[(50, 226), (15, 235)]",78,298,15,63,69,15,250,250,15,276,50,250,15,250,15,276,50,250,15,276,50,250,15,250,15,276,50,250,15,250,15,254.7755,21.4286,250,15,250,15,0.905797101,1
03a110ce-c2fa-479d-b7dc-35c82b422d1a,0,0,FALSE,"[(31, 43), (40, 40)]",100,124,28,34,100,34,68,74,31,80,40,74,31,74,31,80,40,74,31,74,31,74,31,74,31,80,40,74,31,74,31,75.2897,32.9346,74,31,74,31,0.85,0.918918919
03a110ce-c2fa-479d-b7dc-35c82b422d1a,0,0,FALSE,"[(43, 31), (40, 40)]",124,100,34,28,124,34,68,74,43,80,40,74,43,74,43,80,40,74,43,74,43,74,43,74,43,80,40,74,43,74,43,75.2897,42.3551,74,43,74,43,0.85,0.918918919
f57a16cd-88fb-4f4e-b9c9-574387ef1de1,0,0,FALSE,"[(27, 39), (35, 23)]",80,56,27,20,80,35,58,58,35,58,35,58,35,58,35,66,27,58,35,58,35,58,35,58,35,66,27,58,35,58,35,59.8993,33.1007,58,35,58,35,0.878787879,1
f57a16cd-88fb-4f4e-b9c9-574387ef1de1,0,0,FALSE,"[(39, 27), (23, 35)]",56,80,20,27,56,23,58,58,23,58,23,58,23,58,23,66,39,58,23,58,23,58,23,58,23,66,39,58,23,58,23,59.8993,26.7986,58,23,58,23,0.878787879,1
d2469663-e810-44c5-8381-e34fb1dfe3cb,0,0,FALSE,"[(31, 43), (44, 32)]",80,56,19,20,80,34,68,74,31,74,31,74,31,74,31,74,31,76,44,76,44,76,44,76,44,74,31,74,31,75.998,43.987,75.2667,39.2338,76,44,74,31,0.894736842,0.918918919
d2469663-e810-44c5-8381-e34fb1dfe3cb,0,0,FALSE,"[(43, 31), (32, 44)]",56,80,20,19,56,34,68,74,43,74,43,74,43,74,43,74,43,76,32,76,32,76,32,76,32,74,43,74,43,75.998,32.011,75.2667,36.0329,76,32,74,43,0.894736842,0.918918919
a3cc0429-238e-4d7b-bb0c-d4b9827df8f9,0,0,FALSE,"[(43, 43), (51, 39)]",168,144,42,36,168,42,84,90,51,86,43,86,43,86,43,86,43,90,51,86,43,86,43,86,43,90,51,86,43,86,43,87.4926,45.9851,90,51,86,43,0.933333333,0.976744186
