EID,SP1 is PNE,Potential,SP1,SP1|SP1,Min-Min,Min-Max,Min-Sum,Min-Avg,Min-Abs,Max-Min-Surplus,Max-Min-Improvement,Max-Avg-Improvement,MAX-Nash-Value,MIN-Nash-Value,MIN-Sum-Surplus,Social Sum,Nash,Nash-Ratio,Nash-Value,Kalai,Kalai-Ratio,Kalai-Value,Egalitarian,Egalitarian-Ratio,Egalitarian-Value,Utilitarian,Utilitarian-Ratio,Utilitarian-Value,PoS,PoA
af345a88-0111-4bd8-aa4e-ab3363647a0d,False,"[(386, 393), (392, 385), (382, 397)]",1178,1178,382,392,392,392,386,392,392,392,392,382,392,777,"[786.0002, 770.9998]","[0.0, 1.0, 0.0]",1557.0,"[790.4665, 765.6403]","[0.0, 0.5534, 0.4466]",1556.1068,"[786.0, 771.0]","[-0.0, 1.0, 0.0]",1557.0,"[786.0, 771.0]","[0.0, 1.0, 0.0]",1557.0,0.9974326059050064,1.0
af345a88-0111-4bd8-aa4e-ab3363647a0d,False,"[(393, 386), (385, 392), (397, 382)]",1156,1156,397,385,385,385,393,385,385,385,385,397,385,777,"[770.9998, 786.0002]","[0.0, 1.0, 0.0]",1557.0,"[765.6403, 790.4665]","[0.0, 0.5534, 0.4466]",1556.1068,"[771.0, 786.0]","[-0.0, 1.0, 0.0]",1557.0,"[771.0, 786.0]","[0.0, 1.0, 0.0]",1557.0,0.9974326059050064,1.0
f97a3590-227b-4872-8676-fc1932cddcbb,False,"[(78, 63), (58, 73), (74, 67)]",134,134,58,58,58,58,74,58,58,58,58,78,58,129,"[76.0, 91.0]","[0.0, 1.0, 0.0]",167.0,"[70.5324, 93.7338]","[0.2734, 0.7266, 0.0]",164.2662,"[76.0, 91.0]","[0.0, 1.0, -0.0]",167.0,"[76.0, 91.0]","[0.0, 1.0, 0.0]",167.0,0.9148936170212766,0.9847328244274809
f97a3590-227b-4872-8676-fc1932cddcbb,False,"[(63, 78), (73, 58), (67, 74)]",164,164,73,73,73,73,67,73,73,73,73,63,73,129,"[91.0, 76.0]","[0.0, 1.0, 0.0]",167.0,"[93.7338, 70.5324]","[0.2734, 0.7266, 0.0]",164.2662,"[91.0, 76.0]","[0.0, 1.0, -0.0]",167.0,"[91.0, 76.0]","[0.0, 1.0, 0.0]",167.0,0.9148936170212766,0.9847328244274809
34672ac1-9ce2-4594-bd37-80890be67568,False,"[(60, 53), (55, 62)]",134,134,60,60,60,60,60,55,55,60,60,55,60,113,"[74.0, 95.0]","[1.0, 0.0]",169.0,"[76.0025, 91.3954]","[0.5995, 0.4005]",167.3979,"[79.0, 86.0]","[-0.0, 1.0]",165.0,"[74.0, 95.0]","[1.0, 0.0]",169.0,0.9658119658119658,1.0
34672ac1-9ce2-4594-bd37-80890be67568,False,"[(53, 60), (62, 55)]",148,148,53,53,53,53,53,62,62,53,53,62,53,113,"[95.0, 74.0]","[1.0, 0.0]",169.0,"[91.3954, 76.0025]","[0.5995, 0.4005]",167.3979,"[86.0, 79.0]","[-0.0, 1.0]",165.0,"[95.0, 74.0]","[1.0, 0.0]",169.0,0.9658119658119658,1.0
f21a5256-88c4-4d4c-91ac-33aff5fe93b1,False,"[(71, 86), (72, 79), (76, 61)]",134,134,76,76,76,76,72,71,72,76,76,71,76,137,"[58.0, 95.0]","[0.0, 0.0, 1.0]",153.0,"[59.255, 89.3527]","[0.0, 0.3137, 0.6863]",148.6077,"[63.0, 70.0]","[1.0, -0.0, 0.0]",133.0,"[58.0, 95.0]","[0.0, 0.0, 1.0]",153.0,0.8726114649681529,1.0
f21a5256-88c4-4d4c-91ac-33aff5fe93b1,False,"[(86, 71), (79, 72), (61, 76)]",156,156,61,61,61,61,79,86,79,61,61,86,61,137,"[95.0, 58.0]","[0.0, 0.0, 1.0]",153.0,"[89.3527, 59.255]","[0.0, 0.3137, 0.6863]",148.6077,"[70.0, 63.0]","[1.0, -0.0, 0.0]",133.0,"[95.0, 58.0]","[0.0, 0.0, 1.0]",153.0,0.8726114649681529,1.0
1c6e4ac9-563a-41ed-989b-e3d0e5e99ecc,False,"[(56, 63), (60, 45)]",122,122,60,60,60,60,56,60,60,60,60,56,60,103,"[62.0, 47.0]","[0.0, 1.0]",109.0,"[62.5465, 44.5407]","[0.1366, 0.8634]",107.0872,"[62.0, 47.0]","[-0.0, 1.0]",109.0,"[62.0, 47.0]","[0.0, 1.0]",109.0,0.865546218487395,0.9809523809523809
1c6e4ac9-563a-41ed-989b-e3d0e5e99ecc,False,"[(63, 56), (45, 60)]",92,92,45,45,45,45,63,45,45,45,45,63,45,103,"[47.0, 62.0]","[0.0, 1.0]",109.0,"[44.5407, 62.5465]","[0.1366, 0.8634]",107.0872,"[47.0, 62.0]","[-0.0, 1.0]",109.0,"[47.0, 62.0]","[0.0, 1.0]",109.0,0.865546218487395,0.9809523809523809
fb3d869f-a2ed-4eb0-ba82-13fba9279ebc,False,"[(47, 54), (56, 49)]",134,134,47,47,47,47,47,56,56,47,47,56,47,101,"[87.0, 66.0]","[1.0, 0.0]",153.0,"[83.3547, 68.0251]","[0.595, 0.405]",151.3798,"[78.0, 71.0]","[-0.0, 1.0]",149.0,"[87.0, 66.0]","[1.0, 0.0]",153.0,0.9619047619047619,1.0
fb3d869f-a2ed-4eb0-ba82-13fba9279ebc,False,"[(54, 47), (49, 56)]",120,120,54,54,54,54,54,49,49,54,54,49,54,101,"[66.0, 87.0]","[1.0, 0.0]",153.0,"[68.0251, 83.3547]","[0.595, 0.405]",151.3798,"[71.0, 78.0]","[-0.0, 1.0]",149.0,"[66.0, 87.0]","[1.0, 0.0]",153.0,0.9619047619047619,1.0
8a6f91fe-27fc-43f0-ba26-40aebe39ee85,False,"[(57, 64), (62, 55)]",128,128,62,62,62,62,57,62,62,62,62,57,62,117,"[66.0, 73.0]","[0.0, 1.0]",139.0,"[67.8177, 69.7281]","[0.3635, 0.6365]",137.54579999999999,"[68.5, 68.5]","[0.5, 0.5]",137.0,"[66.0, 73.0]","[0.0, 1.0]",139.0,0.9669421487603306,1.0
