eid,manhatten_div,path_time_div,is_sp_pne,Potential,SP1(1),SP(2),SP2(1),SP2(2),SP1|SP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai,Individual Time In Kalai,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
fb4d4433-0704-4979-bc87-d815bb0ee999,1,11,False,"[(71, 94), (81, 70)]",254,254,62,56,254,81,151,151,81,151,81,151,81,151,81,151,81,151,81,151,81,151,81,151,81,165,71,151,81,151.0,81.0,155.13350000000003,78.04750000000001,155.5294,77.7647,151.0,81.0,0.9151515151515152,1.0
fb4d4433-0704-4979-bc87-d815bb0ee999,1,11,False,"[(94, 71), (70, 81)]",254,254,56,62,254,70,151,151,70,151,70,151,70,151,70,151,70,151,70,151,70,151,70,151,70,165,94,151,70,151.0,70.0,155.13350000000003,77.08600000000001,155.5294,77.7647,151.0,70.0,0.9151515151515152,1.0
f47e3b44-adf5-4b05-85e7-90899712a60b,1,11,False,"[(81, 58), (74, 63)]",200,166,46,35,200,72,133,139,81,137,74,137,74,137,74,137,74,139,81,137,74,137,74,137,74,139,81,137,74,137.0,74.0,137.9091,77.1818,139.0,81.0,137.0,74.0,0.9568345323741008,0.9708029197080292
f47e3b44-adf5-4b05-85e7-90899712a60b,1,11,False,"[(58, 81), (63, 74)]",166,200,35,46,166,61,133,139,58,137,63,137,63,137,63,137,63,139,58,137,63,137,63,137,63,139,58,137,63,137.0,63.0,137.9091,60.7273,139.0,58.0,137.0,63.0,0.9568345323741008,0.9708029197080292
4c49db9f-0018-4ea8-8d89-d1917573c4c2,2,22,False,"[(70, 47), (53, 64)]",200,200,38,38,200,61,111,117,70,117,53,117,70,117,70,117,53,117,53,117,53,117,70,117,53,117,70,117,70,117.0,58.5,117.0,61.33000000000001,117.0,58.5,117.0,53.0,0.9487179487179487,0.9487179487179487
4c49db9f-0018-4ea8-8d89-d1917573c4c2,2,22,False,"[(47, 70), (64, 53)]",200,200,38,38,200,50,111,117,47,117,64,117,47,117,47,117,64,117,64,117,64,117,47,117,64,117,47,117,47,117.0,58.5,117.0,55.66999999999999,117.0,58.5,117.0,64.0,0.9487179487179487,0.9487179487179487
3d59839f-a1fc-481b-8f3a-8c8b837fbd1c,1,11,False,"[(60, 115), (93, 104), (133, 100)]",210,210,51,77,210,60,175,175,60,197,93,175,60,175,60,197,93,197,93,197,93,175,60,175,60,233,133,175,60,175.0,60.0,184.375,74.0625,206.0,103.0,175.0,60.0,0.7510729613733905,1.0
3d59839f-a1fc-481b-8f3a-8c8b837fbd1c,1,11,False,"[(115, 60), (104, 93), (100, 133)]",210,210,77,51,210,115,175,175,115,197,104,175,115,175,115,197,104,197,104,197,104,175,115,175,115,233,100,175,115,175.0,115.0,184.375,110.3125,206.0,103.0,175.0,115.0,0.7510729613733905,1.0
99017375-5ab0-4846-94c3-ad8c6a541f65,0,0,False,"[(135, 68), (127, 72)]",278,144,72,31,278,126,197,203,135,199,127,199,127,199,127,199,127,203,135,203,135,199,127,199,127,203,135,199,127,200.7499,130.4999,200.9934,130.9868,203.0,135.0,199.0,127.0,0.9704433497536946,0.9899497487437185
99017375-5ab0-4846-94c3-ad8c6a541f65,0,0,False,"[(68, 135), (72, 127)]",144,278,31,72,144,71,197,203,68,199,72,199,72,199,72,199,72,203,68,203,68,199,72,199,72,203,68,199,72,200.7499,70.25,200.9934,70.0066,203.0,68.0,199.0,72.0,0.9704433497536946,0.9899497487437185
