eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
936ed746-a6e5-46e0-a18b-7c8a5f19ea17,0,False,"[(92, 103), (93, 82), (101, 78)]",398,364,74,67,398,92,173,179,101,175,93,175,93,175,93,195,92,179,101,175,93,175,93,175,93,195,92,175,93,175.0,93.0,175.0,93.0,176.0684,95.13670000000002,179.0,101.0,1.1271676300578035,1.0115606936416186
936ed746-a6e5-46e0-a18b-7c8a5f19ea17,0,False,"[(103, 92), (82, 93), (78, 101)]",364,398,67,74,364,81,173,179,78,175,82,175,82,175,82,195,103,179,78,175,82,175,82,175,82,195,103,175,82,175.0,82.0,175.0,82.0,176.0684,80.93169999999998,179.0,78.0,1.1271676300578035,1.0115606936416186
1b0cdf4a-ba43-44db-b381-2239fe81b988,23,True,"[(298, 188)]",298,188,55,35,298,298,486,486,298,486,298,486,298,486,298,486,298,486,298,486,298,486,298,486,298,486,298,486,298,486.0,298.0,486.0,298.0,486.0,298.0,486.0,298.0,1.0,1.0
1b0cdf4a-ba43-44db-b381-2239fe81b988,23,True,"[(188, 298)]",188,298,35,55,188,188,486,486,188,486,188,486,188,486,188,486,188,486,188,486,188,486,188,486,188,486,188,486,188,486.0,188.0,486.0,188.0,486.0,188.0,486.0,188.0,1.0,1.0
a320aebd-31da-43e2-b6ec-2e55d529bb0b,1,False,"[(52, 75)]",232,244,43,46,232,55,121,127,52,127,52,127,52,127,52,127,52,127,52,127,52,127,52,127,52,127,52,127,52,127.0,52.0,127.0,52.0,127.0,52.0,127.0,52.0,1.0495867768595042,1.0495867768595042
a320aebd-31da-43e2-b6ec-2e55d529bb0b,1,False,"[(75, 52)]",244,232,46,43,244,66,121,127,75,127,75,127,75,127,75,127,75,127,75,127,75,127,75,127,75,127,75,127,75,127.0,75.0,127.0,75.0,127.0,75.0,127.0,75.0,1.0495867768595042,1.0495867768595042
c32010b7-192c-49fc-828f-888bd794db44,1,False,"[(112, 223)]",562,662,103,122,562,115,329,335,112,335,112,335,112,335,112,335,112,335,112,335,112,335,112,335,112,335,112,335,112,335.0,112.0,335.0,112.0,335.0,112.0,335.0,112.0,1.0182370820668694,1.0182370820668694
c32010b7-192c-49fc-828f-888bd794db44,1,False,"[(223, 112)]",662,562,122,103,662,214,329,335,223,335,223,335,223,335,223,335,223,335,223,335,223,335,223,335,223,335,223,335,223,335.0,223.0,335.0,223.0,335.0,223.0,335.0,223.0,1.0182370820668694,1.0182370820668694
766373a7-8eb3-4a63-a77b-10164e5431f7,0,False,"[(84, 73), (92, 69), (75, 86)]",344,298,65,55,344,83,155,161,92,157,84,157,84,157,84,157,84,161,92,157,84,157,84,157,84,161,75,157,84,157.0,84.0,157.00009999999997,84.0,157.70889999999997,82.40499999999997,161.0,92.0,1.038709677419355,1.0129032258064516
766373a7-8eb3-4a63-a77b-10164e5431f7,0,False,"[(73, 84), (69, 92), (86, 75)]",298,344,55,65,298,72,155,161,69,157,73,157,73,157,73,157,73,161,69,157,73,157,73,157,73,161,86,157,73,157.0,73.0,157.00009999999997,73.0001,157.70889999999997,75.3039,161.0,69.0,1.038709677419355,1.0129032258064516
38cbf804-41d3-4f49-a910-f8ba6263a900,22,False,"[(47, 70), (56, 45)]",200,166,38,31,200,56,101,101,56,101,56,101,56,101,56,101,56,101,56,101,56,101,56,101,56,117,47,101,56,101.0,56.0,101.0,56.0,104.54579999999999,54.00550000000001,101.0,56.0,1.1584158415841583,1.0
38cbf804-41d3-4f49-a910-f8ba6263a900,22,False,"[(70, 47), (45, 56)]",166,200,31,38,166,45,101,101,45,101,45,101,45,101,45,101,45,101,45,101,45,101,45,101,45,117,70,101,45,101.0,45.0,101.0,45.0,104.54579999999999,50.5403,101.0,45.0,1.1584158415841583,1.0
838e8b39-e370-40e6-bb25-d78511557a25,0,False,"[(438, 41)]",564,144,105,27,564,429,473,479,438,479,438,479,438,479,438,479,438,479,438,479,438,479,438,479,438,479,438,479,438,479.0,438.0,479.0,438.0,479.0,438.0,479.0,438.0,1.0126849894291754,1.0126849894291754
838e8b39-e370-40e6-bb25-d78511557a25,0,False,"[(41, 438)]",144,564,27,105,144,44,473,479,41,479,41,479,41,479,41,479,41,479,41,479,41,479,41,479,41,479,41,479,41,479.0,41.0,479.0,41.0,479.0,41.0,479.0,41.0,1.0126849894291754,1.0126849894291754
9c92692c-8039-4af6-82ca-e0425f07b32a,22,False,"[(56, 67), (82, 49), (47, 92)]",200,188,38,35,200,56,123,139,47,123,56,123,56,123,56,123,56,123,56,123,56,123,56,123,56,139,47,123,56,123.0,56.0,123.0,56.0,124.88819999999998,62.13659999999999,127.18180000000001,69.5909,1.1300813008130082,1.0
9c92692c-8039-4af6-82ca-e0425f07b32a,22,False,"[(67, 56), (49, 82), (92, 47)]",188,200,35,38,188,67,123,139,92,123,67,123,67,123,67,123,67,123,67,123,67,123,67,123,67,139,92,123,67,123.0,67.0,123.0,67.0,124.88819999999998,62.751599999999996,127.18180000000001,57.590900000000005,1.1300813008130082,1.0
