eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
73ad986c-bc03-48bd-b609-116505ba24a4,22,False,"[(230, 87)]",464,298,117,64,464,230,317,317,230,317,230,317,230,317,230,317,230,317,230,317,230,317,230,317,230,317,230,317,230,317,230,317,230,317,230,317,230,1.0,1.0
73ad986c-bc03-48bd-b609-116505ba24a4,22,False,"[(87, 230)]",298,464,64,117,298,87,317,317,87,317,87,317,87,317,87,317,87,317,87,317,87,317,87,317,87,317,87,317,87,317,87,317,87,317,87,317,87,1.0,1.0
387a2fb4-03e7-42a5-bba8-2cf1123daac4,1,False,"[(74, 63), (50, 73), (54, 65)]",210,222,39,46,210,53,117,123,50,119,54,119,54,119,54,137,74,119,54,119,54,119,54,119,54,137,74,119,54,119.0,54.0,119.6597,53.3403,119.33340000000001,53.6667,119.0,54.0,1.170940170940171,1.017094017094017
387a2fb4-03e7-42a5-bba8-2cf1123daac4,1,False,"[(63, 74), (73, 50), (65, 54)]",222,210,46,39,222,64,117,123,73,119,65,119,65,119,65,137,63,119,65,119,65,119,65,119,65,137,63,119,65,119.0,65.0,119.6597,66.3194,119.33340000000001,65.6667,119.0,65.0,1.170940170940171,1.017094017094017
16bd9ab3-b661-4a5b-9b78-4deec66dcffb,12,False,"[(92, 103), (101, 90)]",210,232,48,43,210,101,191,191,101,191,101,191,101,191,101,195,92,195,92,195,92,191,101,191,101,195,92,191,101,191.00119999999998,100.9973,192.81799999999998,96.9097,195.0,92.0,191.0,101.0,1.0209424083769634,1.0
16bd9ab3-b661-4a5b-9b78-4deec66dcffb,12,False,"[(103, 92), (90, 101)]",232,210,43,48,232,90,191,191,90,191,90,191,90,191,90,195,103,195,103,195,103,191,90,191,90,195,103,191,90,191.00119999999998,90.0039,192.81799999999998,95.9083,195.0,103.0,191.0,90.0,1.0209424083769634,1.0
786a7fcf-82a8-4195-9b0b-763aa0620f35,22,False,"[(67, 56), (50, 73)]",200,200,39,39,200,50,123,123,50,123,67,123,67,123,67,123,67,123,67,123,67,123,67,123,67,123,50,123,67,123.0,61.5,123.0,58.6735,123.0,61.5,123.0,50.0,1.0,1.0
786a7fcf-82a8-4195-9b0b-763aa0620f35,22,False,"[(56, 67), (73, 50)]",200,200,39,39,200,73,123,123,73,123,56,123,56,123,56,123,56,123,56,123,56,123,56,123,56,123,73,123,56,123.0,61.5,123.0,64.3265,123.0,61.5,123.0,73.0,1.0,1.0
143c5d1c-74d9-4fa3-86a9-aa81185661bb,0,False,"[(53, 76), (57, 68), (70, 59)]",210,256,39,49,210,56,123,129,53,125,57,125,57,125,57,125,57,129,53,125,57,125,57,125,57,129,70,125,57,125.0,57.0,125.629,59.0445,129.0,53.0,125.0,57.0,1.048780487804878,1.016260162601626
143c5d1c-74d9-4fa3-86a9-aa81185661bb,0,False,"[(76, 53), (68, 57), (59, 70)]",256,210,49,39,256,67,123,129,76,125,68,125,68,125,68,125,68,129,76,125,68,125,68,125,68,129,59,125,68,125.0,68.0,125.629,66.5845,129.0,76.0,125.0,68.0,1.048780487804878,1.016260162601626
