eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
6ce479b8-bd3f-40f0-9e1a-3c12b7d6ccce,209,True,"[(342, 342)]",342,342,252,274,342,342,684,684,342,684,342,684,342,684,342,684,342,684,342,684,342,684,342,684,342,684,342,684,342,684.0,342.0,684.0,342.0,684.0,342.0,684.0,342.0,1.0,1.0
6ce479b8-bd3f-40f0-9e1a-3c12b7d6ccce,209,True,"[(342, 342)]",342,342,274,252,342,342,684,684,342,684,342,684,342,684,342,684,342,684,342,684,342,684,342,684,342,684,342,684,342,684.0,342.0,684.0,342.0,684.0,342.0,684.0,342.0,1.0,1.0
5ac64e9b-adca-4aeb-921d-62e0a4285a77,0,False,"[(145, 122), (137, 126)]",190,144,136,108,190,136,261,267,145,263,137,263,137,263,137,263,137,267,145,267,145,263,137,267,145,263,137,263,137,266.9998,144.9995,267.0,145.0,263.0,137.0,265.1855,141.3711,1.0229885057471264,1.0076628352490422
5ac64e9b-adca-4aeb-921d-62e0a4285a77,0,False,"[(122, 145), (126, 137)]",144,190,108,136,144,125,261,267,122,263,126,263,126,263,126,263,126,267,122,267,122,263,126,267,122,263,126,263,126,266.9998,122.0003,267.0,122.0,263.0,126.0,265.1855,123.8144,1.0229885057471264,1.0076628352490422
d8057686-be0b-43a0-872d-88e9da949e7a,22,True,"[(161, 172)]",210,244,138,163,210,161,333,333,161,333,161,333,161,333,161,333,161,333,161,333,161,333,161,333,161,333,161,333,161,333.0,161.0,333.0,161.0,333.0,161.0,333.0,161.0,1.0,1.0
d8057686-be0b-43a0-872d-88e9da949e7a,22,True,"[(172, 161)]",244,210,163,138,244,172,333,333,172,333,172,333,172,333,172,333,172,333,172,333,172,333,172,333,172,333,172,333,172,333.0,172.0,333.0,172.0,333.0,172.0,333.0,172.0,1.0,1.0
6c6a35cd-084a-4831-8259-bca3a5fcb352,23,True,"[(936, 913)]",970,1156,749,877,970,936,1849,1849,936,1849,936,1849,936,1849,936,1849,936,1849,936,1849,936,1849,936,1849,936,1849,936,1849,936,1849.0,936.0,1849.0,936.0,1849.0,936.0,1849.0,936.0,1.0,1.0
6c6a35cd-084a-4831-8259-bca3a5fcb352,23,True,"[(913, 936)]",1156,970,877,749,1156,913,1849,1849,913,1849,913,1849,913,1849,913,1849,913,1849,913,1849,913,1849,913,1849,913,1849,913,1849,913,1849.0,913.0,1849.0,913.0,1849.0,913.0,1849.0,913.0,1.0,1.0
15578b59-1642-4599-a21e-218a27cbe638,0,False,"[(161, 206), (187, 198)]",210,278,147,179,210,161,367,367,161,385,187,367,161,367,161,385,187,367,161,367,161,367,161,367,161,385,187,367,161,367.0,161.0,367.0,161.0,367.0,161.0,369.8544,165.123,1.0490463215258856,1.0
15578b59-1642-4599-a21e-218a27cbe638,0,False,"[(206, 161), (198, 187)]",278,210,179,147,278,206,367,367,206,385,198,367,206,367,206,385,198,367,206,367,206,367,206,367,206,385,198,367,206,367.0,206.0,367.0,206.0,367.0,206.0,369.8544,204.7314,1.0490463215258856,1.0
