eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
76bc307b-cf2d-4e74-9c03-317bcd90aca6,1,False,"[(147, 170), (151, 162)]",210,222,138,141,210,150,311,317,147,313,151,313,151,313,151,313,151,313,151,313,151,313,151,313,151,317,147,313,151,314.2903,149.7097,313.0,151.0,313.3334,150.6667,313.0,151.0,1.0192926045016077,1.0064308681672025
76bc307b-cf2d-4e74-9c03-317bcd90aca6,1,False,"[(170, 147), (162, 151)]",222,210,141,138,222,161,311,317,170,313,162,313,162,313,162,313,162,313,162,313,162,313,162,313,162,317,170,313,162,314.2903,164.5806,313.0,162.0,313.3334,162.6667,313.0,162.0,1.0192926045016077,1.0064308681672025
eef1ff22-2a8f-470e-b3ad-eccb62798f36,0,False,"[(179, 202), (187, 176)]",210,256,167,163,210,190,357,363,187,363,187,363,187,363,187,363,187,381,179,381,179,363,187,363,187,381,179,363,187,370.9668,183.4592,364.8183,186.1919,381.0,179.0,363.0,187.0,1.0672268907563025,1.0168067226890756
eef1ff22-2a8f-470e-b3ad-eccb62798f36,0,False,"[(202, 179), (176, 187)]",256,210,163,167,256,167,357,363,176,363,176,363,176,363,176,363,176,381,202,381,202,363,176,363,176,381,202,363,176,370.9668,187.5076,364.8183,178.6264,381.0,202.0,363.0,176.0,1.0672268907563025,1.0168067226890756
dd5f161b-1dda-4cc0-8196-5745f37dd251,23,False,"[(111, 100)]",210,222,97,100,210,111,211,211,111,211,111,211,111,211,111,211,111,211,111,211,111,211,111,211,111,211,111,211,111,211.0,111.0,211.0,111.0,211.0,111.0,211.0,111.0,1.0,1.0
dd5f161b-1dda-4cc0-8196-5745f37dd251,23,False,"[(100, 111)]",222,210,100,97,222,100,211,211,100,211,100,211,100,211,100,211,100,211,100,211,100,211,100,211,100,211,100,211,100,211.0,100.0,211.0,100.0,211.0,100.0,211.0,100.0,1.0,1.0
fc86cd6a-078a-4f26-b841-5b244a1a55fe,23,True,"[(168, 157)]",200,166,150,129,200,150,311,325,168,325,168,325,168,325,168,325,168,325,168,325,168,325,168,325,168,325,168,325,168,325.0,168.0,325.0,168.0,325.0,168.0,325.0,168.0,1.045016077170418,1.045016077170418
fc86cd6a-078a-4f26-b841-5b244a1a55fe,23,True,"[(157, 168)]",166,200,129,150,166,161,311,325,157,325,157,325,157,325,157,325,157,325,157,325,157,325,157,325,157,325,157,325,157,325.0,157.0,325.0,157.0,325.0,157.0,325.0,157.0,1.045016077170418,1.045016077170418
c780a2a9-e33d-48ef-a864-19f2ff59738b,23,False,"[(230, 253)]",320,310,221,194,320,230,483,483,230,483,230,483,230,483,230,483,230,483,230,483,230,483,230,483,230,483,230,483,230,483.0,230.0,483.0,230.0,483.0,230.0,483.0,230.0,1.0,1.0
c780a2a9-e33d-48ef-a864-19f2ff59738b,23,False,"[(253, 230)]",310,320,194,221,310,253,483,483,253,483,253,483,253,483,253,483,253,483,253,483,253,483,253,483,253,483,253,483,253,483.0,253.0,483.0,253.0,483.0,253.0,483.0,253.0,1.0,1.0
