eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
7feeeead-7afd-4605-9a11-c0b677768518,22,False,"[(132, 143)]",222,210,132,120,222,132,275,275,132,275,132,275,132,275,132,275,132,275,132,275,132,275,132,275,132,275,132,275,132,275.0,132.0,275.0,132.0,275.0,132.0,275.0,132.0,1.0,1.0
7feeeead-7afd-4605-9a11-c0b677768518,22,False,"[(143, 132)]",210,222,120,132,210,143,275,275,143,275,143,275,143,275,143,275,143,275,143,275,143,275,143,275,143,275,143,275,143,275.0,143.0,275.0,143.0,275.0,143.0,275.0,143.0,1.0,1.0
7f88d7e3-47b8-41df-9ebe-13131f98c24e,22,False,"[(360, 383), (364, 375)]",970,970,351,351,970,363,737,743,360,739,364,739,364,739,364,739,364,739,364,739,364,739,364,739,364,743,360,739,364,739.0,364.0,740.3113000000001,362.68870000000004,739.0,364.0,739.0,364.0,1.0081411126187245,1.0027137042062415
7f88d7e3-47b8-41df-9ebe-13131f98c24e,22,False,"[(383, 360), (375, 364)]",970,970,351,351,970,374,737,743,383,739,375,739,375,739,375,739,375,739,375,739,375,739,375,739,375,743,383,739,375,739.0,375.0,740.3113000000001,377.62260000000003,739.0,375.0,739.0,375.0,1.0081411126187245,1.0027137042062415
6d4324a1-9443-47b4-a0bb-b060d258fbb0,22,False,"[(114, 125)]",200,166,114,102,200,114,239,239,114,239,114,239,114,239,114,239,114,239,114,239,114,239,114,239,114,239,114,239,114,239.0,114.0,239.0,114.0,239.0,114.0,239.0,114.0,1.0,1.0
6d4324a1-9443-47b4-a0bb-b060d258fbb0,22,False,"[(125, 114)]",166,200,102,114,166,125,239,239,125,239,125,239,125,239,125,239,125,239,125,239,125,239,125,239,125,239,125,239,125,239.0,125.0,239.0,125.0,239.0,125.0,239.0,125.0,1.0,1.0
fd15e99c-edbc-4b17-a904-1021185eda1f,0,False,"[(433, 410), (393, 416)]",916,870,388,396,916,393,809,809,393,809,393,809,393,809,393,843,433,843,433,843,433,809,393,809,393,843,433,809,393,809.0,393.0,813.9536,398.8278,809.0,393.0,843.0,433.0,1.0420271940667492,1.0
fd15e99c-edbc-4b17-a904-1021185eda1f,0,False,"[(410, 433), (416, 393)]",870,916,396,388,870,416,809,809,416,809,416,809,416,809,416,843,410,843,410,843,410,809,416,809,416,843,410,809,416,809.0,416.0,813.9536,415.1258,809.0,416.0,843.0,410.0,1.0420271940667492,1.0
840c0b98-e630-4925-bd9d-abd4b19685de,22,False,"[(78, 89), (92, 81)]",200,166,78,66,200,78,167,167,78,167,78,167,78,167,78,167,78,173,92,173,92,167,78,167,78,173,92,167,78,167.0034,78.008,169.7036,84.3084,167.0,78.0,173.0,92.0,1.035928143712575,1.0
840c0b98-e630-4925-bd9d-abd4b19685de,22,False,"[(89, 78), (81, 92)]",166,200,66,78,166,89,167,167,89,167,89,167,89,167,89,167,89,173,81,173,81,167,89,167,89,173,81,167,89,167.0034,88.9954,169.7036,85.3952,167.0,89.0,173.0,81.0,1.035928143712575,1.0
