eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,PoA,PoS
130e35cc-524d-4ff6-9db8-60cb0137c576,55,False,"[(176, 243)]",408,408,149,150,408,193,419,419,176,419,176,419,176,419,176,419,176,419,176,419,176,419,176,419,176,419,176,419,176,419.0,176.0,419.0,176.0,419.0,176.0,419.0,176.0,1.0,1.0
130e35cc-524d-4ff6-9db8-60cb0137c576,55,False,"[(243, 176)]",408,408,150,149,408,226,419,419,243,419,243,419,243,419,243,419,243,419,243,419,243,419,243,419,243,419,243,419,243,419.0,243.0,419.0,243.0,419.0,243.0,419.0,243.0,1.0,1.0
b89f1eb2-121f-4ee3-b4d7-6595f67b361f,23,True,"[(232, 320)]",232,320,74,153,232,239,467,552,232,552,232,552,232,552,232,552,232,552,232,552,232,552,232,552,232,552,232,552,232,552.0,232.0,552.0,232.0,552.0,232.0,552.0,232.0,1.1820128479657388,1.1820128479657388
b89f1eb2-121f-4ee3-b4d7-6595f67b361f,23,True,"[(320, 232)]",320,232,153,74,320,228,467,552,320,552,320,552,320,552,320,552,320,552,320,552,320,552,320,552,320,552,320,552,320,552.0,320.0,552.0,320.0,552.0,320.0,552.0,320.0,1.1820128479657388,1.1820128479657388
d5a4d2ed-a54a-42fc-a4aa-7df9adbb950c,23,True,"[(980, 584)]",980,584,430,264,980,755,1533,1564,980,1564,980,1564,980,1564,980,1564,980,1564,980,1564,980,1564,980,1564,980,1564,980,1564,980,1564.0,980.0,1564.0,980.0,1564.0,980.0,1564.0,980.0,1.020221787345075,1.020221787345075
d5a4d2ed-a54a-42fc-a4aa-7df9adbb950c,23,True,"[(584, 980)]",584,980,264,430,584,778,1533,1564,584,1564,584,1564,584,1564,584,1564,584,1564,584,1564,584,1564,584,1564,584,1564,584,1564,584,1564.0,584.0,1564.0,584.0,1564.0,584.0,1564.0,584.0,1.020221787345075,1.020221787345075
6c6add1c-0407-4bb3-b626-2ab15f9fd66e,22,False,"[(142, 119), (121, 132)]",266,254,121,105,266,121,253,261,142,253,121,253,121,253,121,253,121,261,142,253,121,253,121,253,121,261,142,253,121,258.4118,135.2059,253.0,121.0,256.195,129.3867,253.0,121.0,1.0316205533596838,1.0
6c6add1c-0407-4bb3-b626-2ab15f9fd66e,22,False,"[(119, 142), (132, 121)]",254,266,105,121,254,132,253,261,119,253,132,253,132,253,132,253,132,261,119,253,132,253,132,253,132,261,119,253,132,258.4118,123.20590000000001,253.0,132.0,256.195,126.8083,253.0,132.0,1.0316205533596838,1.0
8e808413-ab50-4670-b11b-0ed70fe453b1,0,False,"[(71, 94)]",210,256,48,67,210,74,159,165,71,165,71,165,71,165,71,165,71,165,71,165,71,165,71,165,71,165,71,165,71,165.0,71.0,165.0,71.0,165.0,71.0,165.0,71.0,1.0377358490566038,1.0377358490566038
8e808413-ab50-4670-b11b-0ed70fe453b1,0,False,"[(94, 71)]",256,210,67,48,256,85,159,165,94,165,94,165,94,165,94,165,94,165,94,165,94,165,94,165,94,165,94,165,94,165.0,94.0,165.0,94.0,165.0,94.0,165.0,94.0,1.0377358490566038,1.0377358490566038
