eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,PoA,PoS
0ca641e8-e811-4491-ac0b-234d4e6b432b,22,False,"[(51, 74), (59, 70), (88, 65)]",200,200,42,42,200,54,119,125,51,129,59,125,51,125,51,129,59,129,59,129,59,125,51,125,51,153,88,125,51,125.0,51.0,136.76479999999998,68.38239999999999,128.20050000000003,57.40100000000001,125.0,51.0,1.2857142857142858,1.050420168067227
0ca641e8-e811-4491-ac0b-234d4e6b432b,22,False,"[(74, 51), (70, 59), (65, 88)]",200,200,42,42,200,65,119,125,74,129,70,125,74,125,74,129,70,129,70,129,70,125,74,125,74,153,65,125,74,125.0,74.0,136.76479999999998,68.38239999999999,128.20050000000003,70.7995,125.0,74.0,1.2857142857142858,1.050420168067227
8a4be467-ce81-4dc0-b448-6570542e2804,22,False,"[(62, 51)]",200,200,48,42,200,62,113,113,62,113,62,113,62,113,62,113,62,113,62,113,62,113,62,113,62,113,62,113,62,113.0,62.0,113.0,62.0,113.0,62.0,113.0,62.0,1.0,1.0
8a4be467-ce81-4dc0-b448-6570542e2804,22,False,"[(51, 62)]",200,200,42,48,200,51,113,113,51,113,51,113,51,113,51,113,51,113,51,113,51,113,51,113,51,113,51,113,51,113.0,51.0,113.0,51.0,113.0,51.0,113.0,51.0,1.0,1.0
aa455834-8311-4084-9d4e-7ad4c0d7da14,0,False,"[(61, 50), (56, 67), (65, 42)]",200,166,38,31,200,56,101,107,65,111,61,107,65,107,65,111,61,107,65,111,61,107,65,107,65,123,56,107,65,107.00009999999997,65.0,107.0,65.0,109.7088,62.29130000000001,107.0,65.0,1.2178217821782178,1.0594059405940595
aa455834-8311-4084-9d4e-7ad4c0d7da14,0,False,"[(50, 61), (67, 56), (42, 65)]",166,200,31,38,166,45,101,107,42,111,50,107,42,107,42,111,50,107,42,111,50,107,42,107,42,123,67,107,42,107.00009999999997,42.0001,107.0,42.0,109.7088,47.417500000000004,107.0,42.0,1.2178217821782178,1.0594059405940595
38c2bea8-fb88-4549-a22d-4a586eed2c0c,12,True,"[(584, 870)]",584,870,187,248,584,647,1283,1454,584,1454,584,1454,584,1454,584,1454,584,1454,584,1454,584,1454,584,1454,584,1454,584,1454,584,1454.0,584.0,1454.0,584.0,1454.0,584.0,1454.0,584.0,1.133281371784879,1.133281371784879
38c2bea8-fb88-4549-a22d-4a586eed2c0c,12,True,"[(870, 584)]",870,584,248,187,870,636,1283,1454,870,1454,870,1454,870,1454,870,1454,870,1454,870,1454,870,1454,870,1454,870,1454,870,1454,870,1454.0,870.0,1454.0,870.0,1454.0,870.0,1454.0,870.0,1.133281371784879,1.133281371784879
a94917a7-4ae5-408c-9303-2dc72e3e5bf4,23,True,"[(59, 70), (55, 78)]",210,210,46,46,210,58,127,133,55,129,59,129,59,129,59,129,59,129,59,129,59,129,59,129,59,133,55,129,59,129.0,59.0,129.0,59.0,130.24450000000002,57.75559999999999,129.0,59.0,1.047244094488189,1.015748031496063
a94917a7-4ae5-408c-9303-2dc72e3e5bf4,23,True,"[(70, 59), (78, 55)]",210,210,46,46,210,69,127,133,78,129,70,129,70,129,70,129,70,129,70,129,70,129,70,129,70,133,78,129,70,129.0,70.0,129.0,70.0,130.24450000000002,72.4889,129.0,70.0,1.047244094488189,1.015748031496063
8d51c03a-43c7-47e7-b08a-bbecbc6cd139,22,False,"[(153, 176), (162, 173), (166, 155)]",618,618,144,144,618,166,321,329,153,321,166,321,166,321,166,335,162,321,166,321,166,321,166,321,166,335,162,321,166,321.0008,165.9998,323.58820000000003,161.79410000000001,324.05060000000003,161.0426,321.0,166.0,1.043613707165109,1.0
8d51c03a-43c7-47e7-b08a-bbecbc6cd139,22,False,"[(176, 153), (173, 162), (155, 166)]",618,618,144,144,618,155,321,329,176,321,155,321,155,321,155,335,173,321,155,321,155,321,155,321,155,335,173,321,155,321.0008,155.00099999999998,323.58820000000003,161.79410000000001,324.05060000000003,163.00799999999998,321.0,155.0,1.043613707165109,1.0
358950ca-b061-4f09-98e6-ac8b4139e42a,22,False,"[(70, 47), (53, 64), (62, 51)]",200,200,38,38,200,61,111,117,70,113,62,113,62,113,62,117,53,113,62,113,62,113,62,113,62,117,70,113,62,113.0,62.0,115.0,57.5,113.95979999999997,59.84030000000001,113.0,62.0,1.054054054054054,1.018018018018018
358950ca-b061-4f09-98e6-ac8b4139e42a,22,False,"[(47, 70), (64, 53), (51, 62)]",200,200,38,38,200,50,111,117,47,113,51,113,51,113,51,117,64,113,51,113,51,113,51,113,51,117,47,113,51,113.0,51.0,115.0,57.5,113.95979999999997,54.11949999999999,113.0,51.0,1.054054054054054,1.018018018018018
d2741000-ce73-40b3-bf3a-4d71d8f27121,23,True,"[(131, 108), (111, 122), (128, 117)]",254,276,87,90,254,111,233,239,131,233,111,233,111,233,111,233,111,233,111,233,111,233,111,233,111,245,128,233,111,233.0,111.0,233.0,111.0,235.24019999999996,118.4674,233.0,111.0,1.0515021459227467,1.0
d2741000-ce73-40b3-bf3a-4d71d8f27121,23,True,"[(108, 131), (122, 111), (117, 128)]",276,254,90,87,276,122,233,239,108,233,122,233,122,233,122,233,122,233,122,233,122,233,122,233,122,245,117,233,122,233.0,122.0,233.0,122.0,235.24019999999996,116.77279999999999,233.0,122.0,1.0515021459227467,1.0
bfd2a707-6ca1-4f87-8032-b120a5c8c245,0,False,"[(67, 44), (48, 59), (66, 55)]",200,166,39,35,200,48,107,111,67,107,48,107,48,107,48,107,48,111,67,121,66,107,48,107,48,121,66,107,48,108.73329999999999,56.233300000000014,111.0,67.0,108.98349999999999,57.42150000000001,107.0,48.0,1.1308411214953271,1.0
bfd2a707-6ca1-4f87-8032-b120a5c8c245,0,False,"[(44, 67), (59, 48), (55, 66)]",166,200,35,39,166,59,107,111,44,107,59,107,59,107,59,107,59,111,44,121,55,107,59,107,59,121,55,107,59,108.73329999999999,52.5,111.0,44.0,108.98349999999999,51.562,107.0,59.0,1.1308411214953271,1.0
70d622d1-8016-4f6e-9784-fabf7806f411,0,False,"[(62, 85), (70, 81)]",232,278,51,58,232,65,141,147,62,151,70,147,62,147,62,151,70,147,62,151,70,147,62,147,62,151,70,147,62,147.0,62.0,147.0,62.0,148.2056,64.41130000000001,147.0,62.0,1.070921985815603,1.0425531914893618
70d622d1-8016-4f6e-9784-fabf7806f411,0,False,"[(85, 62), (81, 70)]",278,232,58,51,278,76,141,147,85,151,81,147,85,147,85,151,81,147,85,151,81,147,85,147,85,151,81,147,85,147.0,85.0,147.0,85.0,148.2056,83.79429999999999,147.0,85.0,1.070921985815603,1.0425531914893618
9b4fdc1e-564a-4d37-8ba3-06bfe2246c97,22,False,"[(71, 60), (67, 78)]",210,222,51,51,210,71,131,131,71,131,71,131,71,131,71,131,71,145,67,131,71,131,71,131,71,145,67,131,71,131.0,71.0,145.0,67.0,133.81560000000002,70.19550000000001,131.0,71.0,1.1068702290076335,1.0
9b4fdc1e-564a-4d37-8ba3-06bfe2246c97,22,False,"[(60, 71), (78, 67)]",222,210,51,51,222,60,131,131,60,131,60,131,60,131,60,131,60,145,78,131,60,131,60,131,60,145,78,131,60,131.0,60.0,145.0,78.0,133.81560000000002,63.62010000000001,131.0,60.0,1.1068702290076335,1.0
629a1130-3d76-427d-86a8-b9be89244e08,0,False,"[(77, 54), (55, 78), (73, 62)]",190,144,55,40,190,68,125,131,77,135,73,131,77,131,77,135,73,131,77,131,77,131,77,131,77,133,55,131,77,131.0,77.0,131.0,77.0,131.7586,68.6552,131.0,77.0,1.08,1.048
629a1130-3d76-427d-86a8-b9be89244e08,0,False,"[(54, 77), (78, 55), (62, 73)]",144,190,40,55,144,57,125,131,54,135,62,131,54,131,54,135,62,131,54,131,54,131,54,131,54,133,78,131,54,131.0,54.0,131.0,54.0,131.7586,63.10339999999999,131.0,54.0,1.08,1.048
780401fd-b134-4819-8c03-23be4ef459c2,0,False,"[(56, 45), (64, 41)]",190,144,41,27,190,55,99,105,64,101,56,101,56,101,56,101,56,105,64,101,56,101,56,101,56,105,64,101,56,101.0,56.0,105.0,64.0,102.57639999999998,59.15289999999999,101.0,56.0,1.0606060606060606,1.02020202020202
