eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,PoA,PoS
50846750-887c-4f26-82c9-f960ffd78c38,0,False,"[(64, 41), (47, 58), (56, 45)]",190,144,37,27,190,55,99,105,64,101,56,101,56,101,56,105,47,105,64,101,56,101,56,101,56,105,47,101,56,101.50969999999998,54.85319999999999,105.0,64.0,101.0001,56.0001,101.0,56.0,1.0606060606060606,1.02020202020202
50846750-887c-4f26-82c9-f960ffd78c38,0,False,"[(41, 64), (58, 47), (45, 56)]",144,190,27,37,144,44,99,105,41,101,45,101,45,101,45,105,58,105,41,101,45,101,45,101,45,105,58,101,45,101.50969999999998,46.656499999999994,105.0,41.0,101.0001,45.0,101.0,45.0,1.0606060606060606,1.02020202020202
a7aee029-4e18-4797-9041-60a98a25fa7e,0,False,"[(64, 41), (47, 58)]",190,144,37,27,190,55,99,105,64,105,47,105,64,105,64,105,47,105,64,105,64,105,64,105,64,105,47,105,64,105.0,56.88210000000001,105.0,64.0,105.0,63.99720000000001,105.0,47.0,1.0606060606060606,1.0606060606060606
a7aee029-4e18-4797-9041-60a98a25fa7e,0,False,"[(41, 64), (58, 47)]",144,190,27,37,144,44,99,105,41,105,58,105,41,105,41,105,58,105,41,105,41,105,41,105,41,105,58,105,41,105.0,48.117900000000006,105.0,41.0,105.0,41.00279999999999,105.0,58.0,1.0606060606060606,1.0606060606060606
5498b07f-e643-4d23-917a-4d8d989cea78,0,False,"[(113, 90)]",464,430,86,79,464,104,197,203,113,203,113,203,113,203,113,203,113,203,113,203,113,203,113,203,113,203,113,203,113,203.0,113.0,203.0,113.0,203.0,113.0,203.0,113.0,1.0304568527918783,1.0304568527918783
5498b07f-e643-4d23-917a-4d8d989cea78,0,False,"[(90, 113)]",430,464,79,86,430,93,197,203,90,203,90,203,90,203,90,203,90,203,90,203,90,203,90,203,90,203,90,203,90,203.0,90.0,203.0,90.0,203.0,90.0,203.0,90.0,1.0304568527918783,1.0304568527918783
9b88ea6f-d538-476a-b2af-4d22f146ede9,0,False,"[(50, 73), (67, 56)]",210,244,39,47,210,67,123,123,50,123,67,123,50,123,50,123,67,123,50,123,50,123,50,123,50,123,67,123,50,123.0,57.816100000000006,123.0,50.0,123.0,50.0154,123.0,67.0,1.0,1.0
9b88ea6f-d538-476a-b2af-4d22f146ede9,0,False,"[(73, 50), (56, 67)]",244,210,47,39,244,56,123,123,73,123,56,123,73,123,73,123,56,123,73,123,73,123,73,123,73,123,56,123,73,123.0,65.1839,123.0,73.0,123.0,72.9846,123.0,56.0,1.0,1.0
d586c874-e447-47ab-8215-271413752b99,23,True,"[(75, 64), (58, 69)]",210,232,47,47,210,58,127,127,58,127,58,127,58,127,58,139,75,127,58,127,58,127,58,127,58,139,75,127,58,129.52210000000002,61.57300000000001,127.0,58.0,127.0,58.0,127.0,58.0,1.094488188976378,1.0
d586c874-e447-47ab-8215-271413752b99,23,True,"[(64, 75), (69, 58)]",232,210,47,47,232,69,127,127,69,127,69,127,69,127,69,139,64,127,69,127,69,127,69,127,69,139,64,127,69,129.52210000000002,67.94909999999999,127.0,69.0,127.0,69.0,127.0,69.0,1.094488188976378,1.0
9a962b82-5ca9-4a1c-bf65-f4ff53269ade,22,False,"[(55, 78), (56, 67), (60, 49)]",200,188,43,35,200,60,109,109,60,109,60,109,60,109,60,123,56,109,60,109,60,109,60,109,60,133,55,109,60,112.07330000000002,59.12190000000001,109.0,60.0,109.0,60.0,109.0,60.0,1.2201834862385321,1.0
9a962b82-5ca9-4a1c-bf65-f4ff53269ade,22,False,"[(78, 55), (67, 56), (49, 60)]",188,200,35,43,188,49,109,109,49,109,49,109,49,109,49,123,67,109,49,109,49,109,49,109,49,133,78,109,49,112.07330000000002,52.95140000000001,109.0,49.0,109.0,49.0,109.0,49.0,1.2201834862385321,1.0
0798f891-ca76-4514-ae54-270cf25587e2,11,True,"[(738, 254)]",738,254,139,50,738,738,992,992,738,992,738,992,738,992,738,992,738,992,738,992,738,992,738,992,738,992,738,992,738,992.0,738.0,992.0,738.0,992.0,738.0,992.0,738.0,1.0,1.0
0798f891-ca76-4514-ae54-270cf25587e2,11,True,"[(254, 738)]",254,738,50,139,254,254,992,992,254,992,254,992,254,992,254,992,254,992,254,992,254,992,254,992,254,992,254,992,254,992.0,254.0,992.0,254.0,992.0,254.0,992.0,254.0,1.0,1.0
0fe75e37-baa8-45d3-9d22-ea7a21b22393,0,False,"[(80, 69), (63, 86), (71, 82)]",210,266,39,50,210,66,143,149,63,149,80,149,80,149,80,149,80,149,63,149,63,149,63,149,63,153,71,149,80,149.0,70.2645,149.0,63.0,149.0,63.0,149.0,80.0,1.06993006993007,1.0419580419580419
0fe75e37-baa8-45d3-9d22-ea7a21b22393,0,False,"[(69, 80), (86, 63), (82, 71)]",266,210,50,39,266,77,143,149,86,149,69,149,69,149,69,149,69,149,86,149,86,149,86,149,86,153,82,149,69,149.0,78.7355,149.0,86.0,149.0,86.0,149.0,69.0,1.06993006993007,1.0419580419580419
a09d8251-a226-4ff2-9cdd-b6812dd9e570,22,False,"[(91, 80), (73, 96), (78, 89)]",276,310,59,69,276,76,163,169,73,167,78,167,78,167,78,171,91,169,73,167,78,167,78,167,78,171,91,167,78,167.56219999999996,79.8271,169.0,73.0,167.0,77.9999,167.0,78.0,1.049079754601227,1.0245398773006136
a09d8251-a226-4ff2-9cdd-b6812dd9e570,22,False,"[(80, 91), (96, 73), (89, 78)]",310,276,69,59,310,87,163,169,96,167,89,167,89,167,89,171,80,169,96,167,89,167,89,167,89,171,80,167,89,167.56219999999996,87.73509999999999,169.0,96.0,167.0,89.0001,167.0,89.0,1.049079754601227,1.0245398773006136
4cd360b6-e85f-472b-9026-6c9af2fab063,23,True,"[(216, 193)]",430,210,83,57,430,216,409,409,216,409,216,409,216,409,216,409,216,409,216,409,216,409,216,409,216,409,216,409,216,409.0,216.0,409.0,216.0,409.0,216.0,409.0,216.0,1.0,1.0
4cd360b6-e85f-472b-9026-6c9af2fab063,23,True,"[(193, 216)]",210,430,57,83,210,193,409,409,193,409,193,409,193,409,193,409,193,409,193,409,193,409,193,409,193,409,193,409,193,409.0,193.0,409.0,193.0,409.0,193.0,409.0,193.0,1.0,1.0
49459a88-28b8-4c74-b2a2-9914a9a0539c,11,False,"[(121, 88)]",364,320,85,77,364,121,209,209,121,209,121,209,121,209,121,209,121,209,121,209,121,209,121,209,121,209,121,209,121,209.0,121.0,209.0,121.0,209.0,121.0,209.0,121.0,1.0,1.0
49459a88-28b8-4c74-b2a2-9914a9a0539c,11,False,"[(88, 121)]",320,364,77,85,320,88,209,209,88,209,88,209,88,209,88,209,88,209,88,209,88,209,88,209,88,209,88,209,88,209.0,88.0,209.0,88.0,209.0,88.0,209.0,88.0,1.0,1.0
8d27804d-d06d-4278-8bc5-866386564c52,22,False,"[(51, 62)]",200,200,42,39,200,51,113,113,51,113,51,113,51,113,51,113,51,113,51,113,51,113,51,113,51,113,51,113,51,113.0,51.0,113.0,51.0,113.0,51.0,113.0,51.0,1.0,1.0
8d27804d-d06d-4278-8bc5-866386564c52,22,False,"[(62, 51)]",200,200,39,42,200,62,113,113,62,113,62,113,62,113,62,113,62,113,62,113,62,113,62,113,62,113,62,113,62,113.0,62.0,113.0,62.0,113.0,62.0,113.0,62.0,1.0,1.0
023b0433-2ae1-4424-b54e-4e68f5b45878,0,False,"[(61, 72), (78, 67)]",210,256,47,58,210,61,133,133,61,133,61,133,61,133,61,133,61,133,61,133,61,133,61,133,61,145,78,133,61,135.25869999999998,64.19980000000001,133.0,61.0,133.0,61.0,133.0,61.0,1.0902255639097744,1.0
023b0433-2ae1-4424-b54e-4e68f5b45878,0,False,"[(72, 61), (67, 78)]",256,210,58,47,256,72,133,133,72,133,72,133,72,133,72,133,72,133,72,133,72,133,72,133,72,145,67,133,72,135.25869999999998,71.0589,133.0,72.0,133.0,72.0,133.0,72.0,1.0902255639097744,1.0
57b7563c-266f-4461-943d-2a1e99463851,22,False,"[(47, 70), (51, 62), (64, 53)]",200,200,38,38,200,50,111,117,47,113,51,113,51,113,51,113,51,113,51,113,51,113,51,113,51,117,47,113,51,113.95979999999997,54.11949999999999,115.0,57.5,113.0,51.0,113.0,51.0,1.054054054054054,1.018018018018018
57b7563c-266f-4461-943d-2a1e99463851,22,False,"[(70, 47), (62, 51), (53, 64)]",200,200,38,38,200,61,111,117,70,113,62,113,62,113,62,113,62,113,62,113,62,113,62,113,62,117,70,113,62,113.95979999999997,59.84030000000001,115.0,57.5,113.0,62.0,113.0,62.0,1.054054054054054,1.018018018018018
4bcff5ab-3d1a-4b3a-b5f5-aa109f1626a8,1,False,"[(67, 44), (59, 48), (50, 61)]",200,188,38,35,200,58,105,111,67,107,59,107,59,107,59,107,59,107,59,107,59,107,59,107,59,111,50,107,59,107.85759999999999,57.0702,107.33339999999998,59.66669999999999,107.0,59.0,107.0,59.0,1.0571428571428572,1.019047619047619
4bcff5ab-3d1a-4b3a-b5f5-aa109f1626a8,1,False,"[(44, 67), (48, 59), (61, 50)]",188,200,35,38,188,47,105,111,44,107,48,107,48,107,48,107,48,107,48,107,48,107,48,107,48,111,61,107,48,107.85759999999999,50.78739999999999,107.33339999999998,47.66669999999999,107.0,48.0,107.0,48.0,1.0571428571428572,1.019047619047619
