eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
d8bf8348-6722-475b-966a-ad98e999283c,0,False,"[(95, 106), (108, 97)]",333,287,86,74,333,99,187,201,95,201,95,201,95,201,95,201,95,205,108,205,108,201,95,201,95,205,108,201,95,201.0001,95.0002,202.8577,101.0377,205.0,108.0,201.0,95.0,1.0962566844919786,1.0748663101604279
d8bf8348-6722-475b-966a-ad98e999283c,0,False,"[(106, 95), (97, 108)]",287,333,74,86,287,88,187,201,106,201,106,201,106,201,106,201,106,205,97,205,97,201,106,201,106,205,97,201,106,201.0001,105.9999,202.8577,101.82,205.0,97.0,201.0,106.0,1.0962566844919786,1.0748663101604279
2cdd8534-edce-4555-b7da-8069f1080b8a,33,False,"[(135, 180), (145, 156), (162, 129)]",353,397,95,111,353,162,291,291,162,301,145,291,162,291,162,301,145,315,135,301,145,291,162,291,162,315,135,291,162,291.0,162.0,297.9297,150.2195,314.5882,135.2941,291.0,162.0,1.0824742268041236,1.0
2cdd8534-edce-4555-b7da-8069f1080b8a,33,False,"[(180, 135), (156, 145), (129, 162)]",397,353,111,95,397,129,291,291,129,301,156,291,129,291,129,301,156,315,180,301,156,291,129,291,129,315,180,291,129,291.0,129.0,297.9297,147.7102,314.5882,179.2941,291.0,129.0,1.0824742268041236,1.0
d7ed4d8f-de26-4f04-af9c-f2dea00b756a,23,True,"[(139, 150), (114, 159), (123, 156)]",353,375,98,114,353,117,267,273,114,289,139,273,114,273,114,289,139,279,123,289,139,273,114,273,114,289,139,273,114,273.0001,114.0002,277.4259,120.9155,283.8236,130.9118,273.0,114.0,1.0823970037453183,1.0224719101123596
d7ed4d8f-de26-4f04-af9c-f2dea00b756a,23,True,"[(150, 139), (159, 114), (156, 123)]",375,353,114,98,375,150,267,273,159,289,150,273,159,273,159,289,150,279,156,289,150,273,159,273,159,289,150,273,159,273.0001,158.9999,277.4259,156.5104,283.8236,152.9118,273.0,159.0,1.0823970037453183,1.0224719101123596
a8f5381b-a44b-408b-a86f-2ef2b450b5d5,11,False,"[(162, 139), (143, 154)]",397,397,134,125,397,153,295,301,162,297,143,297,143,297,143,297,143,297,143,297,143,297,143,297,143,301,162,297,143,297.0,143.0,298.7493,151.3092,298.2942,149.1471,297.0,143.0,1.0203389830508474,1.006779661016949
a8f5381b-a44b-408b-a86f-2ef2b450b5d5,11,False,"[(139, 162), (154, 143)]",397,397,125,134,397,142,295,301,139,297,154,297,154,297,154,297,154,297,154,297,154,297,154,297,154,301,139,297,154,297.0,154.0,298.7493,147.4401,298.2942,149.1471,297.0,154.0,1.0203389830508474,1.006779661016949
2b02d8c3-b695-4d2e-bbc0-57e5780cb571,0,False,"[(106, 117), (110, 99)]",343,309,92,90,343,110,209,209,110,209,110,209,110,209,110,223,106,209,110,209,110,209,110,209,110,223,106,209,110,209.0,110.0,211.3032,109.342,209.0,110.0,209.0,110.0,1.0669856459330143,1.0
2b02d8c3-b695-4d2e-bbc0-57e5780cb571,0,False,"[(117, 106), (99, 110)]",309,343,90,92,309,99,209,209,99,209,99,209,99,209,99,223,117,209,99,209,99,209,99,209,99,223,117,209,99,209.0,99.0,211.3032,101.9612,209.0,99.0,209.0,99.0,1.0669856459330143,1.0
