eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
5da86d02-8a14-4f18-ba5f-1d439c35d7a5,13,True,"[(35, 35)]",35,35,26,17,35,35,70,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70.0,35.0,70.0,35.0,70.0,35.0,70.0,35.0,1.0,1.0
5da86d02-8a14-4f18-ba5f-1d439c35d7a5,13,True,"[(35, 35)]",35,35,17,26,35,35,70,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70.0,35.0,70.0,35.0,70.0,35.0,70.0,35.0,1.0,1.0
258f1073-c6a9-4b10-9a48-525c683e7e96,22,True,"[(32, 43)]",45,79,18,25,45,32,75,75,32,75,32,75,32,75,32,75,32,75,32,75,32,75,32,75,32,75,32,75,32,75.0,32.0,75.0,32.0,75.0,32.0,75.0,32.0,1.0,1.0
258f1073-c6a9-4b10-9a48-525c683e7e96,22,True,"[(43, 32)]",79,45,25,18,79,43,75,75,43,75,43,75,43,75,43,75,43,75,43,75,43,75,43,75,43,75,43,75,43,75.0,43.0,75.0,43.0,75.0,43.0,75.0,43.0,1.0,1.0
f05b3610-7666-4611-9b2a-acdb87c19ba7,0,True,"[(35, 1)]",35,1,8,1,35,18,25,36,35,36,35,36,35,36,35,36,35,36,35,36,35,36,35,36,35,36,35,36,35,36.0,35.0,36.0,35.0,36.0,35.0,36.0,35.0,1.44,1.44
f05b3610-7666-4611-9b2a-acdb87c19ba7,0,True,"[(1, 35)]",1,35,1,8,1,7,25,36,1,36,1,36,1,36,1,36,1,36,1,36,1,36,1,36,1,36,1,36,1,36.0,1.0,36.0,1.0,36.0,1.0,36.0,1.0,1.44,1.44
43b3500d-45b1-410b-bbf7-5087e69c5478,22,False,"[(44, 21)]",57,57,21,12,57,35,59,65,44,65,44,65,44,65,44,65,44,65,44,65,44,65,44,65,44,65,44,65,44,65.0,44.0,65.0,44.0,65.0,44.0,65.0,44.0,1.1016949152542372,1.1016949152542372
43b3500d-45b1-410b-bbf7-5087e69c5478,22,False,"[(21, 44)]",57,57,12,21,57,24,59,65,21,65,21,65,21,65,21,65,21,65,21,65,21,65,21,65,21,65,21,65,21,65.0,21.0,65.0,21.0,65.0,21.0,65.0,21.0,1.1016949152542372,1.1016949152542372
92a0a8ae-303e-489a-a13e-6ffe4cd190ae,1,False,"[(31, 54)]",67,79,22,25,67,34,79,85,31,85,31,85,31,85,31,85,31,85,31,85,31,85,31,85,31,85,31,85,31,85.0,31.0,85.0,31.0,85.0,31.0,85.0,31.0,1.0759493670886076,1.0759493670886076
92a0a8ae-303e-489a-a13e-6ffe4cd190ae,1,False,"[(54, 31)]",79,67,25,22,79,45,79,85,54,85,54,85,54,85,54,85,54,85,54,85,54,85,54,85,54,85,54,85,54,85.0,54.0,85.0,54.0,85.0,54.0,85.0,54.0,1.0759493670886076,1.0759493670886076
a076e9d1-513a-47ad-a0c4-e0a78de22876,13,True,"[(22, 33)]",35,35,8,8,35,20,51,55,22,55,22,55,22,55,22,55,22,55,22,55,22,55,22,55,22,55,22,55,22,55.0,22.0,55.0,22.0,55.0,22.0,55.0,22.0,1.0784313725490196,1.0784313725490196
a076e9d1-513a-47ad-a0c4-e0a78de22876,13,True,"[(33, 22)]",35,35,8,8,35,31,51,55,33,55,33,55,33,55,33,55,33,55,33,55,33,55,33,55,33,55,33,55,33,55.0,33.0,55.0,33.0,55.0,33.0,55.0,33.0,1.0784313725490196,1.0784313725490196
289d3faa-9dad-49f4-9407-dc4a52c0d198,0,False,"[(23, 46), (27, 38)]",45,91,9,19,45,26,63,69,23,65,27,65,27,65,27,65,27,69,23,69,23,69,23,69,23,65,27,65,27,65.0,27.0,68.9998,23.0003,67.18549999999999,24.8144,69.0,23.0,1.0952380952380953,1.0317460317460319
289d3faa-9dad-49f4-9407-dc4a52c0d198,0,False,"[(46, 23), (38, 27)]",91,45,19,9,91,37,63,69,46,65,38,65,38,65,38,65,38,69,46,69,46,69,46,69,46,65,38,65,38,65.0,38.0,68.9998,45.9995,67.18549999999999,42.3711,69.0,46.0,1.0952380952380953,1.0317460317460319
6c9d81ea-efb2-4d39-95d5-3b290239f76b,13,True,"[(35, 35)]",35,35,17,9,35,34,57,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70.0,35.0,70.0,35.0,70.0,35.0,70.0,35.0,1.2280701754385965,1.2280701754385965
