eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,PoA,PoS
57b50e76-98b7-45bd-a6a8-c02d71de114d,1,False,"[(106, 61)]",167,133,59,52,167,97,161,167,106,167,106,167,106,167,106,167,106,167,106,167,106,167,106,167,106,167,106,167,106,167.0,106.0,167.0,106.0,167.0,106.0,167.0,106.0,1.0372670807453417,1.0372670807453417
57b50e76-98b7-45bd-a6a8-c02d71de114d,1,False,"[(61, 106)]",133,167,52,59,133,64,161,167,61,167,61,167,61,167,61,167,61,167,61,167,61,167,61,167,61,167,61,167,61,167.0,61.0,167.0,61.0,167.0,61.0,167.0,61.0,1.0372670807453417,1.0372670807453417
7fab0f37-36db-4305-8e4b-18f77d322e73,22,False,"[(56, 67), (52, 75)]",145,145,38,46,145,55,121,127,52,123,56,123,56,123,56,123,56,123,56,123,56,123,56,123,56,127,52,123,56,123.0,56.0,123.0,56.0,124.18180000000001,54.818200000000004,123.0,56.0,1.0495867768595042,1.0165289256198347
7fab0f37-36db-4305-8e4b-18f77d322e73,22,False,"[(67, 56), (75, 52)]",145,145,46,38,145,66,121,127,75,123,67,123,67,123,67,123,67,123,67,123,67,123,67,123,67,127,75,123,67,123.0,67.0,123.0,67.0,124.18180000000001,69.3636,123.0,67.0,1.0495867768595042,1.0165289256198347
bde6a58c-1c79-4aa4-ab73-8fe8e668a82e,22,False,"[(60, 71), (73, 62)]",145,145,46,57,145,60,131,131,60,131,60,131,60,131,60,131,60,131,60,131,60,131,60,131,60,135,73,131,60,131.0,60.0,133.0,66.5,132.65949999999998,65.3932,131.0,60.0,1.0305343511450382,1.0
bde6a58c-1c79-4aa4-ab73-8fe8e668a82e,22,False,"[(71, 60), (62, 73)]",145,145,57,46,145,71,131,131,71,131,71,131,71,131,71,131,71,131,71,131,71,131,71,131,71,135,62,131,71,131.0,71.0,133.0,66.5,132.65949999999998,67.2663,131.0,71.0,1.0305343511450382,1.0
5191b58a-b534-461a-b8de-b5ff7bf1b3bd,22,False,"[(54, 65), (50, 73)]",145,145,41,41,145,53,117,123,50,119,54,119,54,119,54,119,54,119,54,119,54,119,54,119,54,123,50,119,54,119.0,54.0,119.0,54.0,120.18520000000001,52.814800000000005,119.0,54.0,1.0512820512820513,1.017094017094017
5191b58a-b534-461a-b8de-b5ff7bf1b3bd,22,False,"[(65, 54), (73, 50)]",145,145,41,41,145,64,117,123,73,119,65,119,65,119,65,119,65,119,65,119,65,119,65,119,65,123,73,119,65,119.0,65.0,119.0,65.0,120.18520000000001,67.3704,119.0,65.0,1.0512820512820513,1.017094017094017
6395292d-286e-4968-9392-ddc53bf9302e,12,False,"[(61, 50)]",155,167,38,41,155,61,111,111,61,111,61,111,61,111,61,111,61,111,61,111,61,111,61,111,61,111,61,111,61,111.0,61.0,111.0,61.0,111.0,61.0,111.0,61.0,1.0,1.0
6395292d-286e-4968-9392-ddc53bf9302e,12,False,"[(50, 61)]",167,155,41,38,167,50,111,111,50,111,50,111,50,111,50,111,50,111,50,111,50,111,50,111,50,111,50,111,50,111.0,50.0,111.0,50.0,111.0,50.0,111.0,50.0,1.0,1.0
5c3cae79-b4ce-4246-8896-6dc1220b9e4e,22,False,"[(49, 72), (71, 60)]",145,145,37,45,145,52,115,121,49,131,71,121,49,121,49,131,71,131,71,131,71,121,49,121,49,131,71,121,49,121.0,49.0,127.76480000000001,63.882400000000004,124.81200000000001,57.3865,121.0,49.0,1.1391304347826088,1.0521739130434782
5c3cae79-b4ce-4246-8896-6dc1220b9e4e,22,False,"[(72, 49), (60, 71)]",145,145,45,37,145,63,115,121,72,131,60,121,72,121,72,131,60,131,60,131,60,121,72,121,72,131,60,121,72,121.0,72.0,127.76480000000001,63.882400000000004,124.81200000000001,67.4255,121.0,72.0,1.1391304347826088,1.0521739130434782
58e9b0f6-03cb-401e-a114-1a0c58cde63a,22,False,"[(45, 56), (54, 43)]",145,145,36,29,145,54,97,97,54,97,54,97,54,97,54,101,45,97,54,97,54,97,54,97,54,101,45,97,54,97.0,54.0,99.0,49.5,98.65550000000002,50.275000000000006,97.0,54.0,1.041237113402062,1.0
58e9b0f6-03cb-401e-a114-1a0c58cde63a,22,False,"[(56, 45), (43, 54)]",145,145,29,36,145,43,97,97,43,97,43,97,43,97,43,101,56,97,43,97,43,97,43,97,43,101,56,97,43,97.0,43.0,99.0,49.5,98.65550000000002,48.3805,97.0,43.0,1.041237113402062,1.0
224b6da2-94bc-4778-b00d-733c82d37888,11,False,"[(161, 150), (164, 141)]",309,309,129,132,309,164,305,305,164,311,161,305,164,305,164,311,161,311,161,311,161,305,164,305,164,311,161,305,164,305.0,164.0,311.0,161.0,306.6471,163.1765,305.0,164.0,1.019672131147541,1.0
224b6da2-94bc-4778-b00d-733c82d37888,11,False,"[(150, 161), (141, 164)]",309,309,132,129,309,141,305,305,141,311,150,305,141,305,141,311,150,311,150,311,150,305,141,305,141,311,150,305,141,305.0,141.0,311.0,150.0,306.6471,143.4706,305.0,141.0,1.019672131147541,1.0
68e7cbd2-83f4-422a-b872-d13a0920e762,0,False,"[(67, 44), (50, 61)]",135,89,40,30,135,58,105,111,67,111,50,111,67,111,67,111,50,111,67,111,67,111,67,111,67,111,50,111,67,111.0,66.9972,111.0,67.0,111.0,61.115399999999994,111.0,50.0,1.0571428571428572,1.0571428571428572
68e7cbd2-83f4-422a-b872-d13a0920e762,0,False,"[(44, 67), (61, 50)]",89,135,30,40,89,47,105,111,44,111,61,111,44,111,44,111,61,111,44,111,44,111,44,111,44,111,61,111,44,111.0,44.0028,111.0,44.0,111.0,49.8846,111.0,61.0,1.0571428571428572,1.0571428571428572
d6ddbac3-d08c-43f5-b9e7-918af23e6cad,11,False,"[(48, 59), (44, 67)]",155,189,33,45,155,47,105,111,44,107,48,107,48,107,48,107,48,111,44,107,48,107,48,107,48,111,44,107,48,107.0,48.0,111.0,44.0,108.47719999999998,46.5227,107.0,48.0,1.0571428571428572,1.019047619047619
