eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
417dd3b8-5af0-4b58-b816-e2536d91d572,1,False,"[(144, 121), (127, 138)]",365,353,94,111,365,144,265,265,144,265,127,265,144,265,144,265,127,265,144,265,127,265,144,265,144,265,127,265,144,265.0,127.0,265.0,138.5,265.0,138.5,265.0,135.6085,1.0,1.0
417dd3b8-5af0-4b58-b816-e2536d91d572,1,False,"[(121, 144), (138, 127)]",353,365,111,94,353,121,265,265,121,265,138,265,121,265,121,265,138,265,121,265,138,265,121,265,121,265,138,265,121,265.0,138.0,265.0,126.5,265.0,126.5,265.0,129.3915,1.0,1.0
7ce46e1c-8925-4181-9a20-9b1959bea7fb,22,False,"[(122, 89), (90, 123)]",365,309,80,66,365,116,199,211,122,211,122,211,122,211,122,211,122,211,122,211,122,211,122,211,122,213,90,211,122,211.0,122.0,211.0,122.0,211.0007,121.9888,211.85900000000004,108.255,1.07035175879397,1.0603015075376885
7ce46e1c-8925-4181-9a20-9b1959bea7fb,22,False,"[(89, 122), (123, 90)]",309,365,66,80,309,83,199,211,89,211,89,211,89,211,89,211,89,211,89,211,89,211,89,211,89,213,123,211,89,211.0,89.0,211.0,89.0,211.0007,89.0119,211.85900000000004,103.60400000000001,1.07035175879397,1.0603015075376885
9c81e66d-e299-4487-8e94-1e33096ba3f9,0,False,"[(218, 241)]",551,597,195,223,551,218,459,459,218,459,218,459,218,459,218,459,218,459,218,459,218,459,218,459,218,459,218,459,218,459.0,218.0,459.0,218.0,459.0,218.0,459.0,218.0,1.0,1.0
9c81e66d-e299-4487-8e94-1e33096ba3f9,0,False,"[(241, 218)]",597,551,223,195,597,241,459,459,241,459,241,459,241,459,241,459,241,459,241,459,241,459,241,459,241,459,241,459,241,459.0,241.0,459.0,241.0,459.0,241.0,459.0,241.0,1.0,1.0
531f811c-5910-457b-920b-e769b07898cb,23,True,"[(108, 85), (86, 97)]",375,353,77,74,375,86,183,193,108,183,86,183,86,183,86,183,86,193,108,183,86,183,86,183,86,193,108,183,86,183.0,86.0,192.70579999999995,107.35289999999998,183.0,86.0,186.70350000000008,94.14780000000002,1.0546448087431695,1.0
531f811c-5910-457b-920b-e769b07898cb,23,True,"[(85, 108), (97, 86)]",353,375,74,77,353,97,183,193,85,183,97,183,97,183,97,183,97,193,85,183,97,183,97,183,97,193,85,183,97,183.0,97.0,192.70579999999995,85.35289999999998,183.0,97.0,186.70350000000008,92.5557,1.0546448087431695,1.0
977f1be4-55f0-447c-928d-49845ae6510d,0,False,"[(277, 254)]",695,639,252,214,695,277,531,531,277,531,277,531,277,531,277,531,277,531,277,531,277,531,277,531,277,531,277,531,277,531.0,277.0,531.0,277.0,531.0,277.0,531.0,277.0,1.0,1.0
977f1be4-55f0-447c-928d-49845ae6510d,0,False,"[(254, 277)]",639,695,214,252,639,254,531,531,254,531,254,531,254,531,254,531,254,531,254,531,254,531,254,531,254,531,254,531,254,531.0,254.0,531.0,254.0,531.0,254.0,531.0,254.0,1.0,1.0
38624537-e212-4acc-808b-c1ce484b9248,1,False,"[(188, 463), (184, 481)]",573,893,165,237,573,188,651,665,184,651,188,651,188,651,188,651,188,665,184,651,188,651,188,651,188,665,184,651,188,651.0,188.0,665.0,184.0,651.0,188.0,653.7608,187.21120000000002,1.021505376344086,1.0
