eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,PoA,PoS
a4e31791-75c4-462a-848c-8baf6cd013ad,13,True,"[(35, 35)]",35,35,9,8,35,23,57,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70.0,35.0,70.0,35.0,70.0,35.0,70.0,35.0,1.2280701754385965,1.2280701754385965
a4e31791-75c4-462a-848c-8baf6cd013ad,13,True,"[(35, 35)]",35,35,8,9,35,34,57,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70.0,35.0,70.0,35.0,70.0,35.0,70.0,35.0,1.2280701754385965,1.2280701754385965
62c5740c-8b1b-4df6-99bc-324ba59e9826,23,True,"[(44, 33)]",45,45,26,18,45,44,77,77,44,77,44,77,44,77,44,77,44,77,44,77,44,77,44,77,44,77,44,77,44,77.0,44.0,77.0,44.0,77.0,44.0,77.0,44.0,1.0,1.0
62c5740c-8b1b-4df6-99bc-324ba59e9826,23,True,"[(33, 44)]",45,45,18,26,45,33,77,77,33,77,33,77,33,77,33,77,33,77,33,77,33,77,33,77,33,77,33,77,33,77.0,33.0,77.0,33.0,77.0,33.0,77.0,33.0,1.0,1.0
8387f8b4-56f3-470e-bfa2-33fe5e295de2,23,True,"[(45, 45)]",45,45,13,25,45,30,71,90,45,90,45,90,45,90,45,90,45,90,45,90,45,90,45,90,45,90,45,90,45,90.0,45.0,90.0,45.0,90.0,45.0,90.0,45.0,1.267605633802817,1.267605633802817
8387f8b4-56f3-470e-bfa2-33fe5e295de2,23,True,"[(45, 45)]",45,45,25,13,45,41,71,90,45,90,45,90,45,90,45,90,45,90,45,90,45,90,45,90,45,90,45,90,45,90.0,45.0,90.0,45.0,90.0,45.0,90.0,45.0,1.267605633802817,1.267605633802817
27694950-4ad9-4d3a-87cb-3954f3637078,13,True,"[(35, 35)]",35,35,8,18,35,17,57,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70.0,35.0,70.0,35.0,70.0,35.0,70.0,35.0,1.2280701754385965,1.2280701754385965
27694950-4ad9-4d3a-87cb-3954f3637078,13,True,"[(35, 35)]",35,35,18,8,35,40,57,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70.0,35.0,70.0,35.0,70.0,35.0,70.0,35.0,1.2280701754385965,1.2280701754385965
9adf059c-722f-490e-b17b-9641e5ce23d2,23,True,"[(21, 32)]",45,45,12,9,45,21,53,53,21,53,21,53,21,53,21,53,21,53,21,53,21,53,21,53,21,53,21,53,21,53.0,21.0,53.0,21.0,53.0,21.0,53.0,21.0,1.0,1.0
9adf059c-722f-490e-b17b-9641e5ce23d2,23,True,"[(32, 21)]",45,45,9,12,45,32,53,53,32,53,32,53,32,53,32,53,32,53,32,53,32,53,32,53,32,53,32,53,32,53.0,32.0,53.0,32.0,53.0,32.0,53.0,32.0,1.0,1.0
