eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
9008dbbc-ddd6-4b0d-9272-1ae6c0013a79,23,False,"[(57, 68), (53, 76)]",155,155,42,47,155,56,123,129,53,125,57,125,57,125,57,125,57,125,57,125,57,125,57,125,57,129,53,125,57,125.0,57.0,125.0,57.0,126.1959,55.804100000000005,125.0,57.0,1.048780487804878,1.016260162601626
9008dbbc-ddd6-4b0d-9272-1ae6c0013a79,23,False,"[(68, 57), (76, 53)]",155,155,47,42,155,67,123,129,76,125,68,125,68,125,68,125,68,125,68,125,68,125,68,125,68,129,76,125,68,125.0,68.0,125.0,68.0,126.1959,70.3918,125.0,68.0,1.048780487804878,1.016260162601626
0bcecaa7-33be-4357-a45c-ec2eef2eec7a,0,False,"[(245, 256), (241, 264)]",573,729,158,201,573,244,499,505,241,501,245,501,245,501,245,501,245,505,241,505,241,501,245,501,245,505,241,501,245,501.0,245.0,501.0,245.0,502.66409999999996,243.336,505.0,241.0,1.0120240480961924,1.0040080160320641
0bcecaa7-33be-4357-a45c-ec2eef2eec7a,0,False,"[(256, 245), (264, 241)]",729,573,201,158,729,255,499,505,264,501,256,501,256,501,256,501,256,505,264,505,264,501,256,501,256,505,264,501,256,501.0,256.0,501.0,256.0,502.66409999999996,259.3281,505.0,264.0,1.0120240480961924,1.0040080160320641
6b11402e-60f6-43c0-9949-ec1d529729f0,0,True,"[(155, 1135)]",155,1135,59,367,155,155,1290,1290,155,1290,155,1290,155,1290,155,1290,155,1290,155,1290,155,1290,155,1290,155,1290,155,1290,155,1290.0,155.0,1290.0,155.0,1290.0,155.0,1290.0,155.0,1.0,1.0
6b11402e-60f6-43c0-9949-ec1d529729f0,0,True,"[(1135, 155)]",1135,155,367,59,1135,1135,1290,1290,1135,1290,1135,1290,1135,1290,1135,1290,1135,1290,1135,1290,1135,1290,1135,1290,1135,1290,1135,1290,1135,1290.0,1135.0,1290.0,1135.0,1290.0,1135.0,1290.0,1135.0,1.0,1.0
1301c01e-0db3-4ccf-bf6c-6dfde90b171c,23,False,"[(121, 98)]",211,233,76,80,211,112,213,219,121,219,121,219,121,219,121,219,121,219,121,219,121,219,121,219,121,219,121,219,121,219.0,121.0,219.0,121.0,219.0,121.0,219.0,121.0,1.028169014084507,1.028169014084507
1301c01e-0db3-4ccf-bf6c-6dfde90b171c,23,False,"[(98, 121)]",233,211,80,76,233,101,213,219,98,219,98,219,98,219,98,219,98,219,98,219,98,219,98,219,98,219,98,219,98,219.0,98.0,219.0,98.0,219.0,98.0,219.0,98.0,1.028169014084507,1.028169014084507
66449c38-40e5-4823-a411-718f66d5ffb5,22,False,"[(63, 40)]",145,145,36,29,145,54,97,103,63,103,63,103,63,103,63,103,63,103,63,103,63,103,63,103,63,103,63,103,63,103.0,63.0,103.0,63.0,103.0,63.0,103.0,63.0,1.0618556701030928,1.0618556701030928
66449c38-40e5-4823-a411-718f66d5ffb5,22,False,"[(40, 63)]",145,145,29,36,145,43,97,103,40,103,40,103,40,103,40,103,40,103,40,103,40,103,40,103,40,103,40,103,40,103.0,40.0,103.0,40.0,103.0,40.0,103.0,40.0,1.0618556701030928,1.0618556701030928
fcaf5b71-2d79-4e56-905d-b2d3e1fc5686,22,False,"[(113, 102), (126, 93), (139, 84)]",167,111,41,34,167,113,215,223,139,215,113,215,113,215,113,215,113,223,139,223,139,223,139,223,139,215,113,215,113,221.3077,133.5,215.0,113.0,219.6452,128.0968,223.0,139.0,1.0372093023255815,1.0
fcaf5b71-2d79-4e56-905d-b2d3e1fc5686,22,False,"[(102, 113), (93, 126), (84, 139)]",111,167,34,41,111,102,215,223,84,215,102,215,102,215,102,215,102,223,84,223,84,223,84,223,84,215,102,215,102,221.3077,87.8077,215.0,102.0,219.6452,91.5484,223.0,84.0,1.0372093023255815,1.0
0a01a1f6-077b-4cb8-beb3-a827d80e54b7,0,False,"[(60, 83)]",177,211,46,48,177,63,137,143,60,143,60,143,60,143,60,143,60,143,60,143,60,143,60,143,60,143,60,143,60,143.0,60.0,143.0,60.0,143.0,60.0,143.0,60.0,1.0437956204379562,1.0437956204379562
0a01a1f6-077b-4cb8-beb3-a827d80e54b7,0,False,"[(83, 60)]",211,177,48,46,211,74,137,143,83,143,83,143,83,143,83,143,83,143,83,143,83,143,83,143,83,143,83,143,83,143.0,83.0,143.0,83.0,143.0,83.0,143.0,83.0,1.0437956204379562,1.0437956204379562
0e211b5d-2303-42b5-863d-2b13e8cfc37e,22,False,"[(191, 58), (144, 89), (189, 68)]",255,145,67,49,255,144,233,249,191,233,144,233,144,233,144,233,144,257,189,233,144,249,191,233,144,257,189,233,144,237.4421,157.0485,233.0,144.0,240.3116,165.4777,244.282,177.14100000000002,1.1030042918454936,1.0
0e211b5d-2303-42b5-863d-2b13e8cfc37e,22,False,"[(58, 191), (89, 144), (68, 189)]",145,255,49,67,145,89,233,249,58,233,89,233,89,233,89,233,89,257,68,233,89,249,58,233,89,257,68,233,89,237.4421,80.3936,233.0,89.0,240.3116,74.8339,244.282,67.141,1.1030042918454936,1.0
ed477352-ef77-49e9-a4b4-719089c1c8e7,1,False,"[(74, 107)]",155,211,51,66,155,74,181,181,74,181,74,181,74,181,74,181,74,181,74,181,74,181,74,181,74,181,74,181,74,181.0,74.0,181.0,74.0,181.0,74.0,181.0,74.0,1.0,1.0
ed477352-ef77-49e9-a4b4-719089c1c8e7,1,False,"[(107, 74)]",211,155,66,51,211,107,181,181,107,181,107,181,107,181,107,181,107,181,107,181,107,181,107,181,107,181,107,181,107,181.0,107.0,181.0,107.0,181.0,107.0,181.0,107.0,1.0,1.0
8e8feb3e-1030-4f07-b72d-3d3bd7351f42,23,False,"[(92, 115), (125, 102)]",221,211,68,84,221,95,201,207,92,207,92,207,92,207,92,207,92,207,92,207,92,207,92,207,92,227,125,207,92,207.0,92.0,207.0,92.0,213.3595,102.4932,221.3478,115.6739,1.1293532338308458,1.0298507462686568
8e8feb3e-1030-4f07-b72d-3d3bd7351f42,23,False,"[(115, 92), (102, 125)]",211,221,84,68,211,106,201,207,115,207,115,207,115,207,115,207,115,207,115,207,115,207,115,207,115,227,102,207,115,207.0,115.0,207.0,115.0,213.3595,110.8663,221.3478,105.6739,1.1293532338308458,1.0298507462686568
a39bd00b-7dc0-4b6a-8e4c-823fb63b1e60,22,False,"[(70, 59)]",155,167,56,50,155,70,129,129,70,129,70,129,70,129,70,129,70,129,70,129,70,129,70,129,70,129,70,129,70,129.0,70.0,129.0,70.0,129.0,70.0,129.0,70.0,1.0,1.0
a39bd00b-7dc0-4b6a-8e4c-823fb63b1e60,22,False,"[(59, 70)]",167,155,50,56,167,59,129,129,59,129,59,129,59,129,59,129,59,129,59,129,59,129,59,129,59,129,59,129,59,129.0,59.0,129.0,59.0,129.0,59.0,129.0,59.0,1.0,1.0
5434c060-63e4-418c-af7b-83f057aff243,0,False,"[(57, 90), (76, 43)]",179,111,48,29,179,76,119,119,76,119,76,119,76,119,76,147,57,119,76,119,76,119,76,119,76,147,57,119,76,119.0,76.0,119.0,76.0,124.1489,72.5061,119.0,76.0,1.2352941176470589,1.0
5434c060-63e4-418c-af7b-83f057aff243,0,False,"[(90, 57), (43, 76)]",111,179,29,48,111,43,119,119,43,119,43,119,43,119,43,147,90,119,43,119,43,119,43,119,43,147,90,119,43,119.0,43.0,119.0,43.0,124.1489,51.6428,119.0,43.0,1.2352941176470589,1.0
