eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,PoA,PoS
23b269c6-c15e-4c8d-9f81-2e30100d4074,0,False,"[(78, 89), (91, 80)]",200,166,69,66,200,78,167,167,78,167,78,167,78,167,78,167,78,171,91,171,91,167,78,167,78,171,91,167,78,171.0,91.0,168.9819,84.4413,168.6581,83.3888,167.0,78.0,1.0239520958083832,1.0
23b269c6-c15e-4c8d-9f81-2e30100d4074,0,False,"[(89, 78), (80, 91)]",166,200,66,69,166,89,167,167,89,167,89,167,89,167,89,167,89,171,80,171,80,167,89,167,89,171,80,167,89,171.0,80.0,168.9819,84.5406,168.6581,85.2693,167.0,89.0,1.0239520958083832,1.0
b9963950-5772-440e-9ec1-b4b3b464b7e2,0,False,"[(76, 53), (67, 90)]",200,166,56,44,200,67,123,129,76,129,76,129,76,129,76,129,76,129,76,129,76,129,76,129,76,157,67,129,76,129.0,76.0,133.7956,74.4586,129.0,76.0,129.0,76.0,1.2764227642276422,1.048780487804878
b9963950-5772-440e-9ec1-b4b3b464b7e2,0,False,"[(53, 76), (90, 67)]",166,200,44,56,166,56,123,129,53,129,53,129,53,129,53,129,53,129,53,129,53,129,53,129,53,157,90,129,53,129.0,53.0,133.7956,59.337,129.0,53.0,129.0,53.0,1.2764227642276422,1.048780487804878
30a8514e-67d2-46ce-a6a0-260a3b04246a,0,False,"[(75, 98)]",232,278,61,89,232,78,167,173,75,173,75,173,75,173,75,173,75,173,75,173,75,173,75,173,75,173,75,173,75,173.0,75.0,173.0,75.0,173.0,75.0,173.0,75.0,1.035928143712575,1.035928143712575
30a8514e-67d2-46ce-a6a0-260a3b04246a,0,False,"[(98, 75)]",278,232,89,61,278,89,167,173,98,173,98,173,98,173,98,173,98,173,98,173,98,173,98,173,98,173,98,173,98,173.0,98.0,173.0,98.0,173.0,98.0,173.0,98.0,1.035928143712575,1.035928143712575
974575f6-3cef-4ae7-b0ed-e46e40954ef4,243,False,"[(891, 582), (869, 594)]",992,936,268,257,992,869,1463,1473,891,1463,869,1463,869,1463,869,1463,869,1463,869,1463,869,1463,869,1463,869,1473,891,1463,869,1463.0,869.0,1464.5933,872.5052000000001,1463.0,869.0,1463.0,869.0,1.0068352699931646,1.0
974575f6-3cef-4ae7-b0ed-e46e40954ef4,243,False,"[(582, 891), (594, 869)]",936,992,257,268,936,594,1463,1473,582,1463,594,1463,594,1463,594,1463,594,1463,594,1463,594,1463,594,1463,594,1473,582,1463,594,1463.0,594.0,1464.5933,592.0880999999999,1463.0,594.0,1463.0,594.0,1.0068352699931646,1.0
d3818b98-c3a2-4a1a-9632-8736e6c5b0aa,11,False,"[(79, 68)]",210,210,57,57,210,79,147,147,79,147,79,147,79,147,79,147,79,147,79,147,79,147,79,147,79,147,79,147,79,147.0,79.0,147.0,79.0,147.0,79.0,147.0,79.0,1.0,1.0
d3818b98-c3a2-4a1a-9632-8736e6c5b0aa,11,False,"[(68, 79)]",210,210,57,57,210,68,147,147,68,147,68,147,68,147,68,147,68,147,68,147,68,147,68,147,68,147,68,147,68,147.0,68.0,147.0,68.0,147.0,68.0,147.0,68.0,1.0,1.0
19d8c32c-502a-41b3-a092-0e772d203a21,23,False,"[(80, 91), (76, 99)]",254,254,67,67,254,79,169,175,76,171,80,171,80,171,80,171,80,171,80,171,80,171,80,171,80,175,76,171,80,171.0,80.0,172.25619999999998,78.74369999999999,171.0,80.0,171.0,80.0,1.0355029585798816,1.0118343195266273
19d8c32c-502a-41b3-a092-0e772d203a21,23,False,"[(91, 80), (99, 76)]",254,254,67,67,254,90,169,175,99,171,91,171,91,171,91,171,91,171,91,171,91,171,91,171,91,175,99,171,91,171.0,91.0,172.25619999999998,93.51249999999999,171.0,91.0,171.0,91.0,1.0355029585798816,1.0118343195266273
f1d24e7f-fe08-46d5-85d8-f222da6cffb4,0,False,"[(164, 119), (154, 199)]",376,320,114,110,376,155,277,283,164,283,164,283,164,283,164,283,164,283,164,283,164,283,164,283,164,353,154,283,164,283.0,164.0,290.1168,162.9833,283.0,164.0,283.0,164.0,1.2743682310469313,1.0216606498194947
f1d24e7f-fe08-46d5-85d8-f222da6cffb4,0,False,"[(119, 164), (199, 154)]",320,376,110,114,320,122,277,283,119,283,119,283,119,283,119,283,119,283,119,283,119,283,119,283,119,353,199,283,119,283.0,119.0,290.1168,127.1335,283.0,119.0,283.0,119.0,1.2743682310469313,1.0216606498194947
acb6b9de-1278-4f86-af30-780588ec2e8c,11,False,"[(98, 75)]",244,210,89,61,244,98,173,173,98,173,98,173,98,173,98,173,98,173,98,173,98,173,98,173,98,173,98,173,98,173.0,98.0,173.0,98.0,173.0,98.0,173.0,98.0,1.0,1.0
acb6b9de-1278-4f86-af30-780588ec2e8c,11,False,"[(75, 98)]",210,244,61,89,210,75,173,173,75,173,75,173,75,173,75,173,75,173,75,173,75,173,75,173,75,173,75,173,75,173.0,75.0,173.0,75.0,173.0,75.0,173.0,75.0,1.0,1.0
da177897-0a09-43ad-8c32-4862fbba2249,11,False,"[(86, 63), (68, 91)]",200,166,63,49,200,77,143,149,86,149,86,149,86,149,86,149,86,149,86,149,86,149,86,149,86,159,68,149,86,149.0,86.0,152.3405,79.987,149.0,86.0,149.0,86.0,1.1118881118881119,1.0419580419580419
da177897-0a09-43ad-8c32-4862fbba2249,11,False,"[(63, 86), (91, 68)]",166,200,49,63,166,66,143,149,63,149,63,149,63,149,63,149,63,149,63,149,63,149,63,149,63,159,91,149,63,149.0,63.0,152.3405,72.3535,149.0,63.0,149.0,63.0,1.1118881118881119,1.0419580419580419
7764ec34-9b10-406e-990d-ba3880196cb3,11,False,"[(86, 75), (73, 84)]",210,188,64,61,210,73,157,157,73,157,73,157,73,157,73,161,86,161,86,161,86,157,73,157,73,161,86,157,73,161.0,86.0,158.8253,78.9323,157.0019,73.006,157.0,73.0,1.0254777070063694,1.0
7764ec34-9b10-406e-990d-ba3880196cb3,11,False,"[(75, 86), (84, 73)]",188,210,61,64,188,84,157,157,84,157,84,157,84,157,84,161,75,161,75,161,75,157,84,157,84,161,75,157,84,161.0,75.0,158.8253,79.893,157.0019,83.9959,157.0,84.0,1.0254777070063694,1.0
64e6a260-f309-4f3a-b810-fe2289d96d4a,297,True,"[(936, 144)]",936,144,290,63,936,936,1080,1080,936,1080,936,1080,936,1080,936,1080,936,1080,936,1080,936,1080,936,1080,936,1080,936,1080,936,1080.0,936.0,1080.0,936.0,1080.0,936.0,1080.0,936.0,1.0,1.0
64e6a260-f309-4f3a-b810-fe2289d96d4a,297,True,"[(144, 936)]",144,936,63,290,144,144,1080,1080,144,1080,144,1080,144,1080,144,1080,144,1080,144,1080,144,1080,144,1080,144,1080,144,1080,144,1080.0,144.0,1080.0,144.0,1080.0,144.0,1080.0,144.0,1.0,1.0
55b4f91b-19e6-4154-957e-630e549ca767,11,False,"[(116, 259), (181, 236)]",288,354,80,110,288,116,375,375,116,417,181,375,116,375,116,417,181,417,181,417,181,375,116,375,116,417,181,375,116,411.75,172.875,389.2914,138.1177,375.00300000000004,116.00470000000001,375.0,116.0,1.112,1.0
55b4f91b-19e6-4154-957e-630e549ca767,11,False,"[(259, 116), (236, 181)]",354,288,110,80,354,259,375,375,259,417,236,375,259,375,259,417,236,417,236,417,236,375,259,375,259,417,236,375,259,411.75,238.875,389.2914,251.1737,375.00300000000004,258.9983,375.0,259.0,1.112,1.0
b7129894-97bc-4deb-a32c-13f296f0128f,12,False,"[(71, 60), (78, 55)]",210,222,47,46,210,69,127,133,78,131,71,131,71,131,71,131,71,131,71,131,71,131,71,131,71,133,78,131,71,131.0,71.0,131.74570000000006,73.61000000000001,131.0,71.0,131.0,71.0,1.047244094488189,1.031496062992126
b7129894-97bc-4deb-a32c-13f296f0128f,12,False,"[(60, 71), (55, 78)]",222,210,46,47,222,58,127,133,55,131,60,131,60,131,60,131,60,131,60,131,60,131,60,131,60,133,55,131,60,131.0,60.0,131.74570000000006,58.135700000000014,131.0,60.0,131.0,60.0,1.047244094488189,1.031496062992126
4c10e451-276f-4af3-a96c-0862cb55f957,22,False,"[(48, 71), (52, 63), (85, 62)]",200,200,39,43,200,51,113,119,48,115,52,115,52,115,52,115,52,115,52,115,52,115,52,115,52,147,85,115,52,125.35300000000001,62.676500000000004,115.90499999999997,51.095,115.0,52.0,115.0,52.0,1.3008849557522124,1.0176991150442478
4c10e451-276f-4af3-a96c-0862cb55f957,22,False,"[(71, 48), (63, 52), (62, 85)]",200,200,43,39,200,62,113,119,71,115,63,115,63,115,63,115,63,115,63,115,63,115,63,115,63,147,62,115,63,125.35300000000001,62.676500000000004,115.90499999999997,64.81,115.0,63.0,115.0,63.0,1.3008849557522124,1.0176991150442478
3a3794ca-8ca7-45e8-a35e-5c881bd0cb85,22,False,"[(117, 62), (74, 107), (105, 72), (92, 103)]",200,144,64,44,200,113,171,179,117,195,92,177,105,177,105,195,92,179,117,177,105,179,117,177,105,195,92,177,105,179.0,117.0,177.73770000000002,99.2834,177.7167,109.3,177.0,105.0,1.1403508771929824,1.0350877192982457
3a3794ca-8ca7-45e8-a35e-5c881bd0cb85,22,False,"[(62, 117), (107, 74), (72, 105), (103, 92)]",144,200,44,64,144,58,171,179,62,195,103,177,72,177,72,195,103,179,62,177,72,179,62,177,72,195,103,177,72,179.0,62.0,177.73770000000002,78.4543,177.7167,68.4167,177.0,72.0,1.1403508771929824,1.0350877192982457
07cbe2fc-b672-420a-a226-37ea77305611,23,False,"[(84, 73), (92, 69)]",276,276,63,60,276,83,155,161,92,157,84,157,84,157,84,157,84,157,84,157,84,157,84,157,84,161,92,157,84,157.0,84.0,158.26739999999995,86.53469999999999,157.0,84.0,157.0,84.0,1.038709677419355,1.0129032258064516
07cbe2fc-b672-420a-a226-37ea77305611,23,False,"[(73, 84), (69, 92)]",276,276,60,63,276,72,155,161,69,157,73,157,73,157,73,157,73,157,73,157,73,157,73,157,73,161,69,157,73,157.0,73.0,158.26739999999995,71.7327,157.0,73.0,157.0,73.0,1.038709677419355,1.0129032258064516
b52bf67a-964d-43e2-a1ec-1d68e34a1727,0,False,"[(135, 158)]",430,464,124,131,430,138,287,293,135,293,135,293,135,293,135,293,135,293,135,293,135,293,135,293,135,293,135,293,135,293.0,135.0,293.0,135.0,293.0,135.0,293.0,135.0,1.0209059233449478,1.0209059233449478
b52bf67a-964d-43e2-a1ec-1d68e34a1727,0,False,"[(158, 135)]",464,430,131,124,464,149,287,293,158,293,158,293,158,293,158,293,158,293,158,293,158,293,158,293,158,293,158,293,158,293.0,158.0,293.0,158.0,293.0,158.0,293.0,158.0,1.0209059233449478,1.0209059233449478
92e06b2b-e048-49ac-973c-c11c230722e7,22,False,"[(143, 176), (134, 189)]",420,430,123,123,420,143,319,323,134,319,143,319,143,319,143,319,143,319,143,319,143,319,143,319,143,323,134,319,143,319.0,143.0,320.523,139.57330000000002,319.0,143.0,319.0,143.0,1.0125391849529781,1.0
92e06b2b-e048-49ac-973c-c11c230722e7,22,False,"[(176, 143), (189, 134)]",430,420,123,123,430,176,319,323,189,319,176,319,176,319,176,319,176,319,176,319,176,319,176,319,176,323,189,319,176,319.0,176.0,320.523,180.9497,319.0,176.0,319.0,176.0,1.0125391849529781,1.0
1eb37676-6c7d-4b6c-86fd-ba03b3d11c88,0,True,"[(72, 95)]",210,244,61,68,210,72,167,167,72,167,72,167,72,167,72,167,72,167,72,167,72,167,72,167,72,167,72,167,72,167.0,72.0,167.0,72.0,167.0,72.0,167.0,72.0,1.0,1.0
1eb37676-6c7d-4b6c-86fd-ba03b3d11c88,0,True,"[(95, 72)]",244,210,68,61,244,95,167,167,95,167,95,167,95,167,95,167,95,167,95,167,95,167,95,167,95,167,95,167,95,167.0,95.0,167.0,95.0,167.0,95.0,167.0,95.0,1.0,1.0
