eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,PoA,PoS
2781b504-ae14-491c-a6ae-ea8e0cb4c573,22,False,"[(122, 99), (110, 121)]",287,299,101,88,287,122,221,221,122,231,110,221,122,221,122,231,110,231,110,231,110,221,122,221,122,231,110,221,122,224.81310000000002,117.42420000000001,221.0,122.0,231.0,110.0,221.0,122.0,1.0452488687782806,1.0
2781b504-ae14-491c-a6ae-ea8e0cb4c573,22,False,"[(99, 122), (121, 110)]",299,287,88,101,299,99,221,221,99,231,121,221,99,221,99,231,121,231,121,231,121,221,99,221,99,231,121,221,99,224.81310000000002,107.3889,221.0,99.0,231.0,121.0,221.0,99.0,1.0452488687782806,1.0
4534be75-1e85-4614-91eb-f1ad291f7be3,22,False,"[(101, 68), (93, 126)]",255,221,72,54,255,101,169,169,101,169,101,169,101,169,101,169,101,169,101,169,101,169,101,169,101,219,93,169,101,174.7627,100.078,169.0,101.0,169.0,101.0,169.0,101.0,1.2958579881656804,1.0
4534be75-1e85-4614-91eb-f1ad291f7be3,22,False,"[(68, 101), (126, 93)]",221,255,54,72,221,68,169,169,68,169,68,169,68,169,68,169,68,169,68,169,68,169,68,169,68,219,126,169,68,174.7627,74.68469999999999,169.0,68.0,169.0,68.0,169.0,68.0,1.2958579881656804,1.0
160e70f1-7374-46b7-8910-a48f153695fb,11,False,"[(82, 93)]",277,221,62,57,277,82,175,175,82,175,82,175,82,175,82,175,82,175,82,175,82,175,82,175,82,175,82,175,82,175.0,82.0,175.0,82.0,175.0,82.0,175.0,82.0,1.0,1.0
160e70f1-7374-46b7-8910-a48f153695fb,11,False,"[(93, 82)]",221,277,57,62,221,93,175,175,93,175,93,175,93,175,93,175,93,175,93,175,93,175,93,175,93,175,93,175,93,175.0,93.0,175.0,93.0,175.0,93.0,175.0,93.0,1.0,1.0
88f7c357-abee-489d-a366-7c233173bd93,0,False,"[(122, 497)]",375,773,108,219,375,122,619,619,122,619,122,619,122,619,122,619,122,619,122,619,122,619,122,619,122,619,122,619,122,619.0,122.0,619.0,122.0,619.0,122.0,619.0,122.0,1.0,1.0
88f7c357-abee-489d-a366-7c233173bd93,0,False,"[(497, 122)]",773,375,219,108,773,497,619,619,497,619,497,619,497,619,497,619,497,619,497,619,497,619,497,619,497,619,497,619,497,619.0,497.0,619.0,497.0,619.0,497.0,619.0,497.0,1.0,1.0
862604cd-df01-4e72-8669-8fd6b1e9a3ee,1,True,"[(105, 128)]",287,299,96,96,287,108,227,233,105,233,105,233,105,233,105,233,105,233,105,233,105,233,105,233,105,233,105,233,105,233.0,105.0,233.0,105.0,233.0,105.0,233.0,105.0,1.026431718061674,1.026431718061674
862604cd-df01-4e72-8669-8fd6b1e9a3ee,1,True,"[(128, 105)]",299,287,96,96,299,119,227,233,128,233,128,233,128,233,128,233,128,233,128,233,128,233,128,233,128,233,128,233,128,233.0,128.0,233.0,128.0,233.0,128.0,233.0,128.0,1.026431718061674,1.026431718061674
