eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,PoA,PoS
b08b4d7c-90f6-440d-a9f5-0c190d293651,22,False,"[(77, 100), (94, 83)]",365,365,68,69,365,77,177,177,77,177,94,177,77,177,77,177,94,177,94,177,94,177,77,177,94,177,77,177,77,177.0,85.58949999999999,177.0,88.5,177.0,94.0,177.0,88.50060000000002,1.0,1.0
b08b4d7c-90f6-440d-a9f5-0c190d293651,22,False,"[(100, 77), (83, 94)]",365,365,69,68,365,100,177,177,100,177,83,177,100,177,100,177,83,177,83,177,83,177,100,177,83,177,100,177,100,177.0,91.41050000000001,177.0,88.5,177.0,83.0,177.0,88.49939999999998,1.0,1.0
955e66d5-b142-4335-84c2-20af560d1e4e,22,False,"[(412, 841)]",475,881,182,258,475,412,1253,1253,412,1253,412,1253,412,1253,412,1253,412,1253,412,1253,412,1253,412,1253,412,1253,412,1253,412,1253.0,412.0,1253.0,412.0,1253.0,412.0,1253.0,412.0,1.0,1.0
955e66d5-b142-4335-84c2-20af560d1e4e,22,False,"[(841, 412)]",881,475,258,182,881,841,1253,1253,841,1253,841,1253,841,1253,841,1253,841,1253,841,1253,841,1253,841,1253,841,1253,841,1253,841,1253.0,841.0,1253.0,841.0,1253.0,841.0,1253.0,841.0,1.0,1.0
26387a0d-1856-4570-8836-b8419ed58a5e,22,False,"[(207, 230), (211, 222)]",541,541,198,198,541,210,431,437,207,433,211,433,211,433,211,433,211,433,211,433,211,433,211,433,211,437,207,433,211,434.29279999999994,209.7072,433.0,211.0,433.0,211.0,433.0,211.0,1.013921113689095,1.0046403712296983
26387a0d-1856-4570-8836-b8419ed58a5e,22,False,"[(230, 207), (222, 211)]",541,541,198,198,541,221,431,437,230,433,222,433,222,433,222,433,222,433,222,433,222,433,222,433,222,437,230,433,222,434.29279999999994,224.5856,433.0,222.0,433.0,222.0,433.0,222.0,1.013921113689095,1.0046403712296983
679056d6-304a-4fef-a901-9908310d3ed5,22,False,"[(216, 239), (220, 231)]",761,761,202,199,761,219,449,455,216,451,220,451,220,451,220,451,220,451,220,451,220,451,220,451,220,455,216,451,220,452.30870000000004,218.69140000000004,451.0,220.0,451.0,220.0,451.0,220.0,1.0133630289532294,1.0044543429844097
679056d6-304a-4fef-a901-9908310d3ed5,22,False,"[(239, 216), (231, 220)]",761,761,199,202,761,230,449,455,239,451,231,451,231,451,231,451,231,451,231,451,231,451,231,451,231,455,239,451,231,452.30870000000004,233.6173,451.0,231.0,451.0,231.0,451.0,231.0,1.0133630289532294,1.0044543429844097
5ec37fa3-3f37-4910-bf3b-dd95858b0adb,1,False,"[(189, 178), (188, 211)]",431,419,155,160,431,189,367,367,189,367,189,367,189,367,189,367,189,367,189,367,189,367,189,367,189,399,188,367,189,367.93359999999996,188.9708,367.0,189.0,367.0,189.0,367.0,189.0,1.0871934604904632,1.0
5ec37fa3-3f37-4910-bf3b-dd95858b0adb,1,False,"[(178, 189), (211, 188)]",419,431,160,155,419,178,367,367,178,367,178,367,178,367,178,367,178,367,178,367,178,367,178,367,178,399,211,367,178,367.93359999999996,178.9628,367.0,178.0,367.0,178.0,367.0,178.0,1.0871934604904632,1.0
