eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
4f56c53d-c2db-4904-9426-88ef33f73001,22,False,"[(103, 92), (90, 113)]",310,298,67,80,310,103,195,203,90,195,103,195,103,195,103,195,103,195,103,195,103,195,103,195,103,203,90,195,103,197.93560000000002,98.22970000000001,195.0,103.0,195.0,103.0,195.0,103.0,1.041025641025641,1.0
4f56c53d-c2db-4904-9426-88ef33f73001,22,False,"[(92, 103), (113, 90)]",298,310,80,67,298,92,195,203,113,195,92,195,92,195,92,195,92,195,92,195,92,195,92,195,92,203,113,195,92,197.93560000000002,99.70590000000001,195.0,92.0,195.0,92.0,195.0,92.0,1.041025641025641,1.0
179012b4-3bb2-4daf-8a0e-8444bfd58924,22,False,"[(129, 106), (114, 137), (127, 116), (123, 134)]",310,276,95,95,310,120,229,235,129,243,127,235,129,235,129,243,127,235,129,235,129,235,129,235,129,257,123,235,129,239.7299,124.56569999999999,235.0,129.0,235.0,129.0,235.0,129.0,1.1222707423580787,1.0262008733624455
179012b4-3bb2-4daf-8a0e-8444bfd58924,22,False,"[(106, 129), (137, 114), (116, 127), (134, 123)]",276,310,95,95,276,109,229,235,106,243,116,235,106,235,106,243,116,235,106,235,106,235,106,235,106,257,134,235,106,239.7299,115.1642,235.0,106.0,235.0,106.0,235.0,106.0,1.1222707423580787,1.0262008733624455
114c648d-2385-40c5-ae07-3d3f4973ab6e,0,False,"[(91, 114), (92, 81)]",300,254,74,67,300,92,173,173,92,173,92,173,92,173,92,173,92,173,92,173,92,173,92,173,92,205,91,173,92,173.78300000000002,91.97550000000001,173.0,92.0,173.0,92.0,173.0,92.0,1.1849710982658959,1.0
114c648d-2385-40c5-ae07-3d3f4973ab6e,0,False,"[(114, 91), (81, 92)]",254,300,67,74,254,81,173,173,81,173,81,173,81,173,81,173,81,173,81,173,81,173,81,173,81,205,114,173,81,173.78300000000002,81.8075,173.0,81.0,173.0,81.0,173.0,81.0,1.1849710982658959,1.0
c9ca1d5e-413b-4795-9213-200dfbfc7915,33,False,"[(149, 116)]",320,320,98,107,320,149,265,265,149,265,149,265,149,265,149,265,149,265,149,265,149,265,149,265,149,265,149,265,149,265.0,149.0,265.0,149.0,265.0,149.0,265.0,149.0,1.0,1.0
c9ca1d5e-413b-4795-9213-200dfbfc7915,33,False,"[(116, 149)]",320,320,107,98,320,116,265,265,116,265,116,265,116,265,116,265,116,265,116,265,116,265,116,265,116,265,116,265,116,265.0,116.0,265.0,116.0,265.0,116.0,265.0,116.0,1.0,1.0
007d74a7-bcb5-4657-9245-6fa3ce4cbac9,11,False,"[(76, 99), (85, 96), (102, 91), (105, 82)]",310,276,62,59,310,76,175,175,76,181,85,175,76,175,76,181,85,187,105,193,102,175,76,175,76,193,102,175,76,179.97050000000002,88.0119,175.0,76.0,175.0,76.0,187.0,105.0,1.1028571428571428,1.0
007d74a7-bcb5-4657-9245-6fa3ce4cbac9,11,False,"[(99, 76), (96, 85), (91, 102), (82, 105)]",276,310,59,62,276,99,175,175,99,181,96,175,99,175,99,181,96,187,82,193,91,175,99,175,99,193,91,175,99,179.97050000000002,91.95859999999999,175.0,99.0,175.0,99.0,187.0,82.0,1.1028571428571428,1.0
