eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
b14d1719-b90d-413c-b6c9-059f75297691,22,False,"[(117, 94), (103, 114)]",343,343,86,85,343,100,211,211,117,217,103,211,117,211,117,217,103,217,103,217,103,211,117,211,117,217,103,211,117,215.05880000000002,107.52940000000001,211.0,117.0,211.0,117.0,213.52429999999998,111.11009999999999,1.028436018957346,1.0
b14d1719-b90d-413c-b6c9-059f75297691,22,False,"[(94, 117), (114, 103)]",343,343,85,86,343,111,211,211,94,217,114,211,94,211,94,217,114,217,114,217,114,211,94,211,94,217,114,211,94,215.05880000000002,107.52940000000001,211.0,94.0,211.0,94.0,213.52429999999998,102.4142,1.028436018957346,1.0
faa6efbc-d825-4613-a4c1-db6a21cd848c,0,False,"[(112, 89), (87, 110)]",353,399,73,80,353,103,195,197,87,197,87,197,87,197,87,201,112,197,87,197,87,197,87,197,87,201,112,197,87,197.0,87.0,197.0,87.0,197.0,87.0,198.67550000000006,97.4717,1.0307692307692307,1.0102564102564102
faa6efbc-d825-4613-a4c1-db6a21cd848c,0,False,"[(89, 112), (110, 87)]",399,353,80,73,399,92,195,197,110,197,110,197,110,197,110,201,89,197,110,197,110,197,110,197,110,201,89,197,110,197.0,110.0,197.0,110.0,197.0,110.0,198.67550000000006,101.2038,1.0307692307692307,1.0102564102564102
eadde75f-c4a5-498f-b430-0f90dc7a514f,0,False,"[(118, 141), (155, 132)]",353,399,104,132,353,121,253,259,118,259,118,259,118,259,118,259,118,259,118,259,118,259,118,259,118,287,155,259,118,259.0,118.0,259.0,118.0,259.0,118.0,263.9375,124.52449999999999,1.134387351778656,1.023715415019763
eadde75f-c4a5-498f-b430-0f90dc7a514f,0,False,"[(141, 118), (132, 155)]",399,353,132,104,399,132,253,259,141,259,141,259,141,259,141,259,141,259,141,259,141,259,141,259,141,287,132,259,141,259.0,141.0,259.0,141.0,259.0,141.0,263.9375,139.413,1.134387351778656,1.023715415019763
a08a374d-0270-43dd-aaf5-1bf49e5826dc,0,False,"[(160, 171)]",529,575,146,153,529,160,331,331,160,331,160,331,160,331,160,331,160,331,160,331,160,331,160,331,160,331,160,331,160,331.0,160.0,331.0,160.0,331.0,160.0,331.0,160.0,1.0,1.0
a08a374d-0270-43dd-aaf5-1bf49e5826dc,0,False,"[(171, 160)]",575,529,153,146,575,171,331,331,171,331,171,331,171,331,171,331,171,331,171,331,171,331,171,331,171,331,171,331,171,331.0,171.0,331.0,171.0,331.0,171.0,331.0,171.0,1.0,1.0
6fda0e89-9b7b-4173-b61e-8919ec10e6cd,1,False,"[(118, 95), (85, 108)]",353,365,74,82,353,88,187,193,85,193,85,193,85,193,85,213,118,193,85,193,85,193,85,193,85,213,118,193,85,197.7826,92.8913,193.0,85.0,193.0,85.0,198.62210000000005,94.27640000000002,1.13903743315508,1.032085561497326
6fda0e89-9b7b-4173-b61e-8919ec10e6cd,1,False,"[(95, 118), (108, 85)]",365,353,82,74,365,99,187,193,108,193,108,193,108,193,108,213,95,193,108,193,108,193,108,193,108,213,95,193,108,197.7826,104.8913,193.0,108.0,193.0,108.0,198.62210000000005,104.34570000000002,1.13903743315508,1.032085561497326
bf0af480-9276-47a2-bf66-8f02c13b9fb0,0,False,"[(176, 199)]",529,575,159,170,529,179,369,375,176,375,176,375,176,375,176,375,176,375,176,375,176,375,176,375,176,375,176,375,176,375.0,176.0,375.0,176.0,375.0,176.0,375.0,176.0,1.016260162601626,1.016260162601626
bf0af480-9276-47a2-bf66-8f02c13b9fb0,0,False,"[(199, 176)]",575,529,170,159,575,190,369,375,199,375,199,375,199,375,199,375,199,375,199,375,199,375,199,375,199,375,199,375,199,375.0,199.0,375.0,199.0,375.0,199.0,375.0,199.0,1.016260162601626,1.016260162601626
