eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
7d16cac8-92d8-49b4-bd35-e743fd3873e1,12,False,"[(151, 140)]",430,442,128,119,430,151,291,291,151,291,151,291,151,291,151,291,151,291,151,291,151,291,151,291,151,291,151,291,151,291.0,151.0,291.0,151.0,291.0,151.0,291.0,151.0,1.0,1.0
7d16cac8-92d8-49b4-bd35-e743fd3873e1,12,False,"[(140, 151)]",442,430,119,128,442,140,291,291,140,291,140,291,140,291,140,291,140,291,140,291,140,291,140,291,140,291,140,291,140,291.0,140.0,291.0,140.0,291.0,140.0,291.0,140.0,1.0,1.0
b55d3aa8-2e38-41c6-b3ba-34d8a5dbddd8,12,False,"[(238, 193), (193, 204)]",386,420,170,177,386,193,397,431,238,397,193,397,193,397,193,397,193,397,193,397,193,397,193,397,193,431,238,397,193,397.0,193.0,397.0,193.0,397.0,193.0,402.85040000000004,200.7432,1.0856423173803527,1.0
b55d3aa8-2e38-41c6-b3ba-34d8a5dbddd8,12,False,"[(193, 238), (204, 193)]",420,386,177,170,420,204,397,431,193,397,204,397,204,397,204,397,204,397,204,397,204,397,204,397,204,431,193,397,204,397.0,204.0,397.0,204.0,397.0,204.0,402.85040000000004,202.1072,1.0856423173803527,1.0
c35aa04f-49c9-46c5-9ee4-72974a3b4749,22,False,"[(107, 130), (112, 101), (115, 92)]",364,376,89,83,364,115,207,207,115,213,112,207,115,207,115,213,112,213,112,213,112,207,115,207,115,237,107,207,115,207.0,115.0,207.00009999999997,115.0,229.23520000000002,108.61760000000001,211.3071,112.84639999999999,1.144927536231884,1.0
c35aa04f-49c9-46c5-9ee4-72974a3b4749,22,False,"[(130, 107), (101, 112), (92, 115)]",376,364,83,89,376,92,207,207,92,213,101,207,92,207,92,213,101,213,101,213,101,207,92,207,92,237,130,207,92,207.0,92.0,207.00009999999997,92.00009999999997,229.23520000000002,120.61760000000001,211.3071,98.46069999999997,1.144927536231884,1.0
a51ede9a-582b-459c-9db1-6ddedf02ede9,0,False,"[(159, 136)]",344,298,150,122,344,159,295,295,159,295,159,295,159,295,159,295,159,295,159,295,159,295,159,295,159,295,159,295,159,295.0,159.0,295.0,159.0,295.0,159.0,295.0,159.0,1.0,1.0
a51ede9a-582b-459c-9db1-6ddedf02ede9,0,False,"[(136, 159)]",298,344,122,150,298,136,295,295,136,295,136,295,136,295,136,295,136,295,136,295,136,295,136,295,136,295,136,295,136,295.0,136.0,295.0,136.0,295.0,136.0,295.0,136.0,1.0,1.0
47c60686-18e9-4dfb-8e67-8ff631e65cf4,33,False,"[(214, 181), (213, 202), (196, 229), (200, 211)]",386,386,140,136,386,214,395,395,214,411,200,395,214,395,214,415,213,411,200,411,200,395,214,395,214,425,196,395,214,395.0,214.0,395.0,214.0,407.0,203.5,401.8892,207.972,1.0759493670886076,1.0
47c60686-18e9-4dfb-8e67-8ff631e65cf4,33,False,"[(181, 214), (202, 213), (229, 196), (211, 200)]",386,386,136,140,386,181,395,395,181,411,211,395,181,395,181,415,202,411,211,411,211,395,181,395,181,425,229,395,181,395.0,181.0,395.0,181.0,407.0,203.5,401.8892,193.9172,1.0759493670886076,1.0
e199691d-28e5-468f-81ab-d1f142efec91,11,False,"[(172, 161)]",596,562,154,147,596,172,333,333,172,333,172,333,172,333,172,333,172,333,172,333,172,333,172,333,172,333,172,333,172,333.0,172.0,333.0,172.0,333.0,172.0,333.0,172.0,1.0,1.0
e199691d-28e5-468f-81ab-d1f142efec91,11,False,"[(161, 172)]",562,596,147,154,562,161,333,333,161,333,161,333,161,333,161,333,161,333,161,333,161,333,161,333,161,333,161,333,161,333.0,161.0,333.0,161.0,333.0,161.0,333.0,161.0,1.0,1.0
c79e7e7f-6e38-444f-8026-12744640493f,11,False,"[(113, 102), (117, 94)]",354,320,96,80,354,108,205,211,117,215,113,211,117,211,117,215,113,211,117,215,113,211,117,211,117,215,113,211,117,211.0,117.0,211.0,117.0,211.0,117.0,212.27689999999996,115.72319999999999,1.048780487804878,1.0292682926829269
c79e7e7f-6e38-444f-8026-12744640493f,11,False,"[(102, 113), (94, 117)]",320,354,80,96,320,97,205,211,94,215,102,211,94,211,94,215,102,211,94,215,102,211,94,211,94,215,102,211,94,211.0,94.0,211.0,94.0,211.0,94.0,212.27689999999996,96.55369999999999,1.048780487804878,1.0292682926829269
72a7b3db-7703-40fe-b7f8-293e8456a4f9,22,False,"[(160, 171), (130, 175)]",376,398,119,148,376,133,299,305,130,331,160,305,130,305,130,331,160,305,130,331,160,305,130,305,130,331,160,305,130,305.0,130.0,305.0,130.0,322.5882,150.2941,308.2825,133.7875,1.1070234113712374,1.020066889632107
72a7b3db-7703-40fe-b7f8-293e8456a4f9,22,False,"[(171, 160), (175, 130)]",398,376,148,119,398,166,299,305,175,331,171,305,175,305,175,331,171,305,175,331,171,305,175,305,175,331,171,305,175,305.0,175.0,305.0,175.0,322.5882,172.2941,308.2825,174.495,1.1070234113712374,1.020066889632107
a12e3178-7868-42d0-beb3-1e9f9c76ccf9,1,False,"[(91, 80), (99, 76)]",354,342,70,67,354,90,169,175,99,171,91,171,91,171,91,171,91,171,91,171,91,171,91,171,91,175,99,171,91,171.0,91.0,171.0,91.0,171.33339999999998,91.66669999999999,172.32320000000004,93.6465,1.0355029585798816,1.0118343195266273
a12e3178-7868-42d0-beb3-1e9f9c76ccf9,1,False,"[(80, 91), (76, 99)]",342,354,67,70,342,79,169,175,76,171,80,171,80,171,80,171,80,171,80,171,80,171,80,171,80,175,76,171,80,171.0,80.0,171.0,80.0,171.33339999999998,79.66669999999999,172.32320000000004,78.67669999999998,1.0355029585798816,1.0118343195266273
bd0f6587-f31d-4bad-b1fd-21e82d8fea09,11,False,"[(176, 165)]",420,364,141,129,420,176,341,341,176,341,176,341,176,341,176,341,176,341,176,341,176,341,176,341,176,341,176,341,176,341.0,176.0,341.0,176.0,341.0,176.0,341.0,176.0,1.0,1.0
bd0f6587-f31d-4bad-b1fd-21e82d8fea09,11,False,"[(165, 176)]",364,420,129,141,364,165,341,341,165,341,165,341,165,341,165,341,165,341,165,341,165,341,165,341,165,341,165,341,165,341.0,165.0,341.0,165.0,341.0,165.0,341.0,165.0,1.0,1.0
a09bbdcb-cb98-4d26-8367-71b30191b59f,0,False,"[(136, 159)]",430,476,122,128,430,139,289,295,136,295,136,295,136,295,136,295,136,295,136,295,136,295,136,295,136,295,136,295,136,295.0,136.0,295.0,136.0,295.0,136.0,295.0,136.0,1.0207612456747406,1.0207612456747406
