eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
3f73f8a2-3037-41dc-a95a-853fe1bc8664,22,False,"[(99, 88)]",310,310,67,76,310,99,187,187,99,187,99,187,99,187,99,187,99,187,99,187,99,187,99,187,99,187,99,187,99,187.0,99.0,187.0,99.0,187.0,99.0,187.0,99.0,1.0,1.0
3f73f8a2-3037-41dc-a95a-853fe1bc8664,22,False,"[(88, 99)]",310,310,76,67,310,88,187,187,88,187,88,187,88,187,88,187,88,187,88,187,88,187,88,187,88,187,88,187,88,187.0,88.0,187.0,88.0,187.0,88.0,187.0,88.0,1.0,1.0
6bb7a5ee-049c-4394-833b-ef1c71dd0817,0,False,"[(102, 79)]",300,254,79,65,300,93,175,181,102,181,102,181,102,181,102,181,102,181,102,181,102,181,102,181,102,181,102,181,102,181.0,102.0,181.0,102.0,181.0,102.0,181.0,102.0,1.0342857142857143,1.0342857142857143
6bb7a5ee-049c-4394-833b-ef1c71dd0817,0,False,"[(79, 102)]",254,300,65,79,254,82,175,181,79,181,79,181,79,181,79,181,79,181,79,181,79,181,79,181,79,181,79,181,79,181.0,79.0,181.0,79.0,181.0,79.0,181.0,79.0,1.0342857142857143,1.0342857142857143
3fdf9291-a65b-470b-8ea0-582a32c7132c,0,False,"[(121, 98), (113, 102), (104, 115)]",300,254,94,87,300,112,213,219,121,215,113,215,113,215,113,215,113,219,121,215,113,215,113,215,113,219,104,215,113,215.0,113.0,215.62760000000003,111.5881,215.0,113.0,219.0,121.0,1.028169014084507,1.0093896713615023
3fdf9291-a65b-470b-8ea0-582a32c7132c,0,False,"[(98, 121), (102, 113), (115, 104)]",254,300,87,94,254,101,213,219,98,215,102,215,102,215,102,215,102,219,98,215,102,215,102,215,102,219,115,215,102,215.0,102.0,215.62760000000003,104.0395,215.0,102.0,219.0,98.0,1.028169014084507,1.0093896713615023
9e74df53-7d3c-4bb8-a703-04f32a5f91a2,22,False,"[(118, 141)]",420,420,109,112,420,121,253,259,118,259,118,259,118,259,118,259,118,259,118,259,118,259,118,259,118,259,118,259,118,259.0,118.0,259.0,118.0,259.0,118.0,259.0,118.0,1.023715415019763,1.023715415019763
9e74df53-7d3c-4bb8-a703-04f32a5f91a2,22,False,"[(141, 118)]",420,420,112,109,420,132,253,259,141,259,141,259,141,259,141,259,141,259,141,259,141,259,141,259,141,259,141,259,141,259.0,141.0,259.0,141.0,259.0,141.0,259.0,141.0,1.023715415019763,1.023715415019763
8c22ce39-f7cf-4f78-a236-311a57c9d630,0,False,"[(102, 79)]",310,276,67,68,310,93,175,181,102,181,102,181,102,181,102,181,102,181,102,181,102,181,102,181,102,181,102,181,102,181.0,102.0,181.0,102.0,181.0,102.0,181.0,102.0,1.0342857142857143,1.0342857142857143
8c22ce39-f7cf-4f78-a236-311a57c9d630,0,False,"[(79, 102)]",276,310,68,67,276,82,175,181,79,181,79,181,79,181,79,181,79,181,79,181,79,181,79,181,79,181,79,181,79,181.0,79.0,181.0,79.0,181.0,79.0,181.0,79.0,1.0342857142857143,1.0342857142857143
f063c058-f612-4537-936e-bee83e1955b3,0,False,"[(155, 178)]",474,520,141,160,474,155,333,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333.0,155.0,333.0,155.0,333.0,155.0,333.0,155.0,1.0,1.0
f063c058-f612-4537-936e-bee83e1955b3,0,False,"[(178, 155)]",520,474,160,141,520,178,333,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333.0,178.0,333.0,178.0,333.0,178.0,333.0,178.0,1.0,1.0
