eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
b7628bc3-60d6-4242-adc2-f88562b331be,0,False,"[(88, 77)]",321,287,65,74,321,88,165,165,88,165,88,165,88,165,88,165,88,165,88,165,88,165,88,165,88,165,88,165,88,165.0,88.0,165.0,88.0,165.0,88.0,165.0,88.0,1.0,1.0
b7628bc3-60d6-4242-adc2-f88562b331be,0,False,"[(77, 88)]",287,321,74,65,287,77,165,165,77,165,77,165,77,165,77,165,77,165,77,165,77,165,77,165,77,165,77,165,77,165.0,77.0,165.0,77.0,165.0,77.0,165.0,77.0,1.0,1.0
8ee0c1af-51ea-46d4-aee8-d8ef8b60d0bb,11,False,"[(140, 185)]",441,463,129,149,441,143,319,325,140,325,140,325,140,325,140,325,140,325,140,325,140,325,140,325,140,325,140,325,140,325.0,140.0,325.0,140.0,325.0,140.0,325.0,140.0,1.0188087774294672,1.0188087774294672
8ee0c1af-51ea-46d4-aee8-d8ef8b60d0bb,11,False,"[(185, 140)]",463,441,149,129,463,176,319,325,185,325,185,325,185,325,185,325,185,325,185,325,185,325,185,325,185,325,185,325,185,325.0,185.0,325.0,185.0,325.0,185.0,325.0,185.0,1.0188087774294672,1.0188087774294672
23ac5b2c-1e39-48b4-a13e-632a29a85fca,11,False,"[(91, 80), (94, 71)]",321,287,67,57,321,85,159,165,94,171,91,165,94,165,94,171,91,165,94,171,91,165,94,165,94,171,91,165,94,165.0,94.0,165.0,94.0,165.0,94.0,166.4305,93.28479999999999,1.0754716981132075,1.0377358490566038
23ac5b2c-1e39-48b4-a13e-632a29a85fca,11,False,"[(80, 91), (71, 94)]",287,321,57,67,287,74,159,165,71,171,80,165,71,165,71,171,80,165,71,171,80,165,71,165,71,171,80,165,71,165.0,71.0,165.0,71.0,165.0,71.0,166.4305,73.1457,1.0754716981132075,1.0377358490566038
e6da694d-b680-486b-9f75-3fb3179a3b1a,22,False,"[(136, 159)]",353,331,122,117,353,139,289,295,136,295,136,295,136,295,136,295,136,295,136,295,136,295,136,295,136,295,136,295,136,295.0,136.0,295.0,136.0,295.0,136.0,295.0,136.0,1.0207612456747406,1.0207612456747406
e6da694d-b680-486b-9f75-3fb3179a3b1a,22,False,"[(159, 136)]",331,353,117,122,331,150,289,295,159,295,159,295,159,295,159,295,159,295,159,295,159,295,159,295,159,295,159,295,159,295.0,159.0,295.0,159.0,295.0,159.0,295.0,159.0,1.0207612456747406,1.0207612456747406
861a559d-350f-491f-8b62-0159ebeb1d1e,0,False,"[(110, 87), (103, 92), (93, 116)]",311,265,82,66,311,101,191,197,110,195,103,195,103,195,103,195,103,197,110,195,103,195,103,195,103,209,93,195,103,197.0,110.0,195.0,103.0,195.0,103.0,196.3777,102.01599999999999,1.094240837696335,1.0209424083769634
861a559d-350f-491f-8b62-0159ebeb1d1e,0,False,"[(87, 110), (92, 103), (116, 93)]",265,311,66,82,265,90,191,197,87,195,92,195,92,195,92,195,92,197,87,195,92,195,92,195,92,209,116,195,92,197.0,87.0,195.0,92.0,195.0,92.0,196.3777,94.36170000000001,1.094240837696335,1.0209424083769634
97f107d0-e0dd-4fc9-9a6f-73871a143450,1,False,"[(90, 79)]",321,309,76,65,321,90,169,169,90,169,90,169,90,169,90,169,90,169,90,169,90,169,90,169,90,169,90,169,90,169.0,90.0,169.0,90.0,169.0,90.0,169.0,90.0,1.0,1.0
