eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,PoA,PoS
d4748c98-1be1-415c-8b17-277019519d9c,22,False,"[(110, 87)]",222,222,69,78,222,101,191,197,110,197,110,197,110,197,110,197,110,197,110,197,110,197,110,197,110,197,110,197,110,197.0,110.0,197.0,110.0,197.0,110.0,197.0,110.0,1.031413612565445,1.031413612565445
d4748c98-1be1-415c-8b17-277019519d9c,22,False,"[(87, 110)]",222,222,78,69,222,90,191,197,87,197,87,197,87,197,87,197,87,197,87,197,87,197,87,197,87,197,87,197,87,197.0,87.0,197.0,87.0,197.0,87.0,197.0,87.0,1.031413612565445,1.031413612565445
7dba8e6f-00a6-4278-85fa-fafd1c1afc2a,12,False,"[(110, 87), (107, 96)]",210,232,59,51,210,101,191,197,110,203,107,197,110,197,110,203,107,203,107,203,107,197,110,197,110,203,107,197,110,198.9163,109.0419,197.0,110.0,197.0,110.0,203.0,107.0,1.0628272251308901,1.031413612565445
7dba8e6f-00a6-4278-85fa-fafd1c1afc2a,12,False,"[(87, 110), (96, 107)]",232,210,51,59,232,90,191,197,87,203,96,197,87,197,87,203,96,203,96,203,96,197,87,197,87,203,96,197,87,198.9163,89.87440000000001,197.0,87.0,197.0,87.0,203.0,96.0,1.0628272251308901,1.031413612565445
cc39a777-b1f7-46d1-bf8d-6ad7711c18ad,11,False,"[(60, 49)]",200,166,42,35,200,60,109,109,60,109,60,109,60,109,60,109,60,109,60,109,60,109,60,109,60,109,60,109,60,109.0,60.0,109.0,60.0,109.0,60.0,109.0,60.0,1.0,1.0
cc39a777-b1f7-46d1-bf8d-6ad7711c18ad,11,False,"[(49, 60)]",166,200,35,42,166,49,109,109,49,109,49,109,49,109,49,109,49,109,49,109,49,109,49,109,49,109,49,109,49,109.0,49.0,109.0,49.0,109.0,49.0,109.0,49.0,1.0,1.0
bb941f6a-5646-47f4-800e-b50a0403cbb2,0,False,"[(63, 52), (67, 44), (58, 81)]",190,144,38,31,190,58,105,111,67,115,63,111,67,111,67,115,63,111,67,111,67,111,67,111,67,139,58,111,67,113.4726,64.5275,111.0,67.0,111.0,67.0,111.0,67.0,1.3238095238095238,1.0571428571428572
bb941f6a-5646-47f4-800e-b50a0403cbb2,0,False,"[(52, 63), (44, 67), (81, 58)]",144,190,31,38,144,47,105,111,44,115,52,111,44,111,44,115,52,111,44,111,44,111,44,111,44,139,81,111,44,113.4726,48.9451,111.0,44.0,111.0,44.0,111.0,44.0,1.3238095238095238,1.0571428571428572
8554f883-35c3-410f-9698-5c00d5454425,23,True,"[(83, 72)]",210,166,66,61,210,83,155,155,83,155,83,155,83,155,83,155,83,155,83,155,83,155,83,155,83,155,83,155,83,155.0,83.0,155.0,83.0,155.0,83.0,155.0,83.0,1.0,1.0
8554f883-35c3-410f-9698-5c00d5454425,23,True,"[(72, 83)]",166,210,61,66,166,72,155,155,72,155,72,155,72,155,72,155,72,155,72,155,72,155,72,155,72,155,72,155,72,155.0,72.0,155.0,72.0,155.0,72.0,155.0,72.0,1.0,1.0
