eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,PoA,PoS
4c3d0c26-3aba-4486-be16-23060437be37,11,False,"[(95, 72), (83, 94)]",243,221,65,58,243,86,161,167,95,177,83,167,95,167,95,177,83,167,95,167,95,167,95,167,95,177,83,167,95,167.2942,94.6471,167.0,95.0,170.36849999999998,90.95779999999999,167.0,95.0,1.0993788819875776,1.0372670807453417
4c3d0c26-3aba-4486-be16-23060437be37,11,False,"[(72, 95), (94, 83)]",221,243,58,65,221,75,161,167,72,177,94,167,72,167,72,177,94,167,72,167,72,167,72,167,72,177,94,167,72,167.2942,72.6471,167.0,72.0,170.36849999999998,79.41069999999999,167.0,72.0,1.0993788819875776,1.0372670807453417
fb4ff198-4c9f-402f-9888-5718e9cc4ae5,22,False,"[(137, 148), (154, 143), (165, 120)]",299,243,105,106,299,156,279,285,165,285,137,285,137,285,137,285,137,285,165,285,165,285,165,285,165,297,154,285,137,285.0,165.0,285.0,137.0,285.0,152.9158,285.0,165.0,1.064516129032258,1.021505376344086
fb4ff198-4c9f-402f-9888-5718e9cc4ae5,22,False,"[(148, 137), (143, 154), (120, 165)]",243,299,106,105,243,123,279,285,120,285,148,285,148,285,148,285,148,285,120,285,120,285,120,285,120,297,143,285,148,285.0,120.0,285.0,148.0,285.0,132.0842,285.0,120.0,1.064516129032258,1.021505376344086
04eaecba-1e0c-42f6-bf50-823015585927,22,False,"[(76, 65)]",243,255,62,53,243,76,141,141,76,141,76,141,76,141,76,141,76,141,76,141,76,141,76,141,76,141,76,141,76,141.0,76.0,141.0,76.0,141.0,76.0,141.0,76.0,1.0,1.0
04eaecba-1e0c-42f6-bf50-823015585927,22,False,"[(65, 76)]",255,243,53,62,255,65,141,141,65,141,65,141,65,141,65,141,65,141,65,141,65,141,65,141,65,141,65,141,65,141.0,65.0,141.0,65.0,141.0,65.0,141.0,65.0,1.0,1.0
b425886c-b78c-44d3-923a-d1afc839dc75,0,False,"[(82, 71), (65, 88)]",243,277,54,62,243,65,153,153,65,153,82,153,82,153,82,153,82,153,65,153,65,153,65,153,65,153,82,153,82,153.0,65.0,153.0,65.0,153.0,72.8802,153.0,65.0154,1.0,1.0
b425886c-b78c-44d3-923a-d1afc839dc75,0,False,"[(71, 82), (88, 65)]",277,243,62,54,277,88,153,153,88,153,71,153,71,153,71,153,71,153,88,153,88,153,88,153,88,153,71,153,71,153.0,88.0,153.0,88.0,153.0,80.1198,153.0,87.9846,1.0,1.0
2dd50985-124c-4ca5-b99e-0950413cb28f,22,False,"[(101, 90)]",321,287,83,79,321,101,191,191,101,191,101,191,101,191,101,191,101,191,101,191,101,191,101,191,101,191,101,191,101,191.0,101.0,191.0,101.0,191.0,101.0,191.0,101.0,1.0,1.0
2dd50985-124c-4ca5-b99e-0950413cb28f,22,False,"[(90, 101)]",287,321,79,83,287,90,191,191,90,191,90,191,90,191,90,191,90,191,90,191,90,191,90,191,90,191,90,191,90,191.0,90.0,191.0,90.0,191.0,90.0,191.0,90.0,1.0,1.0
3a536834-dd77-4165-82b6-0e855cc880d8,11,False,"[(107, 174), (116, 171), (194, 161)]",265,309,98,124,265,110,275,281,107,287,116,281,107,281,107,355,194,287,116,287,116,281,107,281,107,355,194,281,107,295.5,125.75,281.0,107.0,288.2849,117.47389999999999,281.0,107.0,1.290909090909091,1.0218181818181817
3a536834-dd77-4165-82b6-0e855cc880d8,11,False,"[(174, 107), (171, 116), (161, 194)]",309,265,124,98,309,165,275,281,174,287,171,281,174,281,174,355,161,287,171,287,171,281,174,281,174,355,161,281,174,295.5,169.75,281.0,174.0,288.2849,170.811,281.0,174.0,1.290909090909091,1.0218181818181817
1b6baefd-c5e6-41a3-aadd-7ca01165adf9,0,False,"[(218, 195), (204, 215)]",607,573,191,181,607,209,407,413,218,419,204,413,218,413,218,419,204,413,218,413,218,413,218,413,218,419,204,413,218,413.0,218.0,413.0,218.0,415.3780999999999,212.45119999999997,413.0,218.0,1.0294840294840295,1.0147420147420148
1b6baefd-c5e6-41a3-aadd-7ca01165adf9,0,False,"[(195, 218), (215, 204)]",573,607,181,191,573,198,407,413,195,419,215,413,195,413,195,419,215,413,195,413,195,413,195,413,195,419,215,413,195,413.0,195.0,413.0,195.0,415.3780999999999,202.9269,413.0,195.0,1.0294840294840295,1.0147420147420148
aed020c7-bf6b-4333-af23-4397b1701043,0,False,"[(96, 119)]",243,277,76,92,243,99,209,215,96,215,96,215,96,215,96,215,96,215,96,215,96,215,96,215,96,215,96,215,96,215.0,96.0,215.0,96.0,215.0,96.0,215.0,96.0,1.0287081339712918,1.0287081339712918
