eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,PoA,PoS
7bafda32-9ae1-46ad-a924-1afd61c6201c,22,False,"[(184, 151), (165, 176)]",309,299,155,137,309,184,335,335,184,341,165,335,184,335,184,341,165,335,184,341,165,335,184,335,184,341,165,335,184,337.6313,175.6675,338.1364,174.0682,335.0053,183.9832,335.0,184.0,1.017910447761194,1.0
7bafda32-9ae1-46ad-a924-1afd61c6201c,22,False,"[(151, 184), (176, 165)]",299,309,137,155,299,151,335,335,151,341,176,335,151,335,151,341,176,335,151,341,176,335,151,335,151,341,176,335,151,337.6313,161.9638,338.1364,164.0682,335.0053,151.0221,335.0,151.0,1.017910447761194,1.0
1c21bca3-14ea-4561-a1a9-bf18ae7cfe51,22,False,"[(116, 149), (103, 158), (127, 138), (145, 134), (166, 111)]",309,387,89,98,309,103,261,261,103,265,127,261,103,261,103,265,127,261,103,265,116,261,103,261,103,277,166,261,103,264.6046,124.6277,261.0,103.0,261.0,103.0,261.0,103.0,1.0689655172413792,1.0
1c21bca3-14ea-4561-a1a9-bf18ae7cfe51,22,False,"[(149, 116), (158, 103), (138, 127), (134, 145), (111, 166)]",387,309,98,89,387,158,261,261,158,265,138,261,158,261,158,265,138,261,158,265,149,261,158,261,158,277,111,261,158,264.6046,139.9769,261.0,158.0,261.0,158.0,261.0,158.0,1.0689655172413792,1.0
ae396b6f-2316-4b36-9f09-064c01581e0a,0,False,"[(133, 110)]",377,331,111,96,377,124,237,243,133,243,133,243,133,243,133,243,133,243,133,243,133,243,133,243,133,243,133,243,133,243.0,133.0,243.0,133.0,243.0,133.0,243.0,133.0,1.0253164556962024,1.0253164556962024
ae396b6f-2316-4b36-9f09-064c01581e0a,0,False,"[(110, 133)]",331,377,96,111,331,113,237,243,110,243,110,243,110,243,110,243,110,243,110,243,110,243,110,243,110,243,110,243,110,243.0,110.0,243.0,110.0,243.0,110.0,243.0,110.0,1.0253164556962024,1.0253164556962024
a6fb8491-0009-48cf-a353-790dac9ea58d,0,False,"[(132, 109)]",355,309,105,95,355,123,235,241,132,241,132,241,132,241,132,241,132,241,132,241,132,241,132,241,132,241,132,241,132,241.0,132.0,241.0,132.0,241.0,132.0,241.0,132.0,1.025531914893617,1.025531914893617
a6fb8491-0009-48cf-a353-790dac9ea58d,0,False,"[(109, 132)]",309,355,95,105,309,112,235,241,109,241,109,241,109,241,109,241,109,241,109,241,109,241,109,241,109,241,109,241,109,241.0,109.0,241.0,109.0,241.0,109.0,241.0,109.0,1.025531914893617,1.025531914893617
5f304617-de41-4eb7-90a2-7e157db1a16d,1,False,"[(144, 121)]",353,387,112,112,353,135,259,265,144,265,144,265,144,265,144,265,144,265,144,265,144,265,144,265,144,265,144,265,144,265.0,144.0,265.0,144.0,265.0,144.0,265.0,144.0,1.0231660231660231,1.0231660231660231
5f304617-de41-4eb7-90a2-7e157db1a16d,1,False,"[(121, 144)]",387,353,112,112,387,124,259,265,121,265,121,265,121,265,121,265,121,265,121,265,121,265,121,265,121,265,121,265,121,265.0,121.0,265.0,121.0,265.0,121.0,265.0,121.0,1.0231660231660231,1.0231660231660231
53e4cb21-51ce-4cae-8ac6-f9c9ed21f4b0,1,False,"[(155, 166), (162, 151)]",331,375,117,121,331,156,301,313,162,313,162,313,162,313,162,321,155,321,155,321,155,313,162,313,162,321,155,313,162,315.981,159.3916,321.0,155.0,313.0,162.0,313.0,162.0,1.0664451827242525,1.0398671096345515
53e4cb21-51ce-4cae-8ac6-f9c9ed21f4b0,1,False,"[(166, 155), (151, 162)]",375,331,121,117,375,145,301,313,151,313,151,313,151,313,151,321,166,321,166,321,166,313,151,313,151,321,166,313,151,315.981,156.5894,321.0,166.0,313.0,151.0,313.0,151.0,1.0664451827242525,1.0398671096345515
259403fa-35e5-4207-b993-746f0e47b8ac,1,False,"[(119, 96), (103, 126)]",299,287,83,87,299,110,209,215,119,215,119,215,119,215,119,215,119,215,119,215,119,215,119,215,119,229,103,215,119,219.7878,113.5282,218.3478,115.1739,215.0,119.0,215.0,119.0,1.0956937799043063,1.0287081339712918
259403fa-35e5-4207-b993-746f0e47b8ac,1,False,"[(96, 119), (126, 103)]",287,299,87,83,287,99,209,215,96,215,96,215,96,215,96,215,96,215,96,215,96,215,96,215,96,229,126,215,96,219.7878,106.2596,218.3478,103.1739,215.0,96.0,215.0,96.0,1.0956937799043063,1.0287081339712918
6c52ede3-85c1-406b-ad30-b909d85740ae,22,True,"[(141, 96)]",397,353,116,90,397,141,237,237,141,237,141,237,141,237,141,237,141,237,141,237,141,237,141,237,141,237,141,237,141,237.0,141.0,237.0,141.0,237.0,141.0,237.0,141.0,1.0,1.0
6c52ede3-85c1-406b-ad30-b909d85740ae,22,True,"[(96, 141)]",353,397,90,116,353,96,237,237,96,237,96,237,96,237,96,237,96,237,96,237,96,237,96,237,96,237,96,237,96,237.0,96.0,237.0,96.0,237.0,96.0,237.0,96.0,1.0,1.0
cc05a2ed-afb2-4743-bbfb-d98cda22d967,44,False,"[(262, 901)]",739,1333,244,449,739,265,1157,1163,262,1163,262,1163,262,1163,262,1163,262,1163,262,1163,262,1163,262,1163,262,1163,262,1163,262,1163.0,262.0,1163.0,262.0,1163.0,262.0,1163.0,262.0,1.0051858254105446,1.0051858254105446
cc05a2ed-afb2-4743-bbfb-d98cda22d967,44,False,"[(901, 262)]",1333,739,449,244,1333,892,1157,1163,901,1163,901,1163,901,1163,901,1163,901,1163,901,1163,901,1163,901,1163,901,1163,901,1163,901,1163.0,901.0,1163.0,901.0,1163.0,901.0,1163.0,901.0,1.0051858254105446,1.0051858254105446
0a7cb712-c3eb-476b-a7de-34f3d5eaab6b,0,False,"[(427, 404)]",1301,1255,398,387,1301,418,825,831,427,831,427,831,427,831,427,831,427,831,427,831,427,831,427,831,427,831,427,831,427,831.0,427.0,831.0,427.0,831.0,427.0,831.0,427.0,1.0072727272727273,1.0072727272727273
0a7cb712-c3eb-476b-a7de-34f3d5eaab6b,0,False,"[(404, 427)]",1255,1301,387,398,1255,407,825,831,404,831,404,831,404,831,404,831,404,831,404,831,404,831,404,831,404,831,404,831,404,831.0,404.0,831.0,404.0,831.0,404.0,831.0,404.0,1.0072727272727273,1.0072727272727273
