eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
1702b5b4-3e01-425d-98fb-ca109c85cecd,3,True,"[(74, 52)]",74,52,53,36,74,56,109,126,74,126,74,126,74,126,74,126,74,126,74,126,74,126,74,126,74,126,74,126,74,126.0,74.0,126.0,74.0,126.0,74.0,126.0,74.0,1.1559633027522935,1.1559633027522935
1702b5b4-3e01-425d-98fb-ca109c85cecd,3,True,"[(52, 74)]",52,74,36,53,52,53,109,126,52,126,52,126,52,126,52,126,52,126,52,126,52,126,52,126,52,126,52,126,52,126.0,52.0,126.0,52.0,126.0,52.0,126.0,52.0,1.1559633027522935,1.1559633027522935
ebdd1a48-909f-452d-9f8f-3f4f1c28bf06,1,False,"[(57, 50), (54, 51), (49, 52)]",58,68,46,50,58,49,101,101,49,101,49,101,49,101,49,105,54,101,49,101,49,101,49,101,49,107,57,101,49,101.0,49.0,101.0,49.0,101.66669999999999,49.8889,101.0,49.0,1.0594059405940595,1.0
ebdd1a48-909f-452d-9f8f-3f4f1c28bf06,1,False,"[(50, 57), (51, 54), (52, 49)]",68,58,50,46,68,52,101,101,52,101,52,101,52,101,52,105,51,101,52,101,52,101,52,101,52,107,50,101,52,101.0,52.0,101.0,52.0,101.66669999999999,51.7778,101.0,52.0,1.0594059405940595,1.0
2a2f2577-b9b5-4b96-8c01-ffb7c8422d56,7,False,"[(63, 56)]",68,74,51,54,68,63,119,119,63,119,63,119,63,119,63,119,63,119,63,119,63,119,63,119,63,119,63,119,63,119.0,63.0,119.0,63.0,119.0,63.0,119.0,63.0,1.0,1.0
2a2f2577-b9b5-4b96-8c01-ffb7c8422d56,7,False,"[(56, 63)]",74,68,54,51,74,56,119,119,56,119,56,119,56,119,56,119,56,119,56,119,56,119,56,119,56,119,56,119,56,119.0,56.0,119.0,56.0,119.0,56.0,119.0,56.0,1.0,1.0
43ae0129-b6c1-4e22-84e7-34f2428e66d9,0,False,"[(45, 38)]",60,40,42,27,60,45,83,83,45,83,45,83,45,83,45,83,45,83,45,83,45,83,45,83,45,83,45,83,45,83.0,45.0,83.0,45.0,83.0,45.0,83.0,45.0,1.0,1.0
43ae0129-b6c1-4e22-84e7-34f2428e66d9,0,False,"[(38, 45)]",40,60,27,42,40,38,83,83,38,83,38,83,38,83,38,83,38,83,38,83,38,83,38,83,38,83,38,83,38,83.0,38.0,83.0,38.0,83.0,38.0,83.0,38.0,1.0,1.0
e5204bce-1495-4d17-9b00-8469167c98df,0,False,"[(57, 50)]",74,64,55,45,74,57,107,107,57,107,57,107,57,107,57,107,57,107,57,107,57,107,57,107,57,107,57,107,57,107.0,57.0,107.0,57.0,107.0,57.0,107.0,57.0,1.0,1.0
e5204bce-1495-4d17-9b00-8469167c98df,0,False,"[(50, 57)]",64,74,45,55,64,50,107,107,50,107,50,107,50,107,50,107,50,107,50,107,50,107,50,107,50,107,50,107,50,107.0,50.0,107.0,50.0,107.0,50.0,107.0,50.0,1.0,1.0
