eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,PoA,PoS
42034aa7-2af3-422c-b098-119f03a04921,1,False,"[(87, 94), (107, 92)]",134,184,54,84,134,87,181,181,87,181,87,181,87,181,87,181,87,181,87,181,87,181,87,181,87,199,107,181,87,181.0,87.0,181.0,87.0,181.8749,87.9721,181.0,87.0,1.0994475138121547,1.0
42034aa7-2af3-422c-b098-119f03a04921,1,False,"[(94, 87), (92, 107)]",184,134,84,54,184,94,181,181,94,181,94,181,94,181,94,181,94,181,94,181,94,181,94,181,94,199,92,181,94,181.0,94.0,181.0,94.0,181.8749,93.9028,181.0,94.0,1.0994475138121547,1.0
4e4006b3-dd08-42d4-8a7f-10f0c9e8d716,14,True,"[(234, 339), (244, 335)]",268,344,106,152,268,234,573,573,234,579,244,573,234,573,234,579,244,579,244,579,244,573,234,579,244,573,234,573,234,579.0,244.0,573.0,234.0,576.6106,240.0177,578.9996,243.9994,1.0104712041884816,1.0
4e4006b3-dd08-42d4-8a7f-10f0c9e8d716,14,True,"[(339, 234), (335, 244)]",344,268,152,106,344,339,573,573,339,579,335,573,339,573,339,579,335,579,335,579,335,573,339,579,335,573,339,573,339,579.0,335.0,573.0,339.0,576.6106,336.5929,578.9996,335.0002,1.0104712041884816,1.0
20786410-973f-4e44-ac71-29beeacde9ff,1,False,"[(58, 73)]",134,142,53,56,134,61,129,131,58,131,58,131,58,131,58,131,58,131,58,131,58,131,58,131,58,131,58,131,58,131.0,58.0,131.0,58.0,131.0,58.0,131.0,58.0,1.0155038759689923,1.0155038759689923
20786410-973f-4e44-ac71-29beeacde9ff,1,False,"[(73, 58)]",142,134,56,53,142,68,129,131,73,131,73,131,73,131,73,131,73,131,73,131,73,131,73,131,73,131,73,131,73,131.0,73.0,131.0,73.0,131.0,73.0,131.0,73.0,1.0155038759689923,1.0155038759689923
039d6e8a-b865-404d-b42e-3451be8846f8,0,False,"[(63, 70)]",134,164,53,60,134,63,133,133,63,133,63,133,63,133,63,133,63,133,63,133,63,133,63,133,63,133,63,133,63,133.0,63.0,133.0,63.0,133.0,63.0,133.0,63.0,1.0,1.0
039d6e8a-b865-404d-b42e-3451be8846f8,0,False,"[(70, 63)]",164,134,60,53,164,70,133,133,70,133,70,133,70,133,70,133,70,133,70,133,70,133,70,133,70,133,70,133,70,133.0,70.0,133.0,70.0,133.0,70.0,133.0,70.0,1.0,1.0
83c3dc4a-064d-43db-a424-9bdd792c1093,22,False,"[(133, 112)]",162,212,82,87,162,133,245,245,133,245,133,245,133,245,133,245,133,245,133,245,133,245,133,245,133,245,133,245,133,245.0,133.0,245.0,133.0,245.0,133.0,245.0,133.0,1.0,1.0
83c3dc4a-064d-43db-a424-9bdd792c1093,22,False,"[(112, 133)]",212,162,87,82,212,112,245,245,112,245,112,245,112,245,112,245,112,245,112,245,112,245,112,245,112,245,112,245,112,245.0,112.0,245.0,112.0,245.0,112.0,245.0,112.0,1.0,1.0
