eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,PoA,PoS
754b8ea2-d5d9-48f9-8eea-6daca55068dd,18,False,"[(115, 188), (146, 173)]",316,362,103,138,316,118,299,303,115,319,146,303,115,303,115,319,146,303,115,319,146,303,115,303,115,319,146,303,115,308.4362,125.5325,312.3914,133.1957,303.0,115.0,303.0,115.0,1.0668896321070234,1.0133779264214047
754b8ea2-d5d9-48f9-8eea-6daca55068dd,18,False,"[(188, 115), (173, 146)]",362,316,138,103,362,181,299,303,188,319,173,303,188,303,188,319,173,303,188,319,173,303,188,303,188,319,173,303,188,308.4362,182.9037,312.3914,179.1957,303.0,188.0,303.0,188.0,1.0668896321070234,1.0133779264214047
534f591d-06a7-4122-9d0c-6a10edc6be7d,9,False,"[(79, 88), (90, 71)]",172,190,64,64,172,83,157,161,90,167,79,161,90,161,90,167,79,167,79,167,79,161,90,161,90,167,79,161,90,163.7176,85.0176,167.0,79.0,161.0,90.0,161.00740000000002,89.9864,1.0636942675159236,1.0254777070063694
534f591d-06a7-4122-9d0c-6a10edc6be7d,9,False,"[(88, 79), (71, 90)]",190,172,64,64,190,74,157,161,71,167,88,161,71,161,71,167,88,167,88,167,88,161,71,161,71,167,88,161,71,163.7176,78.7,167.0,88.0,161.0,71.0,161.00740000000002,71.021,1.0636942675159236,1.0254777070063694
e7d4e870-941e-4b31-906d-1e3b4fa4efa1,18,False,"[(590, 617)]",928,974,372,397,928,590,1207,1207,590,1207,590,1207,590,1207,590,1207,590,1207,590,1207,590,1207,590,1207,590,1207,590,1207,590,1207.0,590.0,1207.0,590.0,1207.0,590.0,1207.0,590.0,1.0,1.0
e7d4e870-941e-4b31-906d-1e3b4fa4efa1,18,False,"[(617, 590)]",974,928,397,372,974,617,1207,1207,617,1207,617,1207,617,1207,617,1207,617,1207,617,1207,617,1207,617,1207,617,1207,617,1207,617,1207.0,617.0,1207.0,617.0,1207.0,617.0,1207.0,617.0,1.0,1.0
e621c53a-2f69-4ea5-bd6f-ad89252ec43a,18,False,"[(45, 64), (67, 58)]",164,164,38,45,164,45,109,109,45,109,45,109,45,109,45,125,67,109,45,109,45,109,45,109,45,125,67,109,45,112.75049999999999,50.15689999999999,119.8572,59.9286,109.0,45.0,109.0,45.0,1.146788990825688,1.0
e621c53a-2f69-4ea5-bd6f-ad89252ec43a,18,False,"[(64, 45), (58, 67)]",164,164,45,38,164,64,109,109,64,109,64,109,64,109,64,125,58,109,64,109,64,109,64,109,64,125,58,109,64,112.75049999999999,62.593599999999995,119.8572,59.9286,109.0,64.0,109.0,64.0,1.146788990825688,1.0
790912eb-3460-453b-a4f2-df98867c2e4a,18,False,"[(60, 51)]",164,164,50,39,164,60,111,111,60,111,60,111,60,111,60,111,60,111,60,111,60,111,60,111,60,111,60,111,60,111.0,60.0,111.0,60.0,111.0,60.0,111.0,60.0,1.0,1.0
790912eb-3460-453b-a4f2-df98867c2e4a,18,False,"[(51, 60)]",164,164,39,50,164,51,111,111,51,111,51,111,51,111,51,111,51,111,51,111,51,111,51,111,51,111,51,111,51,111.0,51.0,111.0,51.0,111.0,51.0,111.0,51.0,1.0,1.0
ddee51eb-61dd-46f2-a722-5379069ec403,1,False,"[(61, 42)]",164,154,45,35,164,61,103,103,61,103,61,103,61,103,61,103,61,103,61,103,61,103,61,103,61,103,61,103,61,103.0,61.0,103.0,61.0,103.0,61.0,103.0,61.0,1.0,1.0
ddee51eb-61dd-46f2-a722-5379069ec403,1,False,"[(42, 61)]",154,164,35,45,154,42,103,103,42,103,42,103,42,103,42,103,42,103,42,103,42,103,42,103,42,103,42,103,42,103.0,42.0,103.0,42.0,103.0,42.0,103.0,42.0,1.0,1.0
9177fb04-5899-477d-b1d2-c669c6540dbf,1,False,"[(83, 64)]",200,190,67,60,200,83,147,147,83,147,83,147,83,147,83,147,83,147,83,147,83,147,83,147,83,147,83,147,83,147.0,83.0,147.0,83.0,147.0,83.0,147.0,83.0,1.0,1.0
9177fb04-5899-477d-b1d2-c669c6540dbf,1,False,"[(64, 83)]",190,200,60,67,190,64,147,147,64,147,64,147,64,147,64,147,64,147,64,147,64,147,64,147,64,147,64,147,64,147.0,64.0,147.0,64.0,147.0,64.0,147.0,64.0,1.0,1.0
03818578-adbe-46fb-ac5c-2e7d4c89cc7b,9,False,"[(99, 72)]",190,154,69,57,190,99,171,171,99,171,99,171,99,171,99,171,99,171,99,171,99,171,99,171,99,171,99,171,99,171.0,99.0,171.0,99.0,171.0,99.0,171.0,99.0,1.0,1.0
03818578-adbe-46fb-ac5c-2e7d4c89cc7b,9,False,"[(72, 99)]",154,190,57,69,154,72,171,171,72,171,72,171,72,171,72,171,72,171,72,171,72,171,72,171,72,171,72,171,72,171.0,72.0,171.0,72.0,171.0,72.0,171.0,72.0,1.0,1.0
38d2a27b-447c-4a11-9452-e502e616f831,19,True,"[(69, 78), (74, 55), (62, 81)]",172,172,50,43,172,67,125,129,74,129,74,129,74,129,74,147,69,129,74,129,74,129,74,129,74,147,69,129,74,133.6098,70.0488,136.0,68.0,129.0,74.0,129.0,74.0,1.176,1.032
38d2a27b-447c-4a11-9452-e502e616f831,19,True,"[(78, 69), (55, 74), (81, 62)]",172,172,43,50,172,58,125,129,55,129,55,129,55,129,55,147,78,129,55,129,55,129,55,129,55,147,78,129,55,133.6098,63.56100000000001,136.0,68.0,129.0,55.0,129.0,55.0,1.176,1.032
2eebb21b-f82e-4e89-886b-de7535e220c2,19,False,"[(84, 111), (98, 107)]",172,226,54,58,172,84,195,195,84,205,98,195,84,195,84,205,98,195,84,195,84,195,84,195,84,205,98,195,84,196.7443,86.442,195.0,84.0,195.0,84.0,195.0,84.0,1.0512820512820513,1.0
2eebb21b-f82e-4e89-886b-de7535e220c2,19,False,"[(111, 84), (107, 98)]",226,172,58,54,226,111,195,195,111,205,107,195,111,195,111,205,107,195,111,195,111,195,111,195,111,205,107,195,111,196.7443,110.3023,195.0,111.0,195.0,111.0,195.0,111.0,1.0512820512820513,1.0
de848e38-8b2a-45a6-acc9-f414b54896ab,19,False,"[(68, 87), (75, 84), (90, 81)]",182,164,55,50,182,68,155,155,68,159,75,155,68,155,68,159,75,171,90,171,90,155,68,155,68,171,90,155,68,157.9642,73.1874,171.0,90.0,155.0,68.0,155.0,68.0,1.103225806451613,1.0
de848e38-8b2a-45a6-acc9-f414b54896ab,19,False,"[(87, 68), (84, 75), (81, 90)]",164,182,50,55,164,87,155,155,87,159,84,155,87,155,87,159,84,171,81,171,81,155,87,155,87,171,81,155,87,157.9642,84.7768,171.0,81.0,155.0,87.0,155.0,87.0,1.103225806451613,1.0
18a584c0-d3d4-4edd-ac7f-5c931940308a,0,True,"[(172, 380)]",172,380,46,132,172,238,485,552,172,552,172,552,172,552,172,552,172,552,172,552,172,552,172,552,172,552,172,552,172,552.0,172.0,552.0,172.0,552.0,172.0,552.0,172.0,1.1381443298969072,1.1381443298969072
18a584c0-d3d4-4edd-ac7f-5c931940308a,0,True,"[(380, 172)]",380,172,132,46,380,247,485,552,380,552,380,552,380,552,380,552,380,552,380,552,380,552,380,552,380,552,380,552,380,552.0,380.0,552.0,380.0,552.0,380.0,552.0,380.0,1.1381443298969072,1.1381443298969072
65e3c428-b574-44a0-8b60-58ff327c4ff4,0,False,"[(161, 180)]",262,344,87,124,262,164,337,341,161,341,161,341,161,341,161,341,161,341,161,341,161,341,161,341,161,341,161,341,161,341.0,161.0,341.0,161.0,341.0,161.0,341.0,161.0,1.0118694362017804,1.0118694362017804
65e3c428-b574-44a0-8b60-58ff327c4ff4,0,False,"[(180, 161)]",344,262,124,87,344,173,337,341,180,341,180,341,180,341,180,341,180,341,180,341,180,341,180,341,180,341,180,341,180,341.0,180.0,341.0,180.0,341.0,180.0,341.0,180.0,1.0118694362017804,1.0118694362017804
bbfe505f-2a2b-4f4f-ae58-e1dbefe050de,0,True,"[(254, 524)]",254,524,87,231,254,254,778,778,254,778,254,778,254,778,254,778,254,778,254,778,254,778,254,778,254,778,254,778,254,778.0,254.0,778.0,254.0,778.0,254.0,778.0,254.0,1.0,1.0
bbfe505f-2a2b-4f4f-ae58-e1dbefe050de,0,True,"[(524, 254)]",524,254,231,87,524,524,778,778,524,778,524,778,524,778,524,778,524,778,524,778,524,778,524,778,524,778,524,778,524,778.0,524.0,778.0,524.0,778.0,524.0,778.0,524.0,1.0,1.0
d3d462b7-147d-40f6-ac2f-06ccd01d7b94,18,False,"[(315, 306)]",902,902,296,299,902,315,621,621,315,621,315,621,315,621,315,621,315,621,315,621,315,621,315,621,315,621,315,621,315,621.0,315.0,621.0,315.0,621.0,315.0,621.0,315.0,1.0,1.0
d3d462b7-147d-40f6-ac2f-06ccd01d7b94,18,False,"[(306, 315)]",902,902,299,296,902,306,621,621,306,621,306,621,306,621,306,621,306,621,306,621,306,621,306,621,306,621,306,621,306,621.0,306.0,621.0,306.0,621.0,306.0,621.0,306.0,1.0,1.0
55e77249-5788-4e9b-9a3e-87206444b35f,18,False,"[(56, 65)]",182,172,49,39,182,56,121,121,56,121,56,121,56,121,56,121,56,121,56,121,56,121,56,121,56,121,56,121,56,121.0,56.0,121.0,56.0,121.0,56.0,121.0,56.0,1.0,1.0
55e77249-5788-4e9b-9a3e-87206444b35f,18,False,"[(65, 56)]",172,182,39,49,172,65,121,121,65,121,65,121,65,121,65,121,65,121,65,121,65,121,65,121,65,121,65,121,65,121.0,65.0,121.0,65.0,121.0,65.0,121.0,65.0,1.0,1.0
d289a852-5970-4bc2-aef7-99cdd08fae52,1,False,"[(76, 95)]",226,236,69,69,226,79,167,171,76,171,76,171,76,171,76,171,76,171,76,171,76,171,76,171,76,171,76,171,76,171.0,76.0,171.0,76.0,171.0,76.0,171.0,76.0,1.0239520958083832,1.0239520958083832
