eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
2e864b74-3435-4c0a-b56a-6d18849c442a,0,True,"[(77, 66)]",200,166,66,53,200,77,143,143,77,143,77,143,77,143,77,143,77,143,77,143,77,143,77,143,77,143,77,143,77,143.0,77.0,143.0,77.0,143.0,77.0,143.0,77.0,1.0,1.0
2e864b74-3435-4c0a-b56a-6d18849c442a,0,True,"[(66, 77)]",166,200,53,66,166,66,143,143,66,143,66,143,66,143,66,143,66,143,66,143,66,143,66,143,66,143,66,143,66,143.0,66.0,143.0,66.0,143.0,66.0,143.0,66.0,1.0,1.0
5b763727-4172-4c77-92c8-6f0bdc23ea4d,22,False,"[(98, 65)]",210,200,57,56,210,98,163,163,98,163,98,163,98,163,98,163,98,163,98,163,98,163,98,163,98,163,98,163,98,163.0,98.0,163.0,98.0,163.0,98.0,163.0,98.0,1.0,1.0
5b763727-4172-4c77-92c8-6f0bdc23ea4d,22,False,"[(65, 98)]",200,210,56,57,200,65,163,163,65,163,65,163,65,163,65,163,65,163,65,163,65,163,65,163,65,163,65,163,65,163.0,65.0,163.0,65.0,163.0,65.0,163.0,65.0,1.0,1.0
0f2e43ef-5e2c-41c4-a222-436c105f77fe,0,False,"[(89, 112)]",210,256,75,85,210,92,195,201,89,201,89,201,89,201,89,201,89,201,89,201,89,201,89,201,89,201,89,201,89,201.0,89.0,201.0,89.0,201.0,89.0,201.0,89.0,1.0307692307692307,1.0307692307692307
0f2e43ef-5e2c-41c4-a222-436c105f77fe,0,False,"[(112, 89)]",256,210,85,75,256,103,195,201,112,201,112,201,112,201,112,201,112,201,112,201,112,201,112,201,112,201,112,201,112,201.0,112.0,201.0,112.0,201.0,112.0,201.0,112.0,1.0307692307692307,1.0307692307692307
07dcea67-8982-4df4-a3a8-f5a97a4f914e,22,False,"[(78, 101), (91, 68)]",200,200,59,63,200,82,153,159,91,159,91,159,91,159,91,179,78,159,91,159,91,159,91,159,91,179,78,159,91,159.0,91.0,159.0,91.0,164.977,87.1149,169.0,84.5,1.1699346405228759,1.0392156862745099
07dcea67-8982-4df4-a3a8-f5a97a4f914e,22,False,"[(101, 78), (68, 91)]",200,200,63,59,200,71,153,159,68,159,68,159,68,159,68,179,101,159,68,159,68,159,68,159,68,179,101,159,68,159.0,68.0,159.0,68.0,164.977,77.8621,169.0,84.5,1.1699346405228759,1.0392156862745099
722c563c-b135-401c-8e35-333c4b6a80f6,11,False,"[(123, 134), (125, 114)]",254,210,98,87,254,125,239,239,125,239,125,239,125,239,125,257,123,239,125,239,125,239,125,239,125,257,123,239,125,239.0,125.0,239.0,125.0,240.229,124.86340000000001,239.0,125.0,1.0753138075313808,1.0
722c563c-b135-401c-8e35-333c4b6a80f6,11,False,"[(134, 123), (114, 125)]",210,254,87,98,210,114,239,239,114,239,114,239,114,239,114,257,134,239,114,239,114,239,114,239,114,257,134,239,114,239.0,114.0,239.0,114.0,240.229,115.3656,239.0,114.0,1.0753138075313808,1.0
