eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
018517cb-fe73-4336-b332-9a51e520d6d1,15,False,"[(140, 231), (204, 189)]",346,436,124,124,346,215,355,371,140,393,204,371,140,371,140,393,204,371,140,371,140,371,140,371,140,393,204,371,140,378.7818,162.6381,371.0,140.0,371.2076,140.6038,371.0,140.0,1.1070422535211268,1.0450704225352112
018517cb-fe73-4336-b332-9a51e520d6d1,15,False,"[(231, 140), (189, 204)]",436,346,124,124,436,140,355,371,231,393,189,371,231,371,231,393,189,371,231,371,231,371,231,371,231,393,189,371,231,378.7818,216.1437,371.0,231.0,371.2076,230.6038,371.0,231.0,1.1070422535211268,1.0450704225352112
c5de6346-eb83-4032-bfd5-474f0b177b15,15,False,"[(200, 155), (215, 154), (112, 157)]",406,436,88,92,406,116,247,269,112,269,112,269,112,269,112,355,200,269,112,269,112,269,112,269,112,369,215,269,112,271.9471000000001,115.03550000000001,269.0,112.0,283.15099999999995,126.57549999999998,269.0,112.0,1.4939271255060729,1.0890688259109311
c5de6346-eb83-4032-bfd5-474f0b177b15,15,False,"[(155, 200), (154, 215), (157, 112)]",436,406,92,88,436,131,247,269,157,269,157,269,157,269,157,355,155,269,157,269,157,269,157,269,157,369,154,269,157,271.9471000000001,156.91160000000002,269.0,157.0,283.15099999999995,156.57549999999998,269.0,157.0,1.4939271255060729,1.0890688259109311
6efa96a0-cb9a-47a1-a06b-d62ed656c860,0,False,"[(133, 164)]",346,408,115,151,346,133,297,297,133,297,133,297,133,297,133,297,133,297,133,297,133,297,133,297,133,297,133,297,133,297.0,133.0,297.0,133.0,297.0,133.0,297.0,133.0,1.0,1.0
6efa96a0-cb9a-47a1-a06b-d62ed656c860,0,False,"[(164, 133)]",408,346,151,115,408,164,297,297,164,297,164,297,164,297,164,297,164,297,164,297,164,297,164,297,164,297,164,297,164,297.0,164.0,297.0,164.0,297.0,164.0,297.0,164.0,1.0,1.0
735e0364-59b0-44a1-8e65-f109a07fd152,15,False,"[(119, 104), (106, 121)]",316,286,93,86,316,119,223,223,119,223,119,223,119,223,119,223,119,223,119,223,119,223,119,223,119,227,106,223,119,224.59429999999998,113.8184,223.0,119.0,223.0,119.0,223.0,119.0,1.0179372197309418,1.0
735e0364-59b0-44a1-8e65-f109a07fd152,15,False,"[(104, 119), (121, 106)]",286,316,86,93,286,104,223,223,104,223,104,223,104,223,104,223,104,223,104,223,104,223,104,223,104,227,121,223,104,224.59429999999998,110.77590000000001,223.0,104.0,223.0,104.0,223.0,104.0,1.0179372197309418,1.0
d154aea8-a617-4c16-9290-e99fc8efe9e3,0,False,"[(90, 75), (73, 88)]",286,348,55,66,286,73,161,161,73,161,73,161,73,161,73,165,90,161,73,161,73,161,73,161,73,165,90,161,73,162.49470000000002,79.3526,161.0,73.0,161.0,73.0,161.0,73.0,1.0248447204968945,1.0
d154aea8-a617-4c16-9290-e99fc8efe9e3,0,False,"[(75, 90), (88, 73)]",348,286,66,55,348,88,161,161,88,161,88,161,88,161,88,165,75,161,88,161,88,161,88,161,88,165,75,161,88,162.49470000000002,83.14210000000003,161.0,88.0,161.0,88.0,161.0,88.0,1.0248447204968945,1.0
