eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
a96b31c4-88e4-4319-b108-07f44f7b55ee,20,False,"[(88, 127), (101, 82), (116, 77)]",362,382,65,55,362,99,179,193,116,183,101,183,101,183,101,183,101,183,101,183,101,183,101,183,101,215,88,183,101,188.096,98.92970000000003,183.00160000000005,100.99939999999998,183.0,101.0,204.5172,92.2586,1.2011173184357542,1.0223463687150838
a96b31c4-88e4-4319-b108-07f44f7b55ee,20,False,"[(127, 88), (82, 101), (77, 116)]",382,362,55,65,382,80,179,193,77,183,82,183,82,183,82,183,82,183,82,183,82,183,82,183,82,215,127,183,82,188.096,89.16629999999998,183.00160000000005,82.00220000000002,183.0,82.0,204.5172,112.2586,1.2011173184357542,1.0223463687150838
fdc7efd4-6505-4adc-a601-ffc318e8fdd9,1,False,"[(183, 222)]",438,458,169,186,438,183,405,405,183,405,183,405,183,405,183,405,183,405,183,405,183,405,183,405,183,405,183,405,183,405.0,183.0,405.0,183.0,405.0,183.0,405.0,183.0,1.0,1.0
fdc7efd4-6505-4adc-a601-ffc318e8fdd9,1,False,"[(222, 183)]",458,438,186,169,458,222,405,405,222,405,222,405,222,405,222,405,222,405,222,405,222,405,222,405,222,405,222,405,222,405.0,222.0,405.0,222.0,405.0,222.0,405.0,222.0,1.0,1.0
0e86af84-bb4b-4d68-bb1f-e72d09e67ffd,19,False,"[(72, 53), (55, 74)]",344,286,54,31,344,72,125,125,72,125,72,125,72,125,72,125,72,125,72,125,72,125,72,125,72,129,55,125,72,126.57960000000003,65.28640000000001,125.0,72.0,125.0,72.0,125.0,72.0,1.032,1.0
0e86af84-bb4b-4d68-bb1f-e72d09e67ffd,19,False,"[(53, 72), (74, 55)]",286,344,31,54,286,53,125,125,53,125,53,125,53,125,53,125,53,125,53,125,53,125,53,125,53,129,74,125,53,126.57960000000003,61.29320000000001,125.0,53.0,125.0,53.0,125.0,53.0,1.032,1.0
f3160817-348f-4717-9478-8ad42a8935df,38,False,"[(168, 149), (121, 160)]",458,458,102,109,458,124,267,281,121,281,121,281,121,281,121,317,168,281,121,281,121,281,121,281,121,317,168,281,121,288.32050000000004,130.5573,281.0,121.0,281.0,121.0,305.20680000000004,152.60340000000002,1.1872659176029963,1.0524344569288389
f3160817-348f-4717-9478-8ad42a8935df,38,False,"[(149, 168), (160, 121)]",458,458,109,102,458,143,267,281,160,281,160,281,160,281,160,317,149,281,160,281,160,281,160,281,160,317,149,281,160,288.32050000000004,157.76319999999998,281.0,160.0,281.0,160.0,305.20680000000004,152.60340000000002,1.1872659176029963,1.0524344569288389
e52f106c-bdc2-4c94-a1bd-5110f63df451,39,False,"[(214, 195), (189, 208)]",400,534,98,127,400,180,379,397,189,397,189,397,189,397,189,409,214,397,189,397,189,397,189,397,189,409,214,397,189,399.93420000000003,195.1129,397.0,189.0,397.0,189.0,397.0,189.0,1.079155672823219,1.0474934036939314
e52f106c-bdc2-4c94-a1bd-5110f63df451,39,False,"[(195, 214), (208, 189)]",534,400,127,98,534,199,379,397,208,397,208,397,208,397,208,409,195,397,208,397,208,397,208,397,208,409,195,397,208,399.93420000000003,204.8213,397.0,208.0,397.0,208.0,397.0,208.0,1.079155672823219,1.0474934036939314
321f4577-a2a0-43a2-b296-aaac05094e3e,38,False,"[(174, 213)]",990,990,157,160,990,177,373,387,174,387,174,387,174,387,174,387,174,387,174,387,174,387,174,387,174,387,174,387,174,387.0,174.0,387.0,174.0,387.0,174.0,387.0,174.0,1.0375335120643432,1.0375335120643432
321f4577-a2a0-43a2-b296-aaac05094e3e,38,False,"[(213, 174)]",990,990,160,157,990,196,373,387,213,387,213,387,213,387,213,387,213,387,213,387,213,387,213,387,213,387,213,387,213,387.0,213.0,387.0,213.0,387.0,213.0,387.0,213.0,1.0375335120643432,1.0375335120643432
c705307b-e98f-472c-abc3-a68a522b5437,38,False,"[(111, 72), (107, 88), (86, 125)]",344,344,46,55,344,94,169,183,111,195,107,183,111,183,111,195,107,195,107,195,107,183,111,183,111,211,86,183,111,192.2996,102.6968,183.00009999999997,110.9999,183.0,111.0,197.0,98.5,1.2485207100591715,1.0828402366863905
c705307b-e98f-472c-abc3-a68a522b5437,38,False,"[(72, 111), (88, 107), (125, 86)]",344,344,55,46,344,75,169,183,72,195,88,183,72,183,72,195,88,195,88,195,88,183,72,183,72,211,125,183,72,192.2996,89.6028,183.00009999999997,72.0002,183.0,72.0,197.0,98.5,1.2485207100591715,1.0828402366863905
024d6906-61ba-4d79-9394-7c8140c317ad,38,False,"[(164, 203)]",382,382,147,130,382,167,353,367,164,367,164,367,164,367,164,367,164,367,164,367,164,367,164,367,164,367,164,367,164,367.0,164.0,367.0,164.0,367.0,164.0,367.0,164.0,1.0396600566572238,1.0396600566572238
024d6906-61ba-4d79-9394-7c8140c317ad,38,False,"[(203, 164)]",382,382,130,147,382,186,353,367,203,367,203,367,203,367,203,367,203,367,203,367,203,367,203,367,203,367,203,367,203,367.0,203.0,367.0,203.0,367.0,203.0,367.0,203.0,1.0396600566572238,1.0396600566572238
7def4748-22e1-427f-8d23-8f9837a25f0f,19,False,"[(203, 164), (200, 181), (166, 205)]",780,742,149,142,780,186,353,367,203,381,200,367,203,367,203,381,200,367,203,381,200,367,203,367,203,381,200,367,203,368.8372999999999,186.00509999999997,367.0001,203.0,367.0,203.0,367.0512000000001,202.52560000000005,1.0793201133144477,1.0396600566572238
7def4748-22e1-427f-8d23-8f9837a25f0f,19,False,"[(164, 203), (181, 200), (205, 166)]",742,780,142,149,742,167,353,367,164,381,181,367,164,367,164,381,181,367,164,381,181,367,164,367,164,381,181,367,164,368.8372999999999,182.83219999999994,367.0001,164.00009999999997,367.0,164.0,367.0512000000001,164.52560000000005,1.0793201133144477,1.0396600566572238
02acaeed-55b1-4da6-8b18-14edbcb8e6fe,76,False,"[(297, 240)]",382,248,161,65,382,297,537,537,297,537,297,537,297,537,297,537,297,537,297,537,297,537,297,537,297,537,297,537,297,537.0,297.0,537.0,297.0,537.0,297.0,537.0,297.0,1.0,1.0
02acaeed-55b1-4da6-8b18-14edbcb8e6fe,76,False,"[(240, 297)]",248,382,65,161,248,240,537,537,240,537,240,537,240,537,240,537,240,537,240,537,240,537,240,537,240,537,240,537,240,537.0,240.0,537.0,240.0,537.0,240.0,537.0,240.0,1.0,1.0
63cfe4b5-7ce5-48fd-8167-db0f9b145f31,38,False,"[(144, 125), (100, 139)]",344,344,68,103,344,100,239,239,100,239,100,239,100,239,100,269,144,239,100,239,100,239,100,239,100,269,144,239,100,246.85170000000005,111.51580000000001,239.0,100.0,239.0,100.0,259.1724,129.5862,1.1255230125523012,1.0
63cfe4b5-7ce5-48fd-8167-db0f9b145f31,38,False,"[(125, 144), (139, 100)]",344,344,103,68,344,139,239,239,139,239,139,239,139,239,139,269,125,239,139,239,139,239,139,239,139,269,125,239,139,246.85170000000005,135.3359,239.0,139.0,239.0,139.0,259.1724,129.5862,1.1255230125523012,1.0
4946d0b4-265b-4b51-89cf-b626197a7624,0,False,"[(95, 134)]",362,440,73,100,362,95,229,229,95,229,95,229,95,229,95,229,95,229,95,229,95,229,95,229,95,229,95,229,95,229.0,95.0,229.0,95.0,229.0,95.0,229.0,95.0,1.0,1.0
4946d0b4-265b-4b51-89cf-b626197a7624,0,False,"[(134, 95)]",440,362,100,73,440,134,229,229,134,229,134,229,134,229,134,229,134,229,134,229,134,229,134,229,134,229,134,229,134,229.0,134.0,229.0,134.0,229.0,134.0,229.0,134.0,1.0,1.0
a26f9460-5f0e-4d2d-ba7f-688ed55774de,1,False,"[(92, 131)]",362,382,73,59,362,95,209,223,92,223,92,223,92,223,92,223,92,223,92,223,92,223,92,223,92,223,92,223,92,223.0,92.0,223.0,92.0,223.0,92.0,223.0,92.0,1.0669856459330143,1.0669856459330143
a26f9460-5f0e-4d2d-ba7f-688ed55774de,1,False,"[(131, 92)]",382,362,59,73,382,114,209,223,131,223,131,223,131,223,131,223,131,223,131,223,131,223,131,223,131,223,131,223,131,223.0,131.0,223.0,131.0,223.0,131.0,223.0,131.0,1.0669856459330143,1.0669856459330143
2db3a690-76b3-4614-b03d-3a792b59b42d,1,False,"[(153, 192), (157, 176), (182, 163)]",552,572,131,142,552,157,333,345,153,333,157,333,157,333,157,333,157,333,157,333,157,333,157,333,157,345,182,333,157,335.76480000000004,162.76010000000002,333.0,157.0,333.0,157.0,333.6,156.8,1.0360360360360361,1.0
2db3a690-76b3-4614-b03d-3a792b59b42d,1,False,"[(192, 153), (176, 157), (163, 182)]",572,552,142,131,572,176,333,345,192,333,176,333,176,333,176,333,176,333,176,333,176,333,176,333,176,345,163,333,176,335.76480000000004,173.0047,333.0,176.0,333.0,176.0,333.6,176.8,1.0360360360360361,1.0
2327beeb-c85d-4035-aca9-1dc40a2e720d,1,False,"[(77, 96), (73, 112)]",362,382,55,59,362,76,171,185,73,173,77,173,77,173,77,173,77,173,77,173,77,173,77,173,77,185,73,173,77,175.38010000000008,76.20670000000001,173.0,77.0,173.0,77.0,173.60000000000002,76.80000000000001,1.0818713450292399,1.0116959064327486
2327beeb-c85d-4035-aca9-1dc40a2e720d,1,False,"[(96, 77), (112, 73)]",382,362,59,55,382,95,171,185,112,173,96,173,96,173,96,173,96,173,96,173,96,173,96,173,96,185,112,173,96,175.38010000000008,99.17340000000002,173.0,96.0,173.0,96.0,173.60000000000002,96.80000000000001,1.0818713450292399,1.0116959064327486
dd09662c-9821-4d26-8f60-6671b7c04dea,0,False,"[(437, 398)]",1352,1274,386,376,1352,420,821,835,437,835,437,835,437,835,437,835,437,835,437,835,437,835,437,835,437,835,437,835,437,835.0,437.0,835.0,437.0,835.0,437.0,835.0,437.0,1.0170523751522533,1.0170523751522533
dd09662c-9821-4d26-8f60-6671b7c04dea,0,False,"[(398, 437)]",1274,1352,376,386,1274,401,821,835,398,835,398,835,398,835,398,835,398,835,398,835,398,835,398,835,398,835,398,835,398,835.0,398.0,835.0,398.0,835.0,398.0,835.0,398.0,1.0170523751522533,1.0170523751522533
9f076f07-28f6-4c74-b958-3e067ef24281,0,False,"[(102, 83), (85, 104), (81, 120)]",362,440,59,62,362,98,177,201,81,185,102,185,102,185,102,185,102,201,81,189,85,185,102,189,85,201,81,185,102,187.50520000000006,91.3526,188.3596,87.7219,185.0,102.0,201.0,81.0,1.1355932203389831,1.0451977401129944
9f076f07-28f6-4c74-b958-3e067ef24281,0,False,"[(83, 102), (104, 85), (120, 81)]",440,362,62,59,440,79,177,201,120,185,83,185,83,185,83,185,83,201,120,189,104,185,83,189,104,201,120,185,83,187.50520000000006,96.1526,188.3596,100.6377,185.0,83.0,201.0,120.0,1.1355932203389831,1.0451977401129944
c9227130-7a8a-4bf0-ad03-4d92b5eca100,0,False,"[(405, 366), (389, 370)]",1770,1692,359,327,1770,388,757,771,405,759,389,759,389,759,389,759,389,771,405,759,389,759,389,759,389,771,405,759,389,761.4790000000003,392.3053,759.0,389.0,759.0,389.0,771.0,405.0,1.0184940554821664,1.0026420079260239
c9227130-7a8a-4bf0-ad03-4d92b5eca100,0,False,"[(366, 405), (370, 389)]",1692,1770,327,359,1692,369,757,771,366,759,370,759,370,759,370,759,370,771,366,759,370,759,370,759,370,771,366,759,370,761.4790000000003,369.17370000000005,759.0,370.0,759.0,370.0,771.0,366.0,1.0184940554821664,1.0026420079260239
f16967af-d1cc-412b-ab60-1322f1efc267,0,False,"[(104, 65)]",364,286,50,43,364,87,155,169,104,169,104,169,104,169,104,169,104,169,104,169,104,169,104,169,104,169,104,169,104,169.0,104.0,169.0,104.0,169.0,104.0,169.0,104.0,1.0903225806451613,1.0903225806451613
f16967af-d1cc-412b-ab60-1322f1efc267,0,False,"[(65, 104)]",286,364,43,50,286,68,155,169,65,169,65,169,65,169,65,169,65,169,65,169,65,169,65,169,65,169,65,169,65,169.0,65.0,169.0,65.0,169.0,65.0,169.0,65.0,1.0903225806451613,1.0903225806451613
8cc45dff-0550-4840-82f2-a1e904971071,38,False,"[(90, 147), (193, 116)]",344,362,77,77,344,90,237,237,90,237,90,237,90,237,90,237,90,237,90,237,90,237,90,237,90,309,193,237,90,254.06989999999996,114.4195,237.0,90.0,237.0,90.0,257.9552,119.9776,1.3037974683544304,1.0
8cc45dff-0550-4840-82f2-a1e904971071,38,False,"[(147, 90), (116, 193)]",362,344,77,77,362,147,237,237,147,237,147,237,147,237,147,237,147,237,147,237,147,237,147,237,147,309,116,237,147,254.06989999999996,139.6504,237.0,147.0,237.0,147.0,257.9552,137.9776,1.3037974683544304,1.0
30fc5be6-32c6-43d9-8af3-1ee51e0e96d3,0,False,"[(219, 180)]",590,668,166,163,590,202,385,399,219,399,219,399,219,399,219,399,219,399,219,399,219,399,219,399,219,399,219,399,219,399.0,219.0,399.0,219.0,399.0,219.0,399.0,219.0,1.0363636363636364,1.0363636363636364
30fc5be6-32c6-43d9-8af3-1ee51e0e96d3,0,False,"[(180, 219)]",668,590,163,166,668,183,385,399,180,399,180,399,180,399,180,399,180,399,180,399,180,399,180,399,180,399,180,399,180,399.0,180.0,399.0,180.0,399.0,180.0,399.0,180.0,1.0363636363636364,1.0363636363636364
866a5819-f5eb-4274-8f4c-b612393fb2b8,0,False,"[(408, 369)]",1390,1274,357,309,1390,391,763,777,408,777,408,777,408,777,408,777,408,777,408,777,408,777,408,777,408,777,408,777,408,777.0,408.0,777.0,408.0,777.0,408.0,777.0,408.0,1.018348623853211,1.018348623853211
866a5819-f5eb-4274-8f4c-b612393fb2b8,0,False,"[(369, 408)]",1274,1390,309,357,1274,372,763,777,369,777,369,777,369,777,369,777,369,777,369,777,369,777,369,777,369,777,369,777,369,777.0,369.0,777.0,369.0,777.0,369.0,777.0,369.0,1.018348623853211,1.018348623853211
8407b894-3b46-449c-b370-aff25c2c8238,0,False,"[(267, 248), (270, 231)]",858,780,219,209,858,253,487,501,270,515,267,501,270,501,270,515,267,501,270,501,270,501,270,501,270,515,267,501,270,502.97180000000003,269.5775,501.0,270.0,501.0,270.0,501.0,270.0,1.057494866529774,1.0287474332648872
8407b894-3b46-449c-b370-aff25c2c8238,0,False,"[(248, 267), (231, 270)]",780,858,209,219,780,234,487,501,231,515,248,501,231,501,231,515,248,501,231,501,231,501,231,501,231,515,248,501,231,502.97180000000003,233.39430000000004,501.0,231.0,501.0,231.0,501.0,231.0,1.057494866529774,1.0287474332648872
4ccc41f0-1655-4aa8-97f7-1e0ed9245a74,0,False,"[(124, 105), (95, 134)]",362,440,73,83,362,98,215,229,95,229,124,229,124,229,124,229,124,229,95,229,95,229,95,229,95,229,124,229,124,229.0,107.8621,229.0,95.00490000000002,229.0,95.0,229.0,95.0,1.0651162790697675,1.0651162790697675
4ccc41f0-1655-4aa8-97f7-1e0ed9245a74,0,False,"[(105, 124), (134, 95)]",440,362,83,73,440,117,215,229,134,229,105,229,105,229,105,229,105,229,134,229,134,229,134,229,134,229,105,229,105,229.0,121.1379,229.0,133.99509999999998,229.0,134.0,229.0,134.0,1.0651162790697675,1.0651162790697675
81b0ab59-2eee-4ebf-8ede-2f37a7c7c56a,38,False,"[(105, 66), (86, 125)]",344,344,58,47,344,75,169,171,105,171,105,171,105,171,105,171,105,171,105,171,105,171,105,171,105,211,86,171,105,181.3043,100.1054,171.0,105.0,171.0,105.0,191.0,95.5,1.2485207100591715,1.0118343195266273
81b0ab59-2eee-4ebf-8ede-2f37a7c7c56a,38,False,"[(66, 105), (125, 86)]",344,344,47,58,344,94,169,171,66,171,66,171,66,171,66,171,66,171,66,171,66,171,66,171,66,211,125,171,66,181.3043,81.19889999999998,171.0,66.0,171.0,66.0,191.0,95.5,1.2485207100591715,1.0118343195266273
2edda5a1-8600-42cf-bf00-30e3012cd10f,0,False,"[(68, 107), (113, 74), (85, 104)]",362,440,51,55,362,68,175,175,68,189,85,175,68,175,68,189,85,175,68,189,85,175,68,175,68,187,113,175,68,179.44849999999997,84.6816,175.00009999999997,68.00009999999997,175.0,68.0,175.0,68.0,1.08,1.0
2edda5a1-8600-42cf-bf00-30e3012cd10f,0,False,"[(107, 68), (74, 113), (104, 85)]",440,362,55,51,440,107,175,175,107,189,104,175,107,175,107,189,104,175,107,189,104,175,107,175,107,187,74,175,107,179.44849999999997,94.76690000000002,175.00009999999997,107.0,175.0,107.0,175.0,107.0,1.08,1.0
4904c193-5ff0-4d77-9b21-4e527b28bc95,0,False,"[(89, 70), (93, 54)]",326,248,46,35,326,76,133,147,93,159,89,147,93,147,93,159,89,147,93,159,89,147,93,147,93,159,89,147,93,149.0385,92.32050000000001,147.0,93.0,147.0,93.0,147.0,93.0,1.1954887218045114,1.105263157894737
4904c193-5ff0-4d77-9b21-4e527b28bc95,0,False,"[(70, 89), (54, 93)]",248,326,35,46,248,57,133,147,54,159,70,147,54,147,54,159,70,147,54,159,70,147,54,147,54,159,70,147,54,149.0385,56.71799999999999,147.0,54.0,147.0,54.0,147.0,54.0,1.1954887218045114,1.105263157894737
58bee7f7-20f8-45ee-a813-9387b05ccfa5,0,False,"[(123, 162), (154, 135), (135, 154)]",362,440,98,109,362,126,271,285,123,289,154,285,123,285,123,289,154,285,123,285,123,285,123,285,123,289,154,285,123,286.6225999999999,135.575,285.0,123.0001,285.0,123.0,285.0,123.0,1.066420664206642,1.051660516605166
58bee7f7-20f8-45ee-a813-9387b05ccfa5,0,False,"[(162, 123), (135, 154), (154, 135)]",440,362,109,98,440,145,271,285,162,289,135,285,162,285,162,289,135,285,162,285,162,285,162,285,162,289,135,285,162,286.6225999999999,151.0476,285.0,161.99990000000003,285.0,162.0,285.0,162.0,1.066420664206642,1.051660516605166
ed0b30f6-655f-46c2-89e8-298150a848fe,38,False,"[(66, 85), (83, 64)]",362,382,47,47,362,83,147,147,83,147,83,147,83,147,83,151,66,151,66,151,66,147,83,147,83,151,66,147,83,148.86059999999998,75.0924,147.0009,82.99610000000001,147.0,83.0,151.0,66.0,1.0272108843537415,1.0
ed0b30f6-655f-46c2-89e8-298150a848fe,38,False,"[(85, 66), (64, 83)]",382,362,47,47,382,64,147,147,64,147,64,147,64,147,64,151,85,151,85,151,85,147,64,147,64,151,85,147,64,148.86059999999998,73.76819999999998,147.0009,64.00479999999999,147.0,64.0,151.0,85.0,1.0272108843537415,1.0
f718935b-58de-4265-a60b-aa0327405128,0,False,"[(121, 82), (105, 86)]",344,286,62,60,344,82,183,203,121,191,105,191,105,191,105,191,105,203,121,191,105,191,105,191,105,203,121,191,105,193.71839999999997,108.62459999999999,191.0,105.0,191.0,105.0,203.0,121.0,1.1092896174863387,1.0437158469945356
f718935b-58de-4265-a60b-aa0327405128,0,False,"[(82, 121), (86, 105)]",286,344,60,62,286,101,183,203,82,191,86,191,86,191,86,191,86,203,82,191,86,191,86,191,86,203,82,191,86,193.71839999999997,85.09379999999999,191.0,86.0,191.0,86.0,203.0,82.0,1.1092896174863387,1.0437158469945356
67c61bef-9a5d-4830-b546-2c4f4e23d7b7,0,False,"[(76, 95), (93, 74), (109, 70)]",326,248,45,31,326,92,165,179,109,167,93,167,93,167,93,171,76,179,109,167,93,167,93,167,93,171,76,167,93,167.9792,88.8383,167.0,92.9999,167.0,93.0,179.0,109.0,1.084848484848485,1.0121212121212122
67c61bef-9a5d-4830-b546-2c4f4e23d7b7,0,False,"[(95, 76), (74, 93), (70, 109)]",248,326,31,45,248,73,165,179,70,167,74,167,74,167,74,171,95,179,70,167,74,167,74,167,74,171,95,167,74,167.9792,79.14089999999999,167.0,74.0001,167.0,74.0,179.0,70.0,1.084848484848485,1.0121212121212122
e74e1e6d-90fd-4342-91c8-bfc24c4ae6d5,38,False,"[(73, 112), (77, 96), (101, 62)]",344,344,43,43,344,60,159,163,101,173,77,163,101,163,101,173,77,173,77,173,77,163,101,163,101,185,73,163,101,167.94060000000002,89.14269999999999,163.00009999999997,100.9998,163.0,101.0,169.7242,84.8621,1.1635220125786163,1.0251572327044025
e74e1e6d-90fd-4342-91c8-bfc24c4ae6d5,38,False,"[(112, 73), (96, 77), (62, 101)]",344,344,43,43,344,99,159,163,62,173,96,163,62,163,62,173,96,173,96,173,96,163,62,163,62,185,112,163,62,167.94060000000002,78.79790000000003,163.00009999999997,62.00029999999998,163.0,62.0,169.7242,84.8621,1.1635220125786163,1.0251572327044025
5c270023-80c1-41af-9278-126d7086aa86,0,False,"[(117, 78)]",326,248,59,56,326,100,181,195,117,195,117,195,117,195,117,195,117,195,117,195,117,195,117,195,117,195,117,195,117,195.0,117.0,195.0,117.0,195.0,117.0,195.0,117.0,1.0773480662983426,1.0773480662983426
5c270023-80c1-41af-9278-126d7086aa86,0,False,"[(78, 117)]",248,326,56,59,248,81,181,195,78,195,78,195,78,195,78,195,78,195,78,195,78,195,78,195,78,195,78,195,78,195.0,78.0,195.0,78.0,195.0,78.0,195.0,78.0,1.0773480662983426,1.0773480662983426
ee653f70-d127-4b13-9436-6b3dfb1823a7,19,False,"[(92, 73)]",362,362,56,73,362,92,165,165,92,165,92,165,92,165,92,165,92,165,92,165,92,165,92,165,92,165,92,165,92,165.0,92.0,165.0,92.0,165.0,92.0,165.0,92.0,1.0,1.0
ee653f70-d127-4b13-9436-6b3dfb1823a7,19,False,"[(73, 92)]",362,362,73,56,362,73,165,165,73,165,73,165,73,165,73,165,73,165,73,165,73,165,73,165,73,165,73,165,73,165.0,73.0,165.0,73.0,165.0,73.0,165.0,73.0,1.0,1.0
1c284b4a-4d4f-4cc1-afcc-89db7b0365cc,38,False,"[(302, 283), (277, 296)]",1370,1370,260,257,1370,277,573,573,277,573,277,573,277,573,277,585,302,573,277,573,277,573,277,573,277,585,302,573,277,577.1201000000001,285.58359999999993,573.0,277.0,573.0,277.0,579.0,289.5,1.0209424083769634,1.0
1c284b4a-4d4f-4cc1-afcc-89db7b0365cc,38,False,"[(283, 302), (296, 277)]",1370,1370,257,260,1370,296,573,573,296,573,296,573,296,573,296,585,283,573,296,573,296,573,296,573,296,585,283,573,296,577.1201000000001,291.53649999999993,573.0,296.0,573.0,296.0,579.0,289.5,1.0209424083769634,1.0
