eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
d97cc10b-3a52-419e-bc35-8e38445c6d2c,39,True,"[(89, 108), (122, 83)]",362,362,71,64,362,105,191,205,122,197,89,197,89,197,89,197,89,197,89,197,89,197,89,197,89,205,122,197,89,197.0,89.0,200.40570000000002,103.0485,199.6206,99.8103,197.0,89.0,1.0732984293193717,1.031413612565445
d97cc10b-3a52-419e-bc35-8e38445c6d2c,39,True,"[(108, 89), (83, 122)]",362,362,64,71,362,86,191,205,83,197,108,197,108,197,108,197,108,197,108,197,108,197,108,197,108,205,83,197,108,197.0,108.0,200.40570000000002,97.3572,199.6206,99.8103,197.0,108.0,1.0732984293193717,1.031413612565445
ed7b99d1-8955-4b11-9fcc-0c444808411b,1,False,"[(75, 94)]",400,438,47,55,400,75,169,169,75,169,75,169,75,169,75,169,75,169,75,169,75,169,75,169,75,169,75,169,75,169,75,169,75,169,75,169,75,1.0,1.0
ed7b99d1-8955-4b11-9fcc-0c444808411b,1,False,"[(94, 75)]",438,400,55,47,438,94,169,169,94,169,94,169,94,169,94,169,94,169,94,169,94,169,94,169,94,169,94,169,94,169,94,169,94,169,94,169,94,1.0,1.0
c54caad4-25cf-4158-acc2-25ff859f9c7d,19,False,"[(115, 96), (94, 133)]",362,362,77,77,362,115,211,227,94,211,115,211,115,211,115,211,115,211,115,211,115,211,115,211,115,227,94,211,115,211.0,115.0,216.7654,107.4328,216.2414,108.1207,211.0,115.0,1.0758293838862558,1.0
c54caad4-25cf-4158-acc2-25ff859f9c7d,19,False,"[(96, 115), (133, 94)]",362,362,77,77,362,96,211,227,133,211,96,211,96,211,96,211,96,211,96,211,96,211,96,211,96,227,133,211,96,211.0,96.0,216.7654,109.3326,216.2414,108.1207,211.0,96.0,1.0758293838862558,1.0
50c34279-bb2b-4032-8490-2fbe3b55a68d,19,False,"[(97, 154), (114, 133), (158, 101)]",362,248,63,61,362,114,247,251,97,247,114,247,114,247,114,247,114,259,158,259,158,259,158,259,158,251,97,247,114,258.9969,157.9886,251.8014,131.6053,259.0,158.0,247.0,114.0,1.048582995951417,1.0
50c34279-bb2b-4032-8490-2fbe3b55a68d,19,False,"[(154, 97), (133, 114), (101, 158)]",248,362,61,63,248,133,247,251,154,247,133,247,133,247,133,247,133,259,101,259,101,259,101,259,101,251,154,247,133,258.9969,101.0083,251.8014,120.1961,259.0,101.0,247.0,133.0,1.048582995951417,1.0
5c21b1b9-e16a-47cc-8646-26ad287a2e6a,38,False,"[(118, 157)]",458,458,101,101,458,121,261,275,118,275,118,275,118,275,118,275,118,275,118,275,118,275,118,275,118,275,118,275,118,275,118,275,118,275,118,275,118,1.053639846743295,1.053639846743295
5c21b1b9-e16a-47cc-8646-26ad287a2e6a,38,False,"[(157, 118)]",458,458,101,101,458,140,261,275,157,275,157,275,157,275,157,275,157,275,157,275,157,275,157,275,157,275,157,275,157,275,157,275,157,275,157,275,157,1.053639846743295,1.053639846743295
