eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,PoA,PoS
38b19075-885b-419f-b55d-437b84baf6b8,34,True,"[(63, 63), (44, 78), (71, 37)]",100,100,28,27,100,71,108,108,71,126,63,108,71,108,71,126,63,126,63,126,63,108,71,108,71,122,44,108,71,113.9579,59.5096,108.0,71.0,111.2376,64.756,115.0,57.5,1.1666666666666667,1.0
38b19075-885b-419f-b55d-437b84baf6b8,34,True,"[(63, 63), (78, 44), (37, 71)]",100,100,27,28,100,37,108,108,37,126,63,108,37,108,37,126,63,126,63,126,63,108,37,108,37,122,78,108,37,113.9579,54.4483,108.0,37.0,111.2376,46.4816,115.0,57.5,1.1666666666666667,1.0
bf31cfd8-8799-4358-b37b-e40a48909956,34,True,"[(44, 78), (57, 57), (70, 48)]",100,122,28,32,100,57,114,122,44,114,57,114,57,114,57,114,57,122,44,114,57,114,57,114,57,118,70,114,57,115.7138,54.2152,114.0,57.0,114.0,57.0,119.1764,48.5882,1.0701754385964912,1.0
bf31cfd8-8799-4358-b37b-e40a48909956,34,True,"[(78, 44), (57, 57), (48, 70)]",122,100,32,28,122,57,114,122,78,114,57,114,57,114,57,114,57,122,78,114,57,114,57,114,57,118,48,114,57,115.7138,61.4986,114.0,57.0,114.0,57.0,119.1764,70.5882,1.0701754385964912,1.0
2acd4891-5992-47ed-9204-869df15ac164,1,False,"[(43, 87), (52, 74), (83, 61), (87, 43)]",100,178,27,34,100,52,126,130,43,126,52,126,52,126,52,126,52,130,43,130,43,130,43,130,43,130,87,126,52,126.3401,54.976,126.0,52.0,130.0,43.0,130.0,43.0,1.1428571428571428,1.0
2acd4891-5992-47ed-9204-869df15ac164,1,False,"[(87, 43), (74, 52), (61, 83), (43, 87)]",178,100,34,27,178,74,126,130,87,126,74,126,74,126,74,126,74,130,87,130,87,130,87,130,87,130,43,126,74,126.3401,71.3641,126.0,74.0,130.0,87.0,130.0,87.0,1.1428571428571428,1.0
54bf0419-7d02-48e6-b3d4-3ed3b4e11598,33,False,"[(39, 61), (48, 48)]",90,90,30,27,90,48,96,100,39,96,48,96,48,96,48,96,48,96,48,96,48,96,48,96,48,100,39,96,48,97.4525,44.732,96.0,48.0,96.0005,47.999,96.0,48.0,1.0416666666666667,1.0
54bf0419-7d02-48e6-b3d4-3ed3b4e11598,33,False,"[(61, 39), (48, 48)]",90,90,27,30,90,48,96,100,61,96,48,96,48,96,48,96,48,96,48,96,48,96,48,96,48,100,61,96,48,97.4525,52.7205,96.0,48.0,96.0005,48.0015,96.0,48.0,1.0416666666666667,1.0
5fa98187-7ecf-4e50-bcde-d9cf54312e88,22,False,"[(54, 54)]",90,56,45,29,90,54,108,108,54,108,54,108,54,108,54,108,54,108,54,108,54,108,54,108,54,108,54,108,54,108.0,54.0,108.0,54.0,108.0,54.0,108.0,54.0,1.0,1.0
5fa98187-7ecf-4e50-bcde-d9cf54312e88,22,False,"[(54, 54)]",56,90,29,45,56,54,108,108,54,108,54,108,54,108,54,108,54,108,54,108,54,108,54,108,54,108,54,108,54,108.0,54.0,108.0,54.0,108.0,54.0,108.0,54.0,1.0,1.0
b16fd50c-2d36-4738-900f-52dc546bbbfc,0,False,"[(44, 78)]",144,212,27,51,144,47,116,122,44,122,44,122,44,122,44,122,44,122,44,122,44,122,44,122,44,122,44,122,44,122.0,44.0,122.0,44.0,122.0,44.0,122.0,44.0,1.0517241379310345,1.0517241379310345
b16fd50c-2d36-4738-900f-52dc546bbbfc,0,False,"[(78, 44)]",212,144,51,27,212,69,116,122,78,122,78,122,78,122,78,122,78,122,78,122,78,122,78,122,78,122,78,122,78,122.0,78.0,122.0,78.0,122.0,78.0,122.0,78.0,1.0517241379310345,1.0517241379310345
