eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
a1d83a22-6dd2-4219-8699-12778a9ae482,33,True,"[(90, 123)]",100,166,72,67,100,120,207,213,90,213,90,213,90,213,90,213,90,213,90,213,90,213,90,213,90,213,90,213,90,213.0,90.0,213.0,90.0,213.0,90.0,213.0,90.0,1.0289855072463767,1.0289855072463767
a1d83a22-6dd2-4219-8699-12778a9ae482,33,True,"[(123, 90)]",166,100,67,72,166,87,207,213,123,213,123,213,123,213,123,213,123,213,123,213,123,213,123,213,123,213,123,213,123,213.0,123.0,213.0,123.0,213.0,123.0,213.0,123.0,1.0289855072463767,1.0289855072463767
b96c3b69-a46a-4f1b-b4c3-d632f433f9eb,0,True,"[(948, 90)]",948,90,298,22,948,948,1038,1038,948,1038,948,1038,948,1038,948,1038,948,1038,948,1038,948,1038,948,1038,948,1038,948,1038,948,1038.0,948.0,1038.0,948.0,1038.0,948.0,1038.0,948.0,1.0,1.0
b96c3b69-a46a-4f1b-b4c3-d632f433f9eb,0,True,"[(90, 948)]",90,948,22,298,90,90,1038,1038,90,1038,90,1038,90,1038,90,1038,90,1038,90,1038,90,1038,90,1038,90,1038,90,1038,90,1038.0,90.0,1038.0,90.0,1038.0,90.0,1038.0,90.0,1.0,1.0
388770c4-33f0-442b-8c30-30816754abb5,22,True,"[(442, 34)]",442,34,221,16,442,442,476,476,442,476,442,476,442,476,442,476,442,476,442,476,442,476,442,476,442,476,442,476,442,476.0,442.0,476.0,442.0,476.0,442.0,476.0,442.0,1.0,1.0
388770c4-33f0-442b-8c30-30816754abb5,22,True,"[(34, 442)]",34,442,16,221,34,34,476,476,34,476,34,476,34,476,34,476,34,476,34,476,34,476,34,476,34,476,34,476,34,476.0,34.0,476.0,34.0,476.0,34.0,476.0,34.0,1.0,1.0
332f14e2-6f23-41d5-acea-5844f047a387,23,False,"[(46, 223)]",100,244,37,91,100,46,269,269,46,269,46,269,46,269,46,269,46,269,46,269,46,269,46,269,46,269,46,269,46,269.0,46.0,269.0,46.0,269.0,46.0,269.0,46.0,1.0,1.0
332f14e2-6f23-41d5-acea-5844f047a387,23,False,"[(223, 46)]",244,100,91,37,244,223,269,269,223,269,223,269,223,269,223,269,223,269,223,269,223,269,223,269,223,269,223,269,223,269.0,223.0,269.0,223.0,269.0,223.0,269.0,223.0,1.0,1.0
b0b7685c-6555-4b11-8af7-e484e1cec75b,33,True,"[(92, 59), (74, 63)]",122,122,35,36,122,74,137,151,92,137,74,137,74,137,74,137,74,137,74,137,74,137,74,137,74,151,92,137,74,137.0,74.0,137.0,74.0,139.0271,76.6063,137.0,74.0,1.102189781021898,1.0
b0b7685c-6555-4b11-8af7-e484e1cec75b,33,True,"[(59, 92), (63, 74)]",122,122,36,35,122,63,137,151,59,137,63,137,63,137,63,137,63,137,63,137,63,137,63,137,63,151,59,137,63,137.0,63.0,137.0,63.0,139.0271,62.4208,137.0,63.0,1.102189781021898,1.0
