eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,PoA,PoS
f764cace-1032-4343-bc11-793c3a3aed3f,56,True,"[(89, 89), (85, 107), (58, 114)]",100,188,19,42,100,61,166,172,58,178,89,172,58,172,58,178,89,172,58,172,58,172,58,172,58,178,89,172,58,173.52949999999998,65.9024,172.0,58.0,172.0,58.0,172.0,58.0,1.1566265060240963,1.036144578313253
f764cace-1032-4343-bc11-793c3a3aed3f,56,True,"[(89, 89), (107, 85), (114, 58)]",188,100,42,19,188,105,166,172,114,178,89,172,114,172,114,178,89,172,114,172,114,172,114,172,114,178,89,172,114,173.52949999999998,107.6271,172.0,114.0,172.0,114.0,172.0,114.0,1.1566265060240963,1.036144578313253
4dbfa8a5-fe15-4248-b6f1-fc448ed79b4e,44,True,"[(68, 46), (55, 55)]",90,56,28,11,90,55,110,114,68,110,55,110,55,110,55,110,55,114,68,114,68,114,68,114,68,110,55,110,55,112.8314,64.2022,114.0,68.0,114.0,68.0,110.0,55.0,1.0363636363636364,1.0
4dbfa8a5-fe15-4248-b6f1-fc448ed79b4e,44,True,"[(46, 68), (55, 55)]",56,90,11,28,56,55,110,114,46,110,55,110,55,110,55,110,55,114,46,114,46,114,46,114,46,110,55,110,55,112.8314,48.6292,114.0,46.0,114.0,46.0,110.0,55.0,1.0363636363636364,1.0
6ddb39fe-62b4-4ed2-b79f-a31d37891e11,55,False,"[(83, 139)]",200,200,65,69,200,86,216,222,83,222,83,222,83,222,83,222,83,222,83,222,83,222,83,222,83,222,83,222,83,222.0,83.0,222.0,83.0,222.0,83.0,222.0,83.0,1.0277777777777777,1.0277777777777777
6ddb39fe-62b4-4ed2-b79f-a31d37891e11,55,False,"[(139, 83)]",200,200,69,65,200,130,216,222,139,222,139,222,139,222,139,222,139,222,139,222,139,222,139,222,139,222,139,222,139,222.0,139.0,222.0,139.0,222.0,139.0,222.0,139.0,1.0277777777777777,1.0277777777777777
598b43fc-5142-48f2-a5eb-78264856b781,56,True,"[(100, 34)]",100,34,19,7,100,64,128,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134.0,100.0,134.0,100.0,134.0,100.0,134.0,100.0,1.046875,1.046875
598b43fc-5142-48f2-a5eb-78264856b781,56,True,"[(34, 100)]",34,100,7,19,34,64,128,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134.0,34.0,134.0,34.0,134.0,34.0,134.0,34.0,1.046875,1.046875
76a43e61-5203-4029-ba46-d242f09d2a28,1,False,"[(325, 391)]",782,892,276,305,782,325,716,716,325,716,325,716,325,716,325,716,325,716,325,716,325,716,325,716,325,716,325,716,325,716.0,325.0,716.0,325.0,716.0,325.0,716.0,325.0,1.0,1.0
76a43e61-5203-4029-ba46-d242f09d2a28,1,False,"[(391, 325)]",892,782,305,276,892,391,716,716,391,716,391,716,391,716,391,716,391,716,391,716,391,716,391,716,391,716,391,716,391,716.0,391.0,716.0,391.0,716.0,391.0,716.0,391.0,1.0,1.0
