eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
9ab15aa1-6184-40ad-8236-f966f67302ea,0,False,"[(61, 128)]",100,178,37,34,100,64,183,189,61,189,61,189,61,189,61,189,61,189,61,189,61,189,61,189,61,189,61,189,61,189.0,61.0,189.0,61.0,189.0,61.0,189.0,61.0,1.0327868852459017,1.0327868852459017
9ab15aa1-6184-40ad-8236-f966f67302ea,0,False,"[(128, 61)]",178,100,34,37,178,119,183,189,128,189,128,189,128,189,128,189,128,189,128,189,128,189,128,189,128,189,128,189,128,189.0,128.0,189.0,128.0,189.0,128.0,189.0,128.0,1.0327868852459017,1.0327868852459017
dfe382ef-bcf8-4a14-9366-1a31731ce77f,33,False,"[(200, 189)]",452,386,155,138,452,200,389,389,200,389,200,389,200,389,200,389,200,389,200,389,200,389,200,389,200,389,200,389,200,389.0,200.0,389.0,200.0,389.0,200.0,389.0,200.0,1.0,1.0
dfe382ef-bcf8-4a14-9366-1a31731ce77f,33,False,"[(189, 200)]",386,452,138,155,386,189,389,389,189,389,189,389,189,389,189,389,189,389,189,389,189,389,189,389,189,389,189,389,189,389.0,189.0,389.0,189.0,389.0,189.0,389.0,189.0,1.0,1.0
bba726ff-8915-4561-8d48-be55610c9adb,33,True,"[(75, 64)]",90,90,19,19,90,75,139,139,75,139,75,139,75,139,75,139,75,139,75,139,75,139,75,139,75,139,75,139,75,139.0,75.0,139.0,75.0,139.0,75.0,139.0,75.0,1.0,1.0
bba726ff-8915-4561-8d48-be55610c9adb,33,True,"[(64, 75)]",90,90,19,19,90,64,139,139,64,139,64,139,64,139,64,139,64,139,64,139,64,139,64,139,64,139,64,139,64,139.0,64.0,139.0,64.0,139.0,64.0,139.0,64.0,1.0,1.0
69a3a663-9663-4b22-a325-7f6646618b92,66,True,"[(109, 164), (105, 172)]",122,244,50,107,122,108,271,277,105,273,109,273,109,273,109,273,109,277,105,277,105,273,109,277,105,273,109,273,109,277.0,105.0,277.0,105.0,273.0,109.0,275.807,106.193,1.022140221402214,1.007380073800738
69a3a663-9663-4b22-a325-7f6646618b92,66,True,"[(164, 109), (172, 105)]",244,122,107,50,244,163,271,277,172,273,164,273,164,273,164,273,164,277,172,277,172,273,164,277,172,273,164,273,164,277.0,172.0,277.0,172.0,273.0,164.0,275.807,169.614,1.022140221402214,1.007380073800738
024d65df-a89b-4b04-9ba2-08f5903c4214,55,True,"[(127, 138)]",144,144,63,63,144,138,243,265,127,265,127,265,127,265,127,265,127,265,127,265,127,265,127,265,127,265,127,265,127,265.0,127.0,265.0,127.0,265.0,127.0,265.0,127.0,1.0905349794238683,1.0905349794238683
024d65df-a89b-4b04-9ba2-08f5903c4214,55,True,"[(138, 127)]",144,144,63,63,144,105,243,265,138,265,138,265,138,265,138,265,138,265,138,265,138,265,138,265,138,265,138,265,138,265.0,138.0,265.0,138.0,265.0,138.0,265.0,138.0,1.0905349794238683,1.0905349794238683
