eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
fe318edf-303a-4f71-8900-c6cbf63ec4e4,89,True,"[(122, 222)]",122,222,59,73,122,162,280,344,122,344,122,344,122,344,122,344,122,344,122,344,122,344,122,344,122,344,122,344,122,344.0,122.0,344.0,122.0,344.0,122.0,344.0,122.0,1.2285714285714286,1.2285714285714286
fe318edf-303a-4f71-8900-c6cbf63ec4e4,89,True,"[(222, 122)]",222,122,73,59,222,118,280,344,222,344,222,344,222,344,222,344,222,344,222,344,222,344,222,344,222,344,222,344,222,344.0,222.0,344.0,222.0,344.0,222.0,344.0,222.0,1.2285714285714286,1.2285714285714286
526accb7-79df-4659-862a-de47a7bff362,88,True,"[(166, 144)]",166,144,52,62,166,166,310,310,166,310,166,310,166,310,166,310,166,310,166,310,166,310,166,310,166,310,166,310,166,310.0,166.0,310.0,166.0,310.0,166.0,310.0,166.0,1.0,1.0
526accb7-79df-4659-862a-de47a7bff362,88,True,"[(144, 166)]",144,166,62,52,144,144,310,310,144,310,144,310,144,310,144,310,144,310,144,310,144,310,144,310,144,310,144,310,144,310.0,144.0,310.0,144.0,310.0,144.0,310.0,144.0,1.0,1.0
1a6f409e-3536-4f41-a811-bf86fc53b92b,89,True,"[(100, 134)]",100,134,40,30,100,100,234,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234.0,100.0,234.0,100.0,234.0,100.0,234.0,100.0,1.0,1.0
1a6f409e-3536-4f41-a811-bf86fc53b92b,89,True,"[(134, 100)]",134,100,30,40,134,134,234,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234.0,134.0,234.0,134.0,234.0,134.0,234.0,134.0,1.0,1.0
eb58021a-73cf-4cac-9a89-54209ce41adc,100,True,"[(144, 122)]",144,122,90,32,144,144,266,266,144,266,144,266,144,266,144,266,144,266,144,266,144,266,144,266,144,266,144,266,144,266.0,144.0,266.0,144.0,266.0,144.0,266.0,144.0,1.0,1.0
eb58021a-73cf-4cac-9a89-54209ce41adc,100,True,"[(122, 144)]",122,144,32,90,122,122,266,266,122,266,122,266,122,266,122,266,122,266,122,266,122,266,122,266,122,266,122,266,122,266.0,122.0,266.0,122.0,266.0,122.0,266.0,122.0,1.0,1.0
03a32fe9-247f-4b87-9974-0375850d5ee7,56,True,"[(100, 188)]",100,188,67,53,100,100,288,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288.0,100.0,288.0,100.0,288.0,100.0,288.0,100.0,1.0,1.0
03a32fe9-247f-4b87-9974-0375850d5ee7,56,True,"[(188, 100)]",188,100,53,67,188,188,288,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288.0,188.0,288.0,188.0,288.0,188.0,288.0,188.0,1.0,1.0
