eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
77fc9f34-8962-4926-b47c-8a1f8f666a5c,23,False,"[(85, 52), (73, 62), (55, 66)]",100,122,19,30,100,55,121,137,85,121,55,121,55,121,55,135,73,121,55,121,55,121,55,121,55,137,85,121,55,124.69229999999999,61.9231,121.0001,55.0001,121.0,55.0,121.0,55.0,1.1322314049586777,1.0
77fc9f34-8962-4926-b47c-8a1f8f666a5c,23,False,"[(52, 85), (62, 73), (66, 55)]",122,100,30,19,122,66,121,137,52,121,66,121,66,121,66,135,62,121,66,121,66,121,66,121,66,137,52,121,66,124.69229999999999,62.7692,121.0001,66.0,121.0,66.0,121.0,66.0,1.1322314049586777,1.0
3e4642c2-1a65-4d53-b318-e65babb0f651,23,False,"[(40, 85)]",100,112,31,23,100,40,125,125,40,125,40,125,40,125,40,125,40,125,40,125,40,125,40,125,40,125,40,125,40,125.0,40.0,125.0,40.0,125.0,40.0,125.0,40.0,1.0,1.0
3e4642c2-1a65-4d53-b318-e65babb0f651,23,False,"[(85, 40)]",112,100,23,31,112,85,125,125,85,125,85,125,85,125,85,125,85,125,85,125,85,125,85,125,85,125,85,125,85,125.0,85.0,125.0,85.0,125.0,85.0,125.0,85.0,1.0,1.0
6aeb6137-dc6a-474a-a9dc-56109431dcaf,44,True,"[(103, 70)]",166,200,52,61,166,103,173,173,103,173,103,173,103,173,103,173,103,173,103,173,103,173,103,173,103,173,103,173,103,173.0,103.0,173.0,103.0,173.0,103.0,173.0,103.0,1.0,1.0
6aeb6137-dc6a-474a-a9dc-56109431dcaf,44,True,"[(70, 103)]",200,166,61,52,200,70,173,173,70,173,70,173,70,173,70,173,70,173,70,173,70,173,70,173,70,173,70,173,70,173.0,70.0,173.0,70.0,173.0,70.0,173.0,70.0,1.0,1.0
ed115e92-d675-4af0-a930-e6f042357be0,33,True,"[(90, 56)]",90,56,26,11,90,71,109,146,90,146,90,146,90,146,90,146,90,146,90,146,90,146,90,146,90,146,90,146,90,146.0,90.0,146.0,90.0,146.0,90.0,146.0,90.0,1.3394495412844036,1.3394495412844036
ed115e92-d675-4af0-a930-e6f042357be0,33,True,"[(56, 90)]",56,90,11,26,56,38,109,146,56,146,56,146,56,146,56,146,56,146,56,146,56,146,56,146,56,146,56,146,56,146.0,56.0,146.0,56.0,146.0,56.0,146.0,56.0,1.3394495412844036,1.3394495412844036
6e9d2aab-812b-449f-ad58-4fb18244801e,0,True,"[(212, 12)]",212,12,63,3,212,185,215,224,212,224,212,224,212,224,212,224,212,224,212,224,212,224,212,224,212,224,212,224,212,224.0,212.0,224.0,212.0,224.0,212.0,224.0,212.0,1.041860465116279,1.041860465116279
6e9d2aab-812b-449f-ad58-4fb18244801e,0,True,"[(12, 212)]",12,212,3,63,12,30,215,224,12,224,12,224,12,224,12,224,12,224,12,224,12,224,12,224,12,224,12,224,12,224.0,12.0,224.0,12.0,224.0,12.0,224.0,12.0,1.041860465116279,1.041860465116279
4af6efed-d449-4c7f-b78b-67927b6f606a,0,False,"[(56, 101), (78, 89)]",100,190,27,48,100,73,157,157,56,167,78,157,56,157,56,167,78,157,56,157,56,157,56,157,56,167,78,157,56,158.92,60.224,157.0,56.0,157.0,56.0,157.0,56.0,1.0636942675159236,1.0
4af6efed-d449-4c7f-b78b-67927b6f606a,0,False,"[(101, 56), (89, 78)]",190,100,48,27,190,84,157,157,101,167,89,157,101,157,101,167,89,157,101,157,101,157,101,157,101,167,89,157,101,158.92,98.696,157.0,101.0,157.0,101.0,157.0,101.0,1.0636942675159236,1.0
cec09a79-a713-41a4-9185-d4a86b49aac5,0,False,"[(85, 130)]",144,234,54,80,144,88,209,215,85,215,85,215,85,215,85,215,85,215,85,215,85,215,85,215,85,215,85,215,85,215.0,85.0,215.0,85.0,215.0,85.0,215.0,85.0,1.0287081339712918,1.0287081339712918
cec09a79-a713-41a4-9185-d4a86b49aac5,0,False,"[(130, 85)]",234,144,80,54,234,121,209,215,130,215,130,215,130,215,130,215,130,215,130,215,130,215,130,215,130,215,130,215,130,215.0,130.0,215.0,130.0,215.0,130.0,215.0,130.0,1.0287081339712918,1.0287081339712918
27f52614-5410-4edd-9a5f-c232a8ccc505,23,False,"[(102, 157)]",122,222,63,83,122,102,259,259,102,259,102,259,102,259,102,259,102,259,102,259,102,259,102,259,102,259,102,259,102,259.0,102.0,259.0,102.0,259.0,102.0,259.0,102.0,1.0,1.0
27f52614-5410-4edd-9a5f-c232a8ccc505,23,False,"[(157, 102)]",222,122,83,63,222,157,259,259,157,259,157,259,157,259,157,259,157,259,157,259,157,259,157,259,157,259,157,259,157,259.0,157.0,259.0,157.0,259.0,157.0,259.0,157.0,1.0,1.0
e23e920a-2c85-4227-9645-facba842e05c,0,False,"[(76, 87), (61, 106)]",100,190,40,51,100,76,163,167,61,163,76,163,76,163,76,163,76,167,61,167,61,167,61,167,61,163,76,163,76,165.7034,65.8622,167.0,61.0,163.0,76.0,167.0,61.0,1.0245398773006136,1.0
e23e920a-2c85-4227-9645-facba842e05c,0,False,"[(87, 76), (106, 61)]",190,100,51,40,190,87,163,167,106,163,87,163,87,163,87,163,87,167,106,167,106,167,106,167,106,163,87,163,87,165.7034,99.8412,167.0,106.0,163.0,87.0,167.0,106.0,1.0245398773006136,1.0
8f8cc825-faec-4d36-affd-e44df303edc1,23,False,"[(45, 90), (54, 87), (63, 74)]",100,112,36,32,100,45,135,135,45,137,63,135,45,135,45,137,63,137,63,137,63,135,45,137,63,141,54,135,45,136.12529999999998,55.1279,136.6805,60.1247,135.0,45.0,136.94119999999998,62.4706,1.0444444444444445,1.0
8f8cc825-faec-4d36-affd-e44df303edc1,23,False,"[(90, 45), (87, 54), (74, 63)]",112,100,32,36,112,90,135,135,90,137,74,135,90,135,90,137,74,137,74,137,74,135,90,137,74,141,87,135,90,136.12529999999998,80.9974,136.6805,76.5558,135.0,90.0,136.94119999999998,74.47059999999999,1.0444444444444445,1.0
bc0945bb-9e09-4906-b901-f0ecf0f5023e,34,True,"[(178, 34)]",178,34,82,16,178,178,212,212,178,212,178,212,178,212,178,212,178,212,178,212,178,212,178,212,178,212,178,212,178,212.0,178.0,212.0,178.0,212.0,178.0,212.0,178.0,1.0,1.0
bc0945bb-9e09-4906-b901-f0ecf0f5023e,34,True,"[(34, 178)]",34,178,16,82,34,34,212,212,34,212,34,212,34,212,34,212,34,212,34,212,34,212,34,212,34,212,34,212,34,212.0,34.0,212.0,34.0,212.0,34.0,212.0,34.0,1.0,1.0
