eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
66acdd70-aeb5-4581-9ee5-8d76f0cce25b,56,True,"[(738, 12)]",738,12,266,3,738,738,750,750,738,750,738,750,738,750,738,750,738,750,738,750,738,750,738,750,738,750,738,750,738,750.0,738.0,750.0,738.0,750.0,738.0,750.0,738.0,1.0,1.0
66acdd70-aeb5-4581-9ee5-8d76f0cce25b,56,True,"[(12, 738)]",12,738,3,266,12,12,750,750,12,750,12,750,12,750,12,750,12,750,12,750,12,750,12,750,12,750,12,750,12,750.0,12.0,750.0,12.0,750.0,12.0,750.0,12.0,1.0,1.0
f0231465-2bc4-4e86-a030-5879601570d3,55,True,"[(122, 134)]",122,134,49,44,122,122,256,256,122,256,122,256,122,256,122,256,122,256,122,256,122,256,122,256,122,256,122,256,122,256.0,122.0,256.0,122.0,256.0,122.0,256.0,122.0,1.0,1.0
f0231465-2bc4-4e86-a030-5879601570d3,55,True,"[(134, 122)]",134,122,44,49,134,134,256,256,134,256,134,256,134,256,134,256,134,256,134,256,134,256,134,256,134,256,134,256,134,256.0,134.0,256.0,134.0,256.0,134.0,256.0,134.0,1.0,1.0
041c4c78-43f7-43f1-8bcd-f5f1c188df62,89,True,"[(100, 78)]",100,78,28,24,100,100,178,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178.0,100.0,178.0,100.0,178.0,100.0,178.0,100.0,1.0,1.0
041c4c78-43f7-43f1-8bcd-f5f1c188df62,89,True,"[(78, 100)]",78,100,24,28,78,78,178,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178.0,78.0,178.0,78.0,178.0,78.0,178.0,78.0,1.0,1.0
3d541c38-0f53-41b6-96d9-bac24fc059ed,33,True,"[(100, 188)]",100,188,55,62,100,100,288,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288.0,100.0,288.0,100.0,288.0,100.0,288.0,100.0,1.0,1.0
3d541c38-0f53-41b6-96d9-bac24fc059ed,33,True,"[(188, 100)]",188,100,62,55,188,188,288,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288.0,188.0,288.0,188.0,288.0,188.0,288.0,188.0,1.0,1.0
a86fcc3f-2893-4259-bad4-4a33217a73ad,33,True,"[(90, 78)]",90,78,26,19,90,107,159,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168.0,90.0,168.0,90.0,168.0,90.0,168.0,90.0,1.0566037735849056,1.0566037735849056
a86fcc3f-2893-4259-bad4-4a33217a73ad,33,True,"[(78, 90)]",78,90,19,26,78,52,159,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168.0,78.0,168.0,78.0,168.0,78.0,168.0,78.0,1.0566037735849056,1.0566037735849056
