eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
0c891422-c985-44fb-87e3-fc1e97ab2442,45,True,"[(100, 332)]",100,332,41,90,100,107,335,432,100,432,100,432,100,432,100,432,100,432,100,432,100,432,100,432,100,432,100,432,100,432.0,100.0,432.0,100.0,432.0,100.0,432.0,100.0,1.2895522388059701,1.2895522388059701
0c891422-c985-44fb-87e3-fc1e97ab2442,45,True,"[(332, 100)]",332,100,90,41,332,228,335,432,332,432,332,432,332,432,332,432,332,432,332,432,332,432,332,432,332,432,332,432,332,432.0,332.0,432.0,332.0,432.0,332.0,432.0,332.0,1.2895522388059701,1.2895522388059701
cd49f7a6-9dbc-40d1-8037-6360a677222d,34,True,"[(82, 193)]",100,210,19,39,100,110,275,275,82,275,82,275,82,275,82,275,82,275,82,275,82,275,82,275,82,275,82,275,82,275.0,82.0,275.0,82.0,275.0,82.0,275.0,82.0,1.0,1.0
cd49f7a6-9dbc-40d1-8037-6360a677222d,34,True,"[(193, 82)]",210,100,39,19,210,165,275,275,193,275,193,275,193,275,193,275,193,275,193,275,193,275,193,275,193,275,193,275,193,275.0,193.0,275.0,193.0,275.0,193.0,275.0,193.0,1.0,1.0
91a43f5f-ee3d-427a-89a5-35800ff84012,33,True,"[(122, 122)]",122,122,32,41,122,122,244,244,122,244,122,244,122,244,122,244,122,244,122,244,122,244,122,244,122,244,122,244,122,244.0,122.0,244.0,122.0,244.0,122.0,244.0,122.0,1.0,1.0
91a43f5f-ee3d-427a-89a5-35800ff84012,33,True,"[(122, 122)]",122,122,41,32,122,122,244,244,122,244,122,244,122,244,122,244,122,244,122,244,122,244,122,244,122,244,122,244,122,244.0,122.0,244.0,122.0,244.0,122.0,244.0,122.0,1.0,1.0
ef262d71-493a-4a58-b24e-b162e0967906,89,True,"[(144, 34)]",144,34,53,15,144,144,178,178,144,178,144,178,144,178,144,178,144,178,144,178,144,178,144,178,144,178,144,178,144,178.0,144.0,178.0,144.0,178.0,144.0,178.0,144.0,1.0,1.0
ef262d71-493a-4a58-b24e-b162e0967906,89,True,"[(34, 144)]",34,144,15,53,34,34,178,178,34,178,34,178,34,178,34,178,34,178,34,178,34,178,34,178,34,178,34,178,34,178.0,34.0,178.0,34.0,178.0,34.0,178.0,34.0,1.0,1.0
e9d0aceb-fa1c-416b-9394-a860887ac135,111,True,"[(100, 144)]",100,144,27,27,100,106,223,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244.0,100.0,244.0,100.0,244.0,100.0,244.0,100.0,1.094170403587444,1.094170403587444
e9d0aceb-fa1c-416b-9394-a860887ac135,111,True,"[(144, 100)]",144,100,27,27,144,117,223,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244.0,144.0,244.0,144.0,244.0,144.0,244.0,144.0,1.094170403587444,1.094170403587444
3babb669-0eac-48d7-baf6-b2f1e2a43424,55,True,"[(122, 200)]",122,200,41,79,122,122,322,322,122,322,122,322,122,322,122,322,122,322,122,322,122,322,122,322,122,322,122,322,122,322.0,122.0,322.0,122.0,322.0,122.0,322.0,122.0,1.0,1.0
3babb669-0eac-48d7-baf6-b2f1e2a43424,55,True,"[(200, 122)]",200,122,79,41,200,200,322,322,200,322,200,322,200,322,200,322,200,322,200,322,200,322,200,322,200,322,200,322,200,322.0,200.0,322.0,200.0,322.0,200.0,322.0,200.0,1.0,1.0
e507bb19-bb88-4851-a157-e2d0a6773d00,133,True,"[(122, 166)]",122,166,41,44,122,122,288,288,122,288,122,288,122,288,122,288,122,288,122,288,122,288,122,288,122,288,122,288,122,288.0,122.0,288.0,122.0,288.0,122.0,288.0,122.0,1.0,1.0
e507bb19-bb88-4851-a157-e2d0a6773d00,133,True,"[(166, 122)]",166,122,44,41,166,166,288,288,166,288,166,288,166,288,166,288,166,288,166,288,166,288,166,288,166,288,166,288,166,288.0,166.0,288.0,166.0,288.0,166.0,288.0,166.0,1.0,1.0
34bd25a4-74af-4f79-be21-e2ed501e26c5,45,True,"[(81, 202)]",100,210,19,43,100,81,283,283,81,283,81,283,81,283,81,283,81,283,81,283,81,283,81,283,81,283,81,283,81,283.0,81.0,283.0,81.0,283.0,81.0,283.0,81.0,1.0,1.0
34bd25a4-74af-4f79-be21-e2ed501e26c5,45,True,"[(202, 81)]",210,100,43,19,210,202,283,283,202,283,202,283,202,283,202,283,202,283,202,283,202,283,202,283,202,283,202,283,202,283.0,202.0,283.0,202.0,283.0,202.0,283.0,202.0,1.0,1.0
7679635c-72a5-4c46-90ed-91c19abb346d,67,True,"[(100, 188)]",100,188,23,48,100,179,259,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288.0,100.0,288.0,100.0,288.0,100.0,288.0,100.0,1.111969111969112,1.111969111969112
