eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,PoA,PoS
098b25db-8169-4596-8336-0d5371af2a99,0,True,"[(100, 310)]",100,310,27,67,100,116,353,410,100,410,100,410,100,410,100,410,100,410,100,410,100,410,100,410,100,410,100,410,100,410.0,100.0,410.0,100.0,410.0,100.0,410.0,100.0,1.161473087818697,1.161473087818697
098b25db-8169-4596-8336-0d5371af2a99,0,True,"[(310, 100)]",310,100,67,27,310,237,353,410,310,410,310,410,310,410,310,410,310,410,310,410,310,410,310,410,310,410,310,410,310,410.0,310.0,410.0,310.0,410.0,310.0,410.0,310.0,1.161473087818697,1.161473087818697
657da9b7-1e9c-4f11-91ea-64a6ca17e079,100,True,"[(100, 200)]",100,200,32,56,100,100,300,300,100,300,100,300,100,300,100,300,100,300,100,300,100,300,100,300,100,300,100,300,100,300.0,100.0,300.0,100.0,300.0,100.0,300.0,100.0,1.0,1.0
657da9b7-1e9c-4f11-91ea-64a6ca17e079,100,True,"[(200, 100)]",200,100,56,32,200,200,300,300,200,300,200,300,200,300,200,300,200,300,200,300,200,300,200,300,200,300,200,300,200,300.0,200.0,300.0,200.0,300.0,200.0,300.0,200.0,1.0,1.0
1f00dcf4-1eec-466b-bc58-05ab270c53dc,419,True,"[(100, 56)]",100,56,36,11,100,100,156,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156.0,100.0,156.0,100.0,156.0,100.0,156.0,100.0,1.0,1.0
1f00dcf4-1eec-466b-bc58-05ab270c53dc,419,True,"[(56, 100)]",56,100,11,36,56,56,156,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156.0,56.0,156.0,56.0,156.0,56.0,156.0,56.0,1.0,1.0
a2dee99d-3954-43eb-9033-602e0fe2c8c1,11,True,"[(520, 78)]",520,78,142,33,520,520,598,598,520,598,520,598,520,598,520,598,520,598,520,598,520,598,520,598,520,598,520,598,520,598.0,520.0,598.0,520.0,598.0,520.0,598.0,520.0,1.0,1.0
a2dee99d-3954-43eb-9033-602e0fe2c8c1,11,True,"[(78, 520)]",78,520,33,142,78,78,598,598,78,598,78,598,78,598,78,598,78,598,78,598,78,598,78,598,78,598,78,598,78,598.0,78.0,598.0,78.0,598.0,78.0,598.0,78.0,1.0,1.0
ebb31a1c-ce42-4d59-b564-d90da01668cd,89,True,"[(100, 144)]",100,144,28,72,100,100,244,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244.0,100.0,244.0,100.0,244.0,100.0,244.0,100.0,1.0,1.0
ebb31a1c-ce42-4d59-b564-d90da01668cd,89,True,"[(144, 100)]",144,100,72,28,144,144,244,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244.0,144.0,244.0,144.0,244.0,144.0,244.0,144.0,1.0,1.0
