eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
81bde3e5-e512-4612-b539-4cc6f2ca3519,45,True,"[(100, 134)]",100,134,27,39,100,75,227,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234,100,1.0308370044052864,1.0308370044052864
81bde3e5-e512-4612-b539-4cc6f2ca3519,45,True,"[(134, 100)]",134,100,39,27,134,152,227,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234,134,1.0308370044052864,1.0308370044052864
325ac2ab-0c70-4db0-a21d-70f1889dd5e6,88,True,"[(100, 56)]",100,56,41,15,100,100,156,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,1.0,1.0
325ac2ab-0c70-4db0-a21d-70f1889dd5e6,88,True,"[(56, 100)]",56,100,15,41,56,56,156,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,1.0,1.0
4558c1bb-fbd1-482b-83de-b83dcc08660b,1,False,"[(233, 144), (226, 149), (213, 158), (200, 167), (165, 176), (161, 250)]",364,442,84,115,364,165,341,377,233,341,165,341,165,341,165,341,165,341,165,341,165,341,165,341,165,411,161,341,165,341.0,165.0,348.1354,178.478,401.1282,161.5641,341.0,165.0,1.2052785923753666,1.0
4558c1bb-fbd1-482b-83de-b83dcc08660b,1,False,"[(144, 233), (149, 226), (158, 213), (167, 200), (176, 165), (250, 161)]",442,364,115,84,442,176,341,377,144,341,176,341,176,341,176,341,176,341,176,341,176,341,176,341,176,411,250,341,176,341.0,176.0,348.1354,169.6574,401.1282,239.5641,341.0,176.0,1.2052785923753666,1.0
62fdc1b2-afd2-496f-9842-4fd1bcfbec22,34,True,"[(91, 168), (95, 150), (85, 174)]",100,210,35,52,100,112,235,259,85,245,95,245,95,245,95,245,95,259,85,259,85,245,95,259,85,245,95,245,95,258.9802,85.0141,253.75,88.75,259.0,85.0,245.0,95.0,1.102127659574468,1.0425531914893618
62fdc1b2-afd2-496f-9842-4fd1bcfbec22,34,True,"[(168, 91), (150, 95), (174, 85)]",210,100,52,35,210,123,235,259,174,245,150,245,150,245,150,245,150,259,174,259,174,245,150,259,174,245,150,245,150,258.9802,173.9661,253.75,165.0,259.0,174.0,245.0,150.0,1.102127659574468,1.0425531914893618
5e425c98-6a38-4429-82a7-77ce316a41db,89,True,"[(122, 78)]",122,78,31,15,122,113,193,200,122,200,122,200,122,200,122,200,122,200,122,200,122,200,122,200,122,200,122,200,122,200,122,200,122,200,122,200,122,1.0362694300518134,1.0362694300518134
5e425c98-6a38-4429-82a7-77ce316a41db,89,True,"[(78, 122)]",78,122,15,31,78,80,193,200,78,200,78,200,78,200,78,200,78,200,78,200,78,200,78,200,78,200,78,200,78,200,78,200,78,200,78,200,78,1.0362694300518134,1.0362694300518134
05f8f9a3-c5c1-4561-9286-23d59459a097,89,True,"[(100, 122)]",100,122,28,36,100,100,222,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,1.0,1.0
05f8f9a3-c5c1-4561-9286-23d59459a097,89,True,"[(122, 100)]",122,100,36,28,122,122,222,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,1.0,1.0
d1174912-5bed-4339-b2a1-b8a46ee9f61f,77,True,"[(100, 56)]",100,56,19,20,100,100,156,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,1.0,1.0
d1174912-5bed-4339-b2a1-b8a46ee9f61f,77,True,"[(56, 100)]",56,100,20,19,56,56,156,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,1.0,1.0
e9edb713-ba4a-480e-bb03-14bbb0fa8b50,77,True,"[(100, 78)]",100,78,46,33,100,100,178,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,1.0,1.0
e9edb713-ba4a-480e-bb03-14bbb0fa8b50,77,True,"[(78, 100)]",78,100,33,46,78,78,178,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,1.0,1.0
5abc6f18-2a0f-4466-a247-1c31e777e1bd,55,True,"[(90, 78)]",90,78,36,15,90,81,161,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168,90,1.0434782608695652,1.0434782608695652
5abc6f18-2a0f-4466-a247-1c31e777e1bd,55,True,"[(78, 90)]",78,90,15,36,78,80,161,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168,78,1.0434782608695652,1.0434782608695652
006dfc88-e625-4f41-93ac-c92004eff4ba,88,True,"[(100, 78)]",100,78,19,15,100,100,178,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,1.0,1.0
006dfc88-e625-4f41-93ac-c92004eff4ba,88,True,"[(78, 100)]",78,100,15,19,78,78,178,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,1.0,1.0
d506a219-5537-4ead-8733-0757d2a322e1,11,True,"[(100, 78)]",100,78,26,19,100,102,171,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,1.04093567251462,1.04093567251462
d506a219-5537-4ead-8733-0757d2a322e1,11,True,"[(78, 100)]",78,100,19,26,78,69,171,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,1.04093567251462,1.04093567251462
52987c6d-f233-4999-b280-9264455f8959,0,True,"[(100, 1048)]",100,1048,19,308,100,100,1148,1148,100,1148,100,1148,100,1148,100,1148,100,1148,100,1148,100,1148,100,1148,100,1148,100,1148,100,1148,100,1148,100,1148,100,1148,100,1.0,1.0
